# symbol=MASKUSDT,side=LONG,entry_price=0.4577,exit_price=0.4572,exit_reason=lifecycle_reversal,sl_price=0.4522076,tp_price=0.46456549999999996,leverage=10
ts,seconds,price,ret_margin_pct
1775194952.139,0.0,0.4577,0.0
1775194956.441,4.3,0.4576,-0.2185
1775194966.18,14.0,0.4571,-1.3109
1775194967.486,15.3,0.4569,-1.7479
1775194972.93,20.8,0.457,-1.5294
1775194975.301,23.2,0.4569,-1.7479
1775194976.366,24.2,0.4568,-1.9664
1775194979.625,27.5,0.4572,-1.0924
1775194980.698,28.6,0.4573,-0.8739
1775194982.641,30.5,0.4577,0.0
1775194984.636,32.5,0.4578,0.2185
1775194986.619,34.5,0.458,0.6555
1775194989.411,37.3,0.4578,0.2185
1775194992.271,40.1,0.4573,-0.8739
1775194997.248,45.1,0.4572,-1.0924
1775195000.398,48.3,0.4577,0.0
1775195011.276,59.1,0.4577,0.0
1775195013.144,61.0,0.4579,0.437
1775195017.946,65.8,0.4578,0.2185
1775195019.019,66.9,0.4579,0.437
1775195030.253,78.1,0.4577,0.0
1775195034.473,82.3,0.4581,0.8739
1775195036.601,84.5,0.4581,0.8739
1775195039.178,87.0,0.458,0.6555
1775195040.481,88.3,0.458,0.6555
1775195041.575,89.4,0.4577,0.0
1775195043.35,91.2,0.4576,-0.2185
1775195044.856,92.7,0.4569,-1.7479
1775195046.293,94.2,0.4571,-1.3109
1775195049.396,97.3,0.4569,-1.7479
1775195060.233,108.1,0.4569,-1.7479
1775195073.165,121.0,0.4568,-1.9664
1775195088.251,136.1,0.4568,-1.9664
1775195091.349,139.2,0.4569,-1.7479
1775195103.685,151.5,0.457,-1.5294
1775195105.01,152.9,0.4578,0.2185
1775195112.829,160.7,0.458,0.6555
1775195113.934,161.8,0.4578,0.2185
1775195117.035,164.9,0.4578,0.2185
1775195118.636,166.5,0.4579,0.437
1775195120.341,168.2,0.4578,0.2185
1775195127.54,175.4,0.458,0.6555
1775195128.93,176.8,0.458,0.6555
1775195131.211,179.1,0.4581,0.8739
1775195136.296,184.2,0.4583,1.3109
1775195137.788,185.6,0.4584,1.5294
1775195140.175,188.0,0.4584,1.5294
1775195142.12,190.0,0.4583,1.3109
1775195158.32,206.2,0.4581,0.8739
1775195163.17,211.0,0.4579,0.437
1775195164.494,212.4,0.4579,0.437
1775195165.518,213.4,0.4576,-0.2185
1775195169.543,217.4,0.4572,-1.0924
1775195171.28,219.1,0.4572,-1.0924
1775195172.332,220.2,0.4571,-1.3109
1775195174.708,222.6,0.4569,-1.7479
1775195180.03,227.9,0.4568,-1.9664
1775195187.272,235.1,0.4567,-2.1848
1775195189.136,237.0,0.4567,-2.1848
1775195190.819,238.7,0.4563,-3.0588
1775195194.887,242.7,0.4562,-3.2773
1775195197.305,245.2,0.4563,-3.0588
1775195198.33,246.2,0.4562,-3.2773
1775195208.249,256.1,0.4565,-2.6218
1775195212.699,260.6,0.4564,-2.8403
1775195220.311,268.2,0.4563,-3.0588
1775195221.403,269.3,0.4562,-3.2773
1775195223.283,271.1,0.4561,-3.4957
1775195224.408,272.3,0.4566,-2.4033
1775195225.554,273.4,0.4566,-2.4033
1775195231.536,279.4,0.4566,-2.4033
1775195249.232,297.1,0.4567,-2.1848
1775195252.842,300.7,0.4571,-1.3109
1775195255.374,303.2,0.457,-1.5294
1775195262.942,310.8,0.4569,-1.7479
1775195272.726,320.6,0.4562,-3.2773
1775195280.312,328.2,0.4562,-3.2773
1775195281.566,329.4,0.4562,-3.2773
1775195284.85,332.7,0.4568,-1.9664
1775195286.593,334.5,0.4565,-2.6218
1775195290.061,337.9,0.4562,-3.2773
1775195291.685,339.5,0.4562,-3.2773
1775195293.682,341.5,0.4561,-3.4957
