# symbol=NAORISUSDT,side=SHORT,entry_price=0.06172,exit_price=0.06164,exit_reason=lifecycle_reversal,sl_price=0.06184344,tp_price=0.0607942,leverage=10
ts,seconds,price,ret_margin_pct
1775185031.492,0.0,0.06172,0.0
1775185033.44,1.9,0.06171,0.162
1775185034.607,3.1,0.0617,0.324
1775185037.178,5.7,0.06169,0.4861
1775185039.251,7.8,0.06168,0.6481
1775185040.622,9.1,0.06168,0.6481
1775185042.333,10.8,0.06168,0.6481
1775185048.136,16.6,0.06167,0.8101
1775185049.163,17.7,0.06159,2.1063
1775185052.541,21.0,0.06159,2.1063
1775185058.507,27.0,0.06161,1.7822
1775185060.404,28.9,0.06164,1.2962
1775185067.115,35.6,0.06164,1.2962
1775185069.757,38.3,0.06165,1.1342
1775185072.93,41.4,0.06165,1.1342
1775185074.448,43.0,0.06165,1.1342
1775185076.638,45.1,0.06165,1.1342
1775185079.548,48.1,0.06164,1.2962
1775185080.632,49.1,0.06163,1.4582
1775185083.698,52.2,0.06162,1.6202
1775185087.659,56.2,0.06164,1.2962
1775185090.874,59.4,0.06162,1.6202
1775185093.924,62.4,0.06162,1.6202
1775185097.047,65.6,0.06161,1.7822
1775185100.238,68.7,0.06161,1.7822
1775185105.082,73.6,0.0616,1.9443
1775185115.361,83.9,0.0616,1.9443
1775185133.273,101.8,0.0616,1.9443
1775185142.541,111.0,0.06161,1.7822
1775185147.918,116.4,0.06161,1.7822
1775185153.832,122.3,0.06164,1.2962
1775185155.082,123.6,0.06165,1.1342
1775185158.246,126.8,0.06163,1.4582
1775185171.543,140.1,0.06165,1.1342
1775185174.278,142.8,0.06164,1.2962
1775185197.42,165.9,0.06165,1.1342
1775185200.907,169.4,0.06164,1.2962
1775185204.057,172.6,0.06164,1.2962
1775185206.174,174.7,0.06163,1.4582
1775185208.301,176.8,0.06164,1.2962
1775185210.995,179.5,0.06163,1.4582
1775185213.678,182.2,0.06163,1.4582
1775185215.949,184.5,0.06163,1.4582
1775185217.977,186.5,0.06163,1.4582
1775185220.129,188.6,0.06163,1.4582
1775185222.25,190.8,0.06163,1.4582
1775185224.275,192.8,0.06163,1.4582
1775185226.677,195.2,0.06161,1.7822
1775185228.978,197.5,0.06161,1.7822
1775185230.255,198.8,0.06162,1.6202
1775185233.117,201.6,0.06163,1.4582
1775185245.281,213.8,0.06163,1.4582
1775185261.235,229.7,0.06164,1.2962
1775185265.64,234.1,0.06164,1.2962
1775185268.273,236.8,0.06165,1.1342
1775185273.438,241.9,0.0617,0.324
1775185277.158,245.7,0.06168,0.6481
1775185283.111,251.6,0.06168,0.6481
1775185287.053,255.6,0.06168,0.6481
1775185289.173,257.7,0.06168,0.6481
1775185291.14,259.6,0.06168,0.6481
1775185292.941,261.4,0.06168,0.6481
1775185295.081,263.6,0.06168,0.6481
1775185296.171,264.7,0.06168,0.6481
1775185297.842,266.4,0.06168,0.6481
1775185299.909,268.4,0.06169,0.4861
1775185301.071,269.6,0.06169,0.4861
1775185303.683,272.2,0.06169,0.4861
1775185315.343,283.9,0.06169,0.4861
1775185317.205,285.7,0.06164,1.2962
1775185318.834,287.3,0.06164,1.2962
