# symbol=ONGUSDT,side=LONG,entry_price=0.08263,exit_price=0.0818,exit_reason=dynamic_vol_stop,sl_price=0.08163843999999999,tp_price=0.08386944999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775193729.511,0.0,0.08263,0.0
1775193730.669,1.2,0.08217,-5.567
1775193731.687,2.2,0.08221,-5.0829
1775193732.911,3.4,0.08232,-3.7517
1775193733.976,4.5,0.08231,-3.8727
1775193735.115,5.6,0.08264,0.121
1775193736.623,7.1,0.0827,0.8471
1775193737.66,8.1,0.08271,0.9682
1775193738.757,9.2,0.08258,-0.6051
1775193739.848,10.3,0.08256,-0.8471
1775193740.864,11.4,0.08265,0.242
1775193742.001,12.5,0.08262,-0.121
1775193743.055,13.5,0.08253,-1.2102
1775193744.376,14.9,0.08253,-1.2102
1775193745.395,15.9,0.08247,-1.9363
1775193746.468,17.0,0.08239,-2.9045
1775193747.556,18.0,0.08226,-4.4778
1775193748.598,19.1,0.08248,-1.8153
1775193750.018,20.5,0.08256,-0.8471
1775193751.621,22.1,0.08251,-1.4523
1775193752.838,23.3,0.08227,-4.3568
1775193753.99,24.5,0.08241,-2.6625
1775193755.088,25.6,0.0824,-2.7835
1775193756.169,26.7,0.08241,-2.6625
1775193757.208,27.7,0.08253,-1.2102
1775193759.075,29.6,0.08259,-0.4841
1775193760.37,30.9,0.08252,-1.3312
1775193761.649,32.1,0.08251,-1.4523
1775193762.776,33.3,0.0826,-0.3631
1775193764.722,35.2,0.08257,-0.7261
1775193765.926,36.4,0.08255,-0.9682
1775193767.0,37.5,0.0826,-0.3631
1775193768.552,39.0,0.08269,0.7261
1775193769.591,40.1,0.0829,3.2676
1775193770.605,41.1,0.08325,7.5033
1775193771.715,42.2,0.08305,5.0829
1775193772.744,43.2,0.0831,5.688
1775193773.756,44.2,0.08289,3.1466
1775193774.784,45.3,0.08282,2.2994
1775193775.926,46.4,0.08276,1.5733
1775193776.979,47.5,0.08274,1.3312
1775193778.426,48.9,0.0828,2.0574
1775193779.663,50.2,0.08281,2.1784
1775193780.698,51.2,0.08263,0.0
1775193781.752,52.2,0.08255,-0.9682
1775193782.818,53.3,0.08256,-0.8471
1775193783.972,54.5,0.0826,-0.3631
1775193785.254,55.7,0.08266,0.3631
1775193786.372,56.9,0.08269,0.7261
1775193787.378,57.9,0.0826,-0.3631
1775193788.44,58.9,0.08255,-0.9682
1775193789.775,60.3,0.08252,-1.3312
1775193790.828,61.3,0.08253,-1.2102
1775193791.91,62.4,0.08251,-1.4523
1775193793.16,63.6,0.08257,-0.7261
1775193794.315,64.8,0.08256,-0.8471
1775193795.595,66.1,0.08256,-0.8471
1775193796.728,67.2,0.08222,-4.9619
1775193797.731,68.2,0.08184,-9.5607
1775193798.241,68.7,0.0818,-10.0448
