# symbol=ONGUSDT,side=LONG,entry_price=0.08439,exit_price=0.08473,exit_reason=trailing_expansion,sl_price=0.08337732,tp_price=0.08565584999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775195221.211,0.0,0.08439,0.0
1775195222.328,1.1,0.08442,0.3555
1775195223.698,2.5,0.08444,0.5925
1775195224.798,3.6,0.08437,-0.237
1775195225.97,4.8,0.08438,-0.1185
1775195227.134,5.9,0.08452,1.5405
1775195228.243,7.0,0.08464,2.9624
1775195229.28,8.1,0.08465,3.0809
1775195230.541,9.3,0.08451,1.422
1775195231.563,10.4,0.08444,0.5925
1775195232.564,11.4,0.08444,0.5925
1775195233.701,12.5,0.08437,-0.237
1775195234.808,13.6,0.08439,0.0
1775195236.122,14.9,0.08426,-1.5405
1775195237.492,16.3,0.08442,0.3555
1775195238.573,17.4,0.08445,0.711
1775195239.62,18.4,0.08444,0.5925
1775195240.784,19.6,0.08445,0.711
1775195241.962,20.8,0.08449,1.185
1775195243.631,22.4,0.08442,0.3555
1775195244.866,23.7,0.08456,2.0145
1775195245.898,24.7,0.08463,2.8439
1775195246.9,25.7,0.08468,3.4364
1775195248.178,27.0,0.08474,4.1474
1775195249.21,28.0,0.08485,5.4509
1775195250.239,29.0,0.08488,5.8064
1775195251.442,30.2,0.08486,5.5694
1775195252.522,31.3,0.08485,5.4509
1775195253.606,32.4,0.08478,4.6214
1775195254.702,33.5,0.08502,7.4653
1775195255.883,34.7,0.08508,8.1763
1775195257.032,35.8,0.08516,9.1243
1775195258.09,36.9,0.08503,7.5838
1775195259.154,37.9,0.0853,10.7833
1775195260.156,38.9,0.08557,13.9827
1775195261.382,40.2,0.0858,16.7081
1775195262.545,41.3,0.08567,15.1677
1775195263.726,42.5,0.08595,18.4856
1775195264.764,43.6,0.08587,17.5376
1775195265.966,44.8,0.08587,17.5376
1775195267.036,45.8,0.0859,17.8931
1775195268.137,46.9,0.08551,13.2717
1775195269.161,47.9,0.08548,12.9162
1775195270.22,49.0,0.08557,13.9827
1775195271.266,50.1,0.08542,12.2052
1775195272.304,51.1,0.08545,12.5607
1775195273.379,52.2,0.08522,9.8353
1775195274.411,53.2,0.08507,8.0578
1775195275.54,54.3,0.08494,6.5174
1775195276.68,55.5,0.08499,7.1098
1775195277.901,56.7,0.0851,8.4133
1775195278.922,57.7,0.08512,8.6503
1775195280.024,58.8,0.08514,8.8873
1775195281.226,60.0,0.08492,6.2804
1775195282.296,61.1,0.08496,6.7544
1775195283.319,62.1,0.08488,5.8064
1775195284.425,63.2,0.08482,5.0954
1775195285.443,64.2,0.08464,2.9624
1775195286.491,65.3,0.08465,3.0809
1775195287.545,66.3,0.08477,4.5029
1775195288.607,67.4,0.08483,5.2139
1775195289.646,68.4,0.08468,3.4364
1775195290.682,69.5,0.0847,3.6734
1775195291.731,70.5,0.0848,4.8584
1775195292.797,71.6,0.08468,3.4364
1775195293.879,72.7,0.08468,3.4364
1775195295.409,74.2,0.08456,2.0145
1775195296.705,75.5,0.08453,1.659
1775195297.725,76.5,0.08452,1.5405
1775195298.776,77.6,0.08452,1.5405
1775195299.922,78.7,0.08449,1.185
1775195300.98,79.8,0.08443,0.474
1775195302.053,80.8,0.08435,-0.474
1775195303.063,81.9,0.08436,-0.3555
1775195304.15,82.9,0.08436,-0.3555
1775195305.234,84.0,0.08409,-3.5549
1775195306.519,85.3,0.08408,-3.6734
1775195307.602,86.4,0.08416,-2.7254
1775195308.641,87.4,0.08414,-2.9624
1775195309.663,88.5,0.08407,-3.7919
1775195310.682,89.5,0.08412,-3.1994
1775195311.724,90.5,0.08407,-3.7919
1775195312.728,91.5,0.08408,-3.6734
1775195313.855,92.6,0.08403,-4.2659
1775195314.892,93.7,0.08411,-3.3179
1775195316.001,94.8,0.08421,-2.133
1775195317.347,96.1,0.08417,-2.6069
1775195318.427,97.2,0.08421,-2.133
1775195319.429,98.2,0.08417,-2.6069
1775195320.742,99.5,0.0842,-2.2515
1775195322.236,101.0,0.08419,-2.3699
1775195323.705,102.5,0.08425,-1.659
1775195324.841,103.6,0.08433,-0.711
1775195325.897,104.7,0.08426,-1.5405
1775195327.073,105.9,0.08425,-1.659
1775195328.938,107.7,0.08429,-1.185
1775195331.317,110.1,0.08431,-0.948
1775195332.458,111.2,0.08442,0.3555
1775195333.811,112.6,0.0844,0.1185
1775195335.247,114.0,0.08452,1.5405
1775195336.291,115.1,0.08452,1.5405
1775195337.67,116.5,0.08445,0.711
1775195338.781,117.6,0.08441,0.237
1775195340.026,118.8,0.08438,-0.1185
1775195341.027,119.8,0.08435,-0.474
1775195342.092,120.9,0.08433,-0.711
1775195343.151,121.9,0.08436,-0.3555
1775195344.292,123.1,0.08437,-0.237
1775195345.84,124.6,0.08446,0.8295
1775195346.506,125.3,0.08473,4.0289
