# symbol=ONGUSDT,side=SHORT,entry_price=0.09051,exit_price=0.09142,exit_reason=dynamic_vol_stop,sl_price=0.09159611999999999,tp_price=0.08915234999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775205428.197,0.0,0.09051,0.0
1775205429.51,1.3,0.09054,-0.3315
1775205430.515,2.3,0.09068,-1.8782
1775205432.191,4.0,0.09059,-0.8839
1775205433.778,5.6,0.09061,-1.1049
1775205435.228,7.0,0.09064,-1.4363
1775205436.886,8.7,0.09068,-1.8782
1775205437.94,9.7,0.09059,-0.8839
1775205439.12,10.9,0.09061,-1.1049
1775205440.133,11.9,0.09065,-1.5468
1775205441.133,12.9,0.0903,2.3202
1775205442.173,14.0,0.09033,1.9887
1775205443.322,15.1,0.09045,0.6629
1775205444.33,16.1,0.09053,-0.221
1775205445.368,17.2,0.09055,-0.4419
1775205446.53,18.3,0.09058,-0.7734
1775205447.562,19.4,0.09054,-0.3315
1775205448.765,20.6,0.09051,0.0
1775205449.801,21.6,0.09051,0.0
1775205451.352,23.2,0.09052,-0.1105
1775205452.928,24.7,0.0905,0.1105
1775205454.094,25.9,0.09046,0.5524
1775205455.143,26.9,0.0905,0.1105
1775205456.761,28.6,0.09054,-0.3315
1775205458.02,29.8,0.09057,-0.6629
1775205459.152,31.0,0.09072,-2.3202
1775205461.075,32.9,0.09071,-2.2097
1775205462.437,34.2,0.09073,-2.4307
1775205463.537,35.3,0.09084,-3.646
1775205464.552,36.4,0.09092,-4.5299
1775205465.566,37.4,0.09094,-4.7509
1775205466.601,38.4,0.09094,-4.7509
1775205467.676,39.5,0.09096,-4.9718
1775205468.693,40.5,0.09093,-4.6404
1775205469.754,41.6,0.09083,-3.5355
1775205471.007,42.8,0.09088,-4.0879
1775205472.087,43.9,0.09089,-4.1984
1775205473.392,45.2,0.09086,-3.867
1775205475.284,47.1,0.09092,-4.5299
1775205476.373,48.2,0.09083,-3.5355
1775205477.493,49.3,0.09098,-5.1928
1775205478.536,50.3,0.091,-5.4138
1775205479.815,51.6,0.09102,-5.6347
1775205480.937,52.7,0.09104,-5.8557
1775205482.164,54.0,0.09101,-5.5243
1775205483.167,55.0,0.09116,-7.1815
1775205484.209,56.0,0.09117,-7.292
1775205485.227,57.0,0.09111,-6.6291
1775205486.228,58.0,0.0911,-6.5186
1775205487.362,59.2,0.09099,-5.3033
1775205488.905,60.7,0.09105,-5.9662
1775205490.469,62.3,0.09104,-5.8557
1775205491.471,63.3,0.09105,-5.9662
1775205492.783,64.6,0.09108,-6.2976
1775205494.386,66.2,0.09098,-5.1928
1775205495.724,67.5,0.09098,-5.1928
1775205497.73,69.5,0.09098,-5.1928
1775205498.957,70.8,0.091,-5.4138
1775205500.117,71.9,0.09095,-4.8613
1775205501.132,72.9,0.09089,-4.1984
1775205502.528,74.3,0.09093,-4.6404
1775205503.53,75.3,0.09098,-5.1928
1775205504.618,76.4,0.09091,-4.4194
1775205505.984,77.8,0.09094,-4.7509
1775205507.62,79.4,0.09099,-5.3033
1775205508.637,80.4,0.09095,-4.8613
1775205509.709,81.5,0.09094,-4.7509
1775205510.728,82.5,0.09092,-4.5299
1775205512.165,84.0,0.09086,-3.867
1775205513.17,85.0,0.09088,-4.0879
1775205514.181,86.0,0.09101,-5.5243
1775205515.259,87.1,0.091,-5.4138
1775205516.393,88.2,0.09102,-5.6347
1775205517.645,89.4,0.09105,-5.9662
1775205518.703,90.5,0.09103,-5.7452
1775205519.989,91.8,0.09105,-5.9662
1775205520.99,92.8,0.09112,-6.7396
1775205521.998,93.8,0.09112,-6.7396
1775205523.428,95.2,0.09113,-6.8501
1775205524.472,96.3,0.09114,-6.9606
1775205525.523,97.3,0.09116,-7.1815
1775205526.879,98.7,0.09116,-7.1815
1775205528.068,99.9,0.09119,-7.513
1775205529.2,101.0,0.09123,-7.9549
1775205530.614,102.4,0.09128,-8.5073
1775205531.756,103.6,0.09142,-10.0541
