# symbol=ONTUSDT,side=LONG,entry_price=0.112,exit_price=0.1113,exit_reason=dynamic_vol_stop,sl_price=0.110656,tp_price=0.11367999999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775196574.068,0.0,0.112,0.0
1775196575.639,1.6,0.1121,0.8929
1775196576.924,2.9,0.1121,0.8929
1775196578.224,4.2,0.1121,0.8929
1775196579.32,5.3,0.1121,0.8929
1775196580.554,6.5,0.1121,0.8929
1775196581.743,7.7,0.1121,0.8929
1775196583.129,9.1,0.1121,0.8929
1775196584.534,10.5,0.1121,0.8929
1775196585.641,11.6,0.1121,0.8929
1775196586.738,12.7,0.1121,0.8929
1775196588.042,14.0,0.1121,0.8929
1775196589.522,15.5,0.1121,0.8929
1775196590.811,16.7,0.112,0.0
1775196592.016,17.9,0.112,0.0
1775196593.362,19.3,0.112,0.0
1775196594.899,20.8,0.1121,0.8929
1775196595.997,21.9,0.1121,0.8929
1775196597.801,23.7,0.112,0.0
1775196598.851,24.8,0.112,0.0
1775196600.047,26.0,0.112,0.0
1775196601.175,27.1,0.1121,0.8929
1775196602.562,28.5,0.1122,1.7857
1775196603.652,29.6,0.1122,1.7857
1775196604.953,30.9,0.1122,1.7857
1775196606.142,32.1,0.1121,0.8929
1775196607.259,33.2,0.1121,0.8929
1775196608.64,34.6,0.112,0.0
1775196609.895,35.8,0.1121,0.8929
1775196611.013,36.9,0.112,0.0
1775196612.573,38.5,0.112,0.0
1775196613.632,39.6,0.1121,0.8929
1775196614.785,40.7,0.1121,0.8929
1775196615.958,41.9,0.1121,0.8929
1775196617.129,43.1,0.1121,0.8929
1775196618.296,44.2,0.1121,0.8929
1775196619.481,45.4,0.1121,0.8929
1775196620.551,46.5,0.1121,0.8929
1775196621.872,47.8,0.1121,0.8929
1775196623.353,49.3,0.1121,0.8929
1775196625.837,51.8,0.1121,0.8929
1775196627.342,53.3,0.1119,-0.8929
1775196628.959,54.9,0.1119,-0.8929
1775196630.027,56.0,0.1119,-0.8929
1775196631.161,57.1,0.1119,-0.8929
1775196633.088,59.0,0.1118,-1.7857
1775196634.432,60.4,0.1118,-1.7857
1775196635.929,61.9,0.1118,-1.7857
1775196637.055,63.0,0.1118,-1.7857
1775196638.132,64.1,0.1119,-0.8929
1775196639.306,65.2,0.1118,-1.7857
1775196640.515,66.4,0.1119,-0.8929
1775196641.867,67.8,0.1118,-1.7857
1775196642.896,68.8,0.1118,-1.7857
1775196643.95,69.9,0.1117,-2.6786
1775196644.993,70.9,0.1117,-2.6786
1775196646.404,72.3,0.1116,-3.5714
1775196647.491,73.4,0.1117,-2.6786
1775196649.424,75.4,0.1116,-3.5714
1775196651.417,77.3,0.1115,-4.4643
1775196652.507,78.4,0.1116,-3.5714
1775196654.423,80.4,0.1117,-2.6786
1775196656.287,82.2,0.1116,-3.5714
1775196657.651,83.6,0.1116,-3.5714
1775196658.822,84.8,0.1116,-3.5714
1775196660.247,86.2,0.1113,-6.25
