# symbol=ONTUSDT,side=LONG,entry_price=0.1113,exit_price=0.1108,exit_reason=lifecycle_reversal,sl_price=0.10996439999999999,tp_price=0.11296949999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775196660.736,0.0,0.1113,0.0
1775196661.773,1.0,0.1113,0.0
1775196663.508,2.8,0.1114,0.8985
1775196664.539,3.8,0.1115,1.7969
1775196665.877,5.1,0.1115,1.7969
1775196667.305,6.6,0.1116,2.6954
1775196668.388,7.7,0.1116,2.6954
1775196669.503,8.8,0.1114,0.8985
1775196670.741,10.0,0.1114,0.8985
1775196672.456,11.7,0.1115,1.7969
1775196673.629,12.9,0.1116,2.6954
1775196674.729,14.0,0.1116,2.6954
1775196675.821,15.1,0.1115,1.7969
1775196677.444,16.7,0.1115,1.7969
1775196679.359,18.6,0.1115,1.7969
1775196680.694,20.0,0.1116,2.6954
1775196681.74,21.0,0.1117,3.5939
1775196682.876,22.1,0.1115,1.7969
1775196684.057,23.3,0.1115,1.7969
1775196685.062,24.3,0.1115,1.7969
1775196687.277,26.5,0.1115,1.7969
1775196688.496,27.8,0.1114,0.8985
1775196690.033,29.3,0.1114,0.8985
1775196691.301,30.6,0.1115,1.7969
1775196692.389,31.7,0.1114,0.8985
1775196693.588,32.9,0.1114,0.8985
1775196695.212,34.5,0.1114,0.8985
1775196696.244,35.5,0.1113,0.0
1775196697.844,37.1,0.1113,0.0
1775196699.663,38.9,0.1114,0.8985
1775196702.505,41.8,0.1114,0.8985
1775196704.061,43.3,0.1115,1.7969
1775196705.072,44.3,0.1115,1.7969
1775196706.478,45.7,0.1114,0.8985
1775196707.729,47.0,0.1114,0.8985
1775196709.545,48.8,0.1115,1.7969
1775196710.558,49.8,0.1114,0.8985
1775196712.233,51.5,0.1114,0.8985
1775196713.65,52.9,0.1115,1.7969
1775196714.653,53.9,0.1114,0.8985
1775196715.868,55.1,0.1114,0.8985
1775196716.883,56.1,0.1115,1.7969
1775196717.934,57.2,0.1114,0.8985
1775196718.961,58.2,0.1115,1.7969
1775196720.135,59.4,0.1115,1.7969
1775196721.429,60.7,0.1114,0.8985
1775196722.456,61.7,0.1114,0.8985
1775196723.697,63.0,0.1115,1.7969
1775196725.352,64.6,0.1115,1.7969
1775196726.381,65.6,0.1114,0.8985
1775196727.955,67.2,0.1114,0.8985
1775196729.978,69.2,0.1114,0.8985
1775196732.913,72.2,0.1114,0.8985
1775196734.304,73.6,0.1114,0.8985
1775196736.689,76.0,0.1113,0.0
1775196739.086,78.3,0.1113,0.0
1775196741.231,80.5,0.1113,0.0
1775196742.727,82.0,0.1113,0.0
1775196744.406,83.7,0.1113,0.0
1775196746.049,85.3,0.1112,-0.8985
1775196747.164,86.4,0.1112,-0.8985
1775196748.212,87.5,0.1112,-0.8985
1775196749.862,89.1,0.1112,-0.8985
1775196752.867,92.1,0.1112,-0.8985
1775196754.024,93.3,0.1113,0.0
1775196755.416,94.7,0.1113,0.0
1775196756.903,96.2,0.1113,0.0
1775196757.952,97.2,0.1113,0.0
1775196759.385,98.6,0.1113,0.0
1775196760.913,100.2,0.1113,0.0
1775196762.992,102.3,0.1112,-0.8985
1775196764.871,104.1,0.1113,0.0
1775196766.473,105.7,0.1113,0.0
1775196767.474,106.7,0.111,-2.6954
1775196768.747,108.0,0.1111,-1.7969
1775196770.026,109.3,0.1111,-1.7969
1775196771.108,110.4,0.111,-2.6954
1775196772.179,111.4,0.1111,-1.7969
1775196773.425,112.7,0.1111,-1.7969
1775196775.839,115.1,0.1112,-0.8985
1775196777.084,116.3,0.1112,-0.8985
1775196778.898,118.2,0.1112,-0.8985
1775196780.056,119.3,0.1111,-1.7969
1775196781.122,120.4,0.1109,-3.5939
1775196782.137,121.4,0.1109,-3.5939
1775196784.17,123.4,0.111,-2.6954
1775196785.26,124.5,0.1111,-1.7969
1775196786.847,126.1,0.111,-2.6954
1775196787.994,127.3,0.111,-2.6954
1775196789.016,128.3,0.111,-2.6954
1775196790.751,130.0,0.111,-2.6954
1775196791.948,131.2,0.111,-2.6954
1775196793.376,132.6,0.1111,-1.7969
1775196794.387,133.7,0.1111,-1.7969
1775196795.485,134.7,0.1111,-1.7969
1775196796.534,135.8,0.111,-2.6954
1775196797.566,136.8,0.1109,-3.5939
1775196798.678,137.9,0.1108,-4.4924
1775196800.483,139.7,0.1108,-4.4924
1775196801.688,141.0,0.1109,-3.5939
1775196803.018,142.3,0.1109,-3.5939
1775196805.184,144.4,0.111,-2.6954
1775196806.462,145.7,0.111,-2.6954
1775196807.492,146.8,0.1109,-3.5939
1775196809.312,148.6,0.1108,-4.4924
1775196810.617,149.9,0.1109,-3.5939
1775196811.726,151.0,0.1108,-4.4924
1775196812.858,152.1,0.1107,-5.3908
1775196814.431,153.7,0.1108,-4.4924
1775196816.003,155.3,0.1108,-4.4924
1775196816.608,155.9,0.1108,-4.4924
