# symbol=ONTUSDT,side=SHORT,entry_price=0.1036,exit_price=0.1039,exit_reason=vol_stop,sl_price=0.1038072,tp_price=0.102046,leverage=10
ts,seconds,price,ret_margin_pct
1775185325.003,0.0,0.1036,0.0
1775185326.5,1.5,0.1035,0.9653
1775185327.923,2.9,0.1035,0.9653
1775185329.527,4.5,0.1034,1.9305
1775185330.605,5.6,0.1033,2.8958
1775185331.853,6.8,0.1033,2.8958
1775185332.87,7.9,0.1034,1.9305
1775185334.011,9.0,0.1032,3.861
1775185335.016,10.0,0.103,5.7915
1775185336.989,12.0,0.103,5.7915
1775185338.117,13.1,0.103,5.7915
1775185339.733,14.7,0.103,5.7915
1775185341.087,16.1,0.103,5.7915
1775185342.252,17.2,0.103,5.7915
1775185343.548,18.5,0.1031,4.8263
1775185347.696,22.7,0.1029,6.7568
1775185349.387,24.4,0.1029,6.7568
1775185351.173,26.2,0.1029,6.7568
1775185352.764,27.8,0.1028,7.722
1775185353.823,28.8,0.1028,7.722
1775185355.574,30.6,0.1028,7.722
1775185356.593,31.6,0.1028,7.722
1775185357.868,32.9,0.1028,7.722
1775185361.413,36.4,0.1028,7.722
1775185362.684,37.7,0.1029,6.7568
1775185363.898,38.9,0.1028,7.722
1775185365.468,40.5,0.1029,6.7568
1775185366.892,41.9,0.1029,6.7568
1775185369.767,44.8,0.103,5.7915
1775185371.836,46.8,0.1031,4.8263
1775185373.364,48.4,0.103,5.7915
1775185376.52,51.5,0.1031,4.8263
1775185378.243,53.2,0.1031,4.8263
1775185381.684,56.7,0.103,5.7915
1775185383.114,58.1,0.1031,4.8263
1775185385.029,60.0,0.1031,4.8263
1775185386.117,61.1,0.1031,4.8263
1775185387.394,62.4,0.1033,2.8958
1775185388.43,63.4,0.1033,2.8958
1775185389.442,64.4,0.1033,2.8958
1775185391.162,66.2,0.1033,2.8958
1775185393.978,69.0,0.1033,2.8958
1775185395.624,70.6,0.1033,2.8958
1775185396.968,72.0,0.1032,3.861
1775185399.842,74.8,0.1032,3.861
1775185401.116,76.1,0.1032,3.861
1775185402.174,77.2,0.1032,3.861
1775185403.724,78.7,0.1032,3.861
1775185404.986,80.0,0.1032,3.861
1775185407.231,82.2,0.1032,3.861
1775185408.256,83.3,0.1036,0.0
1775185409.521,84.5,0.1036,0.0
1775185410.926,85.9,0.1037,-0.9653
1775185412.24,87.2,0.1038,-1.9305
1775185413.278,88.3,0.1038,-1.9305
1775185415.164,90.2,0.1037,-0.9653
1775185417.154,92.2,0.1037,-0.9653
1775185419.041,94.0,0.1037,-0.9653
1775185421.629,96.6,0.1037,-0.9653
1775185422.738,97.7,0.1038,-1.9305
1775185424.145,99.1,0.1038,-1.9305
1775185424.834,99.8,0.1039,-2.8958
