# symbol=ONTUSDT,side=SHORT,entry_price=0.1035,exit_price=0.1036,exit_reason=strategy_stop,sl_price=0.103707,tp_price=0.1019475,leverage=10
ts,seconds,price,ret_margin_pct
1775185563.403,0.0,0.1035,0.0
1775185564.514,1.1,0.1035,0.0
1775185566.396,3.0,0.1035,0.0
1775185568.846,5.4,0.1036,-0.9662
1775185569.984,6.6,0.1036,-0.9662
1775185571.023,7.6,0.1035,0.0
1775185576.846,13.4,0.1035,0.0
1775185578.803,15.4,0.1035,0.0
1775185580.18,16.8,0.1035,0.0
1775185587.082,23.7,0.1036,-0.9662
1775185593.816,30.4,0.1036,-0.9662
1775185596.709,33.3,0.1036,-0.9662
1775185598.775,35.4,0.1036,-0.9662
1775185600.128,36.7,0.1036,-0.9662
1775185601.28,37.9,0.1036,-0.9662
1775185602.767,39.4,0.1036,-0.9662
1775185605.193,41.8,0.1036,-0.9662
1775185608.143,44.7,0.1036,-0.9662
1775185608.237,44.8,0.1036,-0.9662
