# symbol=ONUSDT,side=LONG,entry_price=0.08462,exit_price=0.08445,exit_reason=vol_stop,sl_price=0.08445076,tp_price=0.08588929999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185201.833,0.0,0.08462,0.0
1775185203.116,1.3,0.0846,-0.2364
1775185204.528,2.7,0.08458,-0.4727
1775185206.237,4.4,0.0846,-0.2364
1775185208.953,7.1,0.08458,-0.4727
1775185211.304,9.5,0.08458,-0.4727
1775185212.543,10.7,0.08458,-0.4727
1775185213.67,11.8,0.08458,-0.4727
1775185214.901,13.1,0.08457,-0.5909
1775185215.962,14.1,0.08458,-0.4727
1775185217.988,16.2,0.08461,-0.1182
1775185221.673,19.8,0.08466,0.4727
1775185223.562,21.7,0.08465,0.3545
1775185226.57,24.7,0.08468,0.7091
1775185227.712,25.9,0.0847,0.9454
1775185228.714,26.9,0.08467,0.5909
1775185229.295,27.5,0.08445,-2.009
