# symbol=ONUSDT,side=SHORT,entry_price=0.08368,exit_price=0.08391,exit_reason=lifecycle_reversal,sl_price=0.0853536,tp_price=0.0824248,leverage=10
ts,seconds,price,ret_margin_pct
1775188696.86,0.0,0.08368,0.0
1775188698.989,2.1,0.08365,0.3585
1775188705.148,8.3,0.08364,0.478
1775188708.125,11.3,0.08361,0.8365
1775188710.231,13.4,0.08365,0.3585
1775188711.348,14.5,0.08364,0.478
1775188713.484,16.6,0.08362,0.717
1775188722.493,25.6,0.08367,0.1195
1775188726.494,29.6,0.08371,-0.3585
1775188735.496,38.6,0.0837,-0.239
1775188740.765,43.9,0.0837,-0.239
1775188741.9,45.0,0.08366,0.239
1775188747.494,50.6,0.08372,-0.478
1775188767.209,70.3,0.08376,-0.956
1775188773.359,76.5,0.08384,-1.912
1775188777.46,80.6,0.08388,-2.3901
1775188779.958,83.1,0.08385,-2.0315
1775188789.894,93.0,0.08385,-2.0315
1775188794.21,97.4,0.08385,-2.0315
1775188800.563,103.7,0.08384,-1.912
1775188802.777,105.9,0.08384,-1.912
1775188804.524,107.7,0.08391,-2.7486
1775188805.525,108.7,0.08396,-3.3461
1775188806.584,109.7,0.08397,-3.4656
1775188809.127,112.3,0.08397,-3.4656
1775188811.439,114.6,0.08396,-3.3461
1775188813.603,116.7,0.08397,-3.4656
1775188815.908,119.0,0.08397,-3.4656
1775188817.99,121.1,0.08395,-3.2266
1775188819.342,122.5,0.08391,-2.7486
1775188821.678,124.8,0.08389,-2.5096
1775188824.447,127.6,0.08393,-2.9876
1775188825.638,128.8,0.08393,-2.9876
1775188826.829,130.0,0.08393,-2.9876
1775188829.108,132.2,0.08393,-2.9876
1775188830.476,133.6,0.08394,-3.1071
1775188832.615,135.8,0.08392,-2.8681
1775188835.727,138.9,0.08391,-2.7486
1775188848.877,152.0,0.08389,-2.5096
1775188851.024,154.2,0.08391,-2.7486
1775188854.343,157.5,0.0839,-2.6291
1775188855.219,158.4,0.08391,-2.7486
