# symbol=ORDIUSDT,side=LONG,entry_price=2.351,exit_price=2.359,exit_reason=lifecycle_reversal,sl_price=2.322788,tp_price=2.386265,leverage=10
ts,seconds,price,ret_margin_pct
1775194298.761,0.0,2.351,0.0
1775194306.959,8.2,2.352,0.4254
1775194310.86,12.1,2.353,0.8507
1775194311.871,13.1,2.353,0.8507
1775194323.439,24.7,2.352,0.4254
1775194325.404,26.6,2.353,0.8507
1775194328.122,29.4,2.353,0.8507
1775194329.168,30.4,2.354,1.2761
1775194332.541,33.8,2.354,1.2761
1775194333.69,34.9,2.355,1.7014
1775194334.897,36.1,2.358,2.9775
1775194335.924,37.2,2.358,2.9775
1775194337.045,38.3,2.357,2.5521
1775194338.066,39.3,2.358,2.9775
1775194339.559,40.8,2.358,2.9775
1775194341.187,42.4,2.36,3.8282
1775194343.76,45.0,2.36,3.8282
1775194344.8,46.0,2.359,3.4028
1775194346.307,47.5,2.358,2.9775
1775194352.031,53.3,2.358,2.9775
1775194354.058,55.3,2.357,2.5521
1775194363.181,64.4,2.357,2.5521
1775194365.196,66.4,2.357,2.5521
1775194370.487,71.7,2.356,2.1268
1775194379.803,81.0,2.355,1.7014
1775194381.829,83.1,2.355,1.7014
1775194385.261,86.5,2.354,1.2761
1775194387.341,88.6,2.354,1.2761
1775194390.448,91.7,2.354,1.2761
1775194391.807,93.0,2.354,1.2761
1775194393.577,94.8,2.354,1.2761
1775194398.042,99.3,2.354,1.2761
1775194399.369,100.6,2.354,1.2761
1775194402.044,103.3,2.355,1.7014
1775194415.82,117.1,2.355,1.7014
1775194434.299,135.5,2.355,1.7014
1775194437.333,138.6,2.355,1.7014
1775194440.831,142.1,2.356,2.1268
1775194442.796,144.0,2.358,2.9775
1775194444.356,145.6,2.357,2.5521
1775194447.544,148.8,2.356,2.1268
1775194449.853,151.1,2.356,2.1268
1775194451.812,153.1,2.355,1.7014
1775194459.179,160.4,2.355,1.7014
1775194478.741,180.0,2.354,1.2761
1775194487.376,188.6,2.355,1.7014
1775194490.337,191.6,2.355,1.7014
1775194502.102,203.3,2.356,2.1268
1775194503.468,204.7,2.357,2.5521
1775194506.285,207.5,2.358,2.9775
1775194510.397,211.6,2.359,3.4028
1775194521.526,222.8,2.359,3.4028
1775194523.811,225.1,2.359,3.4028
1775194543.317,244.6,2.359,3.4028
1775194548.65,249.9,2.359,3.4028
1775194554.025,255.3,2.359,3.4028
1775194559.812,261.1,2.358,2.9775
1775194560.819,262.1,2.358,2.9775
1775194564.441,265.7,2.359,3.4028
1775194565.474,266.7,2.359,3.4028
1775194570.301,271.5,2.358,2.9775
1775194571.317,272.6,2.359,3.4028
1775194574.309,275.5,2.359,3.4028
1775194574.644,275.9,2.359,3.4028
