# symbol=ORDIUSDT,side=LONG,entry_price=2.38,exit_price=2.373,exit_reason=strategy_stop,sl_price=2.3514399999999998,tp_price=2.4156999999999997,leverage=10
ts,seconds,price,ret_margin_pct
1775205125.951,0.0,2.38,0.0
1775205127.383,1.4,2.379,-0.4202
1775205129.638,3.7,2.378,-0.8403
1775205132.832,6.9,2.375,-2.1008
1775205134.207,8.3,2.374,-2.521
1775205139.514,13.6,2.373,-2.9412
1775205143.011,17.1,2.372,-3.3613
1775205145.312,19.4,2.371,-3.7815
1775205148.408,22.5,2.372,-3.3613
1775205176.179,50.2,2.372,-3.3613
1775205177.221,51.3,2.372,-3.3613
1775205179.651,53.7,2.372,-3.3613
1775205181.445,55.5,2.372,-3.3613
1775205182.559,56.6,2.372,-3.3613
1775205185.973,60.0,2.372,-3.3613
1775205187.037,61.1,2.372,-3.3613
1775205191.982,66.0,2.373,-2.9412
1775205197.293,71.3,2.372,-3.3613
1775205218.693,92.7,2.372,-3.3613
1775205219.798,93.8,2.371,-3.7815
1775205222.501,96.5,2.369,-4.6218
1775205229.671,103.7,2.37,-4.2017
1775205233.086,107.1,2.369,-4.6218
1775205241.451,115.5,2.37,-4.2017
1775205244.49,118.5,2.372,-3.3613
1775205245.557,119.6,2.373,-2.9412
1775205262.511,136.6,2.374,-2.521
1775205268.552,142.6,2.373,-2.9412
1775205273.209,147.3,2.374,-2.521
1775205283.416,157.5,2.374,-2.521
1775205291.813,165.9,2.374,-2.521
1775205292.892,166.9,2.374,-2.521
1775205302.627,176.7,2.375,-2.1008
1775205327.45,201.5,2.374,-2.521
1775205346.365,220.4,2.375,-2.1008
1775205349.999,224.0,2.375,-2.1008
1775205356.195,230.2,2.375,-2.1008
1775205357.816,231.9,2.375,-2.1008
1775205359.967,234.0,2.375,-2.1008
1775205361.322,235.4,2.375,-2.1008
1775205362.93,237.0,2.374,-2.521
1775205364.296,238.3,2.375,-2.1008
1775205366.517,240.6,2.376,-1.6807
1775205367.988,242.0,2.375,-2.1008
1775205370.988,245.0,2.375,-2.1008
1775205371.998,246.0,2.375,-2.1008
1775205373.156,247.2,2.375,-2.1008
1775205376.956,251.0,2.375,-2.1008
1775205382.673,256.7,2.374,-2.521
1775205385.618,259.7,2.375,-2.1008
1775205388.314,262.4,2.374,-2.521
1775205408.591,282.6,2.373,-2.9412
1775205422.063,296.1,2.374,-2.521
1775205423.787,297.8,2.373,-2.9412
1775205425.323,299.4,2.373,-2.9412
1775205435.132,309.2,2.372,-3.3613
1775205440.507,314.6,2.372,-3.3613
1775205444.471,318.5,2.371,-3.7815
1775205446.264,320.3,2.371,-3.7815
1775205481.544,355.6,2.372,-3.3613
1775205486.36,360.4,2.372,-3.3613
1775205492.93,367.0,2.372,-3.3613
1775205505.594,379.6,2.372,-3.3613
1775205518.407,392.5,2.373,-2.9412
1775205526.551,400.6,2.373,-2.9412
1775205530.298,404.3,2.373,-2.9412
1775205532.683,406.7,2.373,-2.9412
