# symbol=PHAUSDT,side=LONG,entry_price=0.03789,exit_price=0.03768,exit_reason=lifecycle_reversal,sl_price=0.03743532,tp_price=0.038458349999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775193124.421,0.0,0.03789,0.0
1775193126.133,1.7,0.03789,0.0
1775193128.203,3.8,0.03791,0.5278
1775193131.056,6.6,0.03792,0.7918
1775193135.584,11.2,0.03794,1.3196
1775193137.481,13.1,0.03789,0.0
1775193139.741,15.3,0.03789,0.0
1775193143.687,19.3,0.03789,0.0
1775193149.337,24.9,0.03788,-0.2639
1775193150.649,26.2,0.03788,-0.2639
1775193152.751,28.3,0.03789,0.0
1775193159.345,34.9,0.03788,-0.2639
1775193162.264,37.8,0.03784,-1.3196
1775193164.076,39.7,0.03783,-1.5835
1775193165.737,41.3,0.03785,-1.0557
1775193167.012,42.6,0.03781,-2.1114
1775193170.736,46.3,0.03781,-2.1114
1775193172.006,47.6,0.03781,-2.1114
1775193173.421,49.0,0.03781,-2.1114
1775193179.231,54.8,0.03781,-2.1114
1775193180.287,55.9,0.03789,0.0
1775193181.382,57.0,0.03785,-1.0557
1775193188.273,63.9,0.03785,-1.0557
1775193189.344,64.9,0.03785,-1.0557
1775193195.112,70.7,0.03785,-1.0557
1775193203.884,79.5,0.03786,-0.7918
1775193205.135,80.7,0.03787,-0.5278
1775193206.198,81.8,0.03787,-0.5278
1775193207.723,83.3,0.03787,-0.5278
1775193212.27,87.8,0.03787,-0.5278
1775193213.514,89.1,0.03771,-4.7506
1775193215.287,90.9,0.03773,-4.2228
1775193216.301,91.9,0.03774,-3.9588
1775193221.169,96.7,0.03773,-4.2228
1775193222.481,98.1,0.03774,-3.9588
1775193232.326,107.9,0.03775,-3.6949
1775193233.639,109.2,0.03776,-3.431
1775193237.186,112.8,0.03774,-3.9588
1775193238.386,114.0,0.03775,-3.6949
1775193240.477,116.1,0.03775,-3.6949
1775193241.48,117.1,0.03776,-3.431
1775193244.566,120.1,0.03777,-3.1671
1775193246.006,121.6,0.03777,-3.1671
1775193257.54,133.1,0.03777,-3.1671
1775193261.122,136.7,0.03777,-3.1671
1775193285.176,160.8,0.03778,-2.9031
1775193292.552,168.1,0.03779,-2.6392
1775193296.451,172.0,0.0378,-2.3753
1775193298.878,174.5,0.03775,-3.6949
1775193300.334,175.9,0.03773,-4.2228
1775193301.337,176.9,0.03771,-4.7506
1775193303.339,178.9,0.0377,-5.0145
1775193304.029,179.6,0.03768,-5.5424
