# symbol=PIPPINUSDT,side=LONG,entry_price=0.06296,exit_price=0.06283,exit_reason=vol_stop,sl_price=0.06283408,tp_price=0.0639044,leverage=10
ts,seconds,price,ret_margin_pct
1775185389.939,0.0,0.06296,0.0
1775185391.046,1.1,0.06308,1.906
1775185392.283,2.3,0.06305,1.4295
1775185393.351,3.4,0.06305,1.4295
1775185394.387,4.4,0.06302,0.953
1775185395.554,5.6,0.06304,1.2706
1775185396.667,6.7,0.06303,1.1118
1775185397.695,7.8,0.06304,1.2706
1775185399.499,9.6,0.06306,1.5883
1775185400.738,10.8,0.06304,1.2706
1775185401.788,11.8,0.06304,1.2706
1775185403.153,13.2,0.06304,1.2706
1775185404.634,14.7,0.0631,2.2236
1775185405.74,15.8,0.06327,4.9238
1775185407.098,17.2,0.06329,5.2414
1775185408.142,18.2,0.06322,4.1296
1775185409.254,19.3,0.06322,4.1296
1775185410.324,20.4,0.06321,3.9708
1775185411.441,21.5,0.06327,4.9238
1775185412.706,22.8,0.06324,4.4473
1775185415.082,25.1,0.06325,4.6061
1775185417.088,27.1,0.06323,4.2884
1775185418.377,28.4,0.06321,3.9708
1775185419.664,29.7,0.06322,4.1296
1775185421.078,31.1,0.06322,4.1296
1775185422.694,32.8,0.06324,4.4473
1775185424.117,34.2,0.06327,4.9238
1775185425.148,35.2,0.06323,4.2884
1775185426.247,36.3,0.06316,3.1766
1775185427.368,37.4,0.06317,3.3355
1775185429.015,39.1,0.06314,2.859
1775185430.873,40.9,0.06313,2.7001
1775185432.981,43.0,0.06315,3.0178
1775185433.983,44.0,0.06309,2.0648
1775185435.087,45.1,0.06304,1.2706
1775185436.641,46.7,0.06304,1.2706
1775185438.881,48.9,0.06303,1.1118
1775185440.092,50.2,0.06303,1.1118
1775185441.204,51.3,0.06303,1.1118
1775185441.743,51.8,0.06283,-2.0648
