# symbol=PIPPINUSDT,side=LONG,entry_price=0.06148,exit_price=0.06173,exit_reason=trailing_expansion,sl_price=0.060742239999999996,tp_price=0.06240219999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775194091.352,0.0,0.06148,0.0
1775194092.441,1.1,0.06148,0.0
1775194094.208,2.9,0.0615,0.3253
1775194095.814,4.5,0.06148,0.0
1775194098.022,6.7,0.06147,-0.1627
1775194101.428,10.1,0.06147,-0.1627
1775194104.212,12.9,0.06149,0.1627
1775194105.343,14.0,0.06148,0.0
1775194107.017,15.7,0.06149,0.1627
1775194108.277,16.9,0.06149,0.1627
1775194112.34,21.0,0.06149,0.1627
1775194114.36,23.0,0.0615,0.3253
1775194115.83,24.5,0.0615,0.3253
1775194117.887,26.5,0.06151,0.488
1775194119.055,27.7,0.0615,0.3253
1775194120.179,28.8,0.0615,0.3253
1775194123.154,31.8,0.0615,0.3253
1775194125.214,33.9,0.0615,0.3253
1775194126.7,35.3,0.06149,0.1627
1775194129.178,37.8,0.06148,0.0
1775194130.505,39.2,0.06151,0.488
1775194131.54,40.2,0.06153,0.8133
1775194132.549,41.2,0.06152,0.6506
1775194135.35,44.0,0.06153,0.8133
1775194138.095,46.7,0.06152,0.6506
1775194140.47,49.1,0.06152,0.6506
1775194141.492,50.1,0.06153,0.8133
1775194143.269,51.9,0.06153,0.8133
1775194145.358,54.0,0.06153,0.8133
1775194146.626,55.3,0.06157,1.4639
1775194147.663,56.3,0.0616,1.9519
1775194149.007,57.7,0.06157,1.4639
1775194151.148,59.8,0.06158,1.6265
1775194152.185,60.8,0.06159,1.7892
1775194153.606,62.3,0.0616,1.9519
1775194155.667,64.3,0.0616,1.9519
1775194157.235,65.9,0.06163,2.4398
1775194158.256,66.9,0.06167,3.0904
1775194159.517,68.2,0.06168,3.2531
1775194160.811,69.5,0.06165,2.7651
1775194162.333,71.0,0.06163,2.4398
1775194163.794,72.4,0.06164,2.6025
1775194165.094,73.7,0.06168,3.2531
1775194166.564,75.2,0.0617,3.5784
1775194168.08,76.7,0.06174,4.229
1775194169.219,77.9,0.06174,4.229
1775194170.302,78.9,0.06172,3.9037
1775194171.464,80.1,0.06171,3.7411
1775194172.571,81.2,0.06171,3.7411
1775194174.315,83.0,0.06172,3.9037
1775194176.108,84.8,0.0617,3.5784
1775194177.188,85.8,0.06169,3.4157
1775194179.391,88.0,0.0617,3.5784
1775194181.602,90.2,0.06169,3.4157
1775194182.617,91.3,0.0617,3.5784
1775194184.538,93.2,0.06169,3.4157
1775194185.6,94.2,0.06171,3.7411
1775194187.772,96.4,0.06169,3.4157
1775194189.02,97.7,0.06169,3.4157
1775194190.225,98.9,0.06168,3.2531
1775194191.923,100.6,0.06168,3.2531
1775194194.646,103.3,0.06167,3.0904
1775194196.164,104.8,0.06166,2.9278
1775194199.136,107.8,0.06165,2.7651
1775194200.492,109.1,0.06164,2.6025
1775194201.646,110.3,0.06159,1.7892
1775194203.541,112.2,0.0616,1.9519
1775194204.788,113.4,0.06158,1.6265
1775194206.22,114.9,0.06158,1.6265
1775194207.227,115.9,0.06142,-0.9759
1775194208.281,116.9,0.06144,-0.6506
1775194210.386,119.0,0.06143,-0.8133
1775194211.975,120.6,0.06141,-1.1386
1775194213.034,121.7,0.06142,-0.9759
1775194214.15,122.8,0.0614,-1.3012
1775194215.154,123.8,0.06139,-1.4639
1775194216.502,125.1,0.06139,-1.4639
1775194217.544,126.2,0.06144,-0.6506
1775194218.988,127.6,0.06144,-0.6506
1775194221.061,129.7,0.06147,-0.1627
1775194222.42,131.1,0.06146,-0.3253
1775194224.087,132.7,0.06143,-0.8133
1775194225.227,133.9,0.06141,-1.1386
1775194226.29,134.9,0.06142,-0.9759
1775194227.349,136.0,0.06142,-0.9759
1775194228.458,137.1,0.06143,-0.8133
1775194231.437,140.1,0.06142,-0.9759
1775194232.693,141.3,0.06143,-0.8133
1775194233.819,142.5,0.06146,-0.3253
1775194235.855,144.5,0.06145,-0.488
1775194236.864,145.5,0.06151,0.488
1775194238.645,147.3,0.06148,0.0
1775194240.552,149.2,0.0615,0.3253
1775194242.364,151.0,0.06153,0.8133
1775194244.833,153.5,0.06153,0.8133
1775194245.942,154.6,0.06155,1.1386
1775194247.182,155.8,0.06154,0.9759
1775194248.188,156.8,0.06154,0.9759
1775194250.576,159.2,0.06153,0.8133
1775194252.333,161.0,0.06144,-0.6506
1775194256.084,164.7,0.0615,0.3253
1775194258.335,167.0,0.06151,0.488
1775194259.985,168.6,0.0615,0.3253
1775194261.246,169.9,0.06151,0.488
1775194262.301,170.9,0.06151,0.488
1775194263.318,172.0,0.06158,1.6265
1775194264.452,173.1,0.06157,1.4639
1775194265.911,174.6,0.06157,1.4639
1775194266.961,175.6,0.06152,0.6506
1775194267.975,176.6,0.06152,0.6506
1775194271.326,180.0,0.06151,0.488
1775194272.493,181.1,0.0615,0.3253
1775194273.613,182.3,0.06149,0.1627
1775194275.191,183.8,0.06149,0.1627
1775194276.414,185.1,0.06156,1.3012
1775194279.504,188.2,0.06159,1.7892
1775194280.871,189.5,0.0616,1.9519
1775194282.399,191.0,0.06157,1.4639
1775194283.664,192.3,0.06159,1.7892
1775194285.387,194.0,0.06162,2.2772
1775194287.104,195.8,0.06164,2.6025
1775194288.743,197.4,0.06165,2.7651
1775194290.638,199.3,0.06164,2.6025
1775194291.828,200.5,0.06164,2.6025
1775194293.046,201.7,0.06162,2.2772
1775194297.344,206.0,0.06163,2.4398
1775194298.763,207.4,0.06162,2.2772
1775194300.065,208.7,0.06162,2.2772
1775194304.004,212.7,0.06161,2.1145
1775194305.346,214.0,0.06162,2.2772
1775194306.914,215.6,0.06161,2.1145
1775194308.331,217.0,0.06161,2.1145
1775194309.938,218.6,0.06162,2.2772
1775194311.838,220.5,0.06161,2.1145
1775194314.847,223.5,0.06156,1.3012
1775194315.906,224.6,0.06158,1.6265
1775194317.189,225.8,0.06159,1.7892
1775194320.425,229.1,0.06158,1.6265
1775194321.56,230.2,0.06159,1.7892
1775194322.699,231.3,0.06159,1.7892
1775194324.172,232.8,0.06159,1.7892
1775194325.457,234.1,0.06159,1.7892
