# symbol=PIPPINUSDT,side=LONG,entry_price=0.06176,exit_price=0.06137,exit_reason=dynamic_vol_stop,sl_price=0.061018880000000005,tp_price=0.0626864,leverage=10
ts,seconds,price,ret_margin_pct
1775194354.039,0.0,0.06176,0.0
1775194355.066,1.0,0.0618,0.6477
1775194356.147,2.1,0.0618,0.6477
1775194357.203,3.2,0.0618,0.6477
1775194358.421,4.4,0.0618,0.6477
1775194359.666,5.6,0.06179,0.4858
1775194360.843,6.8,0.06173,-0.4858
1775194362.288,8.2,0.06173,-0.4858
1775194364.037,10.0,0.06174,-0.3238
1775194365.558,11.5,0.06175,-0.1619
1775194366.593,12.6,0.06172,-0.6477
1775194367.605,13.6,0.06173,-0.4858
1775194369.062,15.0,0.06171,-0.8096
1775194370.844,16.8,0.0617,-0.9715
1775194371.946,17.9,0.06163,-2.1049
1775194373.491,19.5,0.06165,-1.7811
1775194374.514,20.5,0.06168,-1.2953
1775194376.006,22.0,0.06169,-1.1334
1775194378.417,24.4,0.0617,-0.9715
1775194379.421,25.4,0.06158,-2.9145
1775194380.597,26.6,0.06151,-4.0479
1775194382.414,28.4,0.06153,-3.7241
1775194383.489,29.5,0.06147,-4.6956
1775194384.607,30.6,0.06147,-4.6956
1775194385.681,31.6,0.06145,-5.0194
1775194386.829,32.8,0.06144,-5.1813
1775194387.883,33.8,0.06143,-5.3433
1775194389.721,35.7,0.06142,-5.5052
1775194390.867,36.8,0.06142,-5.5052
1775194392.072,38.0,0.06143,-5.3433
1775194393.092,39.1,0.06137,-6.3148
1775194393.574,39.5,0.06137,-6.3148
