# symbol=PIPPINUSDT,side=SHORT,entry_price=0.05836,exit_price=0.05775,exit_reason=trailing_expansion,sl_price=0.05906032,tp_price=0.057484600000000004,leverage=10
ts,seconds,price,ret_margin_pct
1775204920.515,0.0,0.05836,0.0
1775204921.563,1.0,0.05828,1.3708
1775204922.67,2.2,0.05835,0.1714
1775204923.785,3.3,0.05843,-1.1995
1775204924.838,4.3,0.05844,-1.3708
1775204925.844,5.3,0.05837,-0.1714
1775204926.846,6.3,0.05839,-0.5141
1775204927.925,7.4,0.05827,1.5422
1775204928.932,8.4,0.05855,-3.2557
1775204930.027,9.5,0.05845,-1.5422
1775204931.032,10.5,0.05837,-0.1714
1775204932.084,11.6,0.05837,-0.1714
1775204933.112,12.6,0.05832,0.6854
1775204934.234,13.7,0.05868,-5.4832
1775204935.381,14.9,0.05873,-6.34
1775204936.453,15.9,0.05867,-5.3119
1775204937.458,16.9,0.05869,-5.6546
1775204938.478,18.0,0.05867,-5.3119
1775204939.553,19.0,0.05857,-3.5984
1775204940.566,20.1,0.05862,-4.4551
1775204941.635,21.1,0.05842,-1.0281
1775204942.795,22.3,0.05847,-1.8849
1775204943.891,23.4,0.05848,-2.0562
1775204944.992,24.5,0.05849,-2.2276
1775204946.039,25.5,0.05851,-2.5703
1775204947.079,26.6,0.05854,-3.0843
1775204948.111,27.6,0.05848,-2.0562
1775204949.117,28.6,0.05851,-2.5703
1775204950.149,29.6,0.05846,-1.7135
1775204951.269,30.8,0.05848,-2.0562
1775204952.306,31.8,0.05846,-1.7135
1775204953.324,32.8,0.05846,-1.7135
1775204954.328,33.8,0.05851,-2.5703
1775204955.424,34.9,0.05855,-3.2557
1775204956.467,36.0,0.05845,-1.5422
1775204957.487,37.0,0.05849,-2.2276
1775204958.576,38.1,0.0585,-2.3989
1775204959.585,39.1,0.05847,-1.8849
1775204960.62,40.1,0.05844,-1.3708
1775204961.67,41.2,0.05846,-1.7135
1775204962.697,42.2,0.05842,-1.0281
1775204963.709,43.2,0.05838,-0.3427
1775204964.788,44.3,0.0584,-0.6854
1775204965.83,45.3,0.0584,-0.6854
1775204966.97,46.5,0.0584,-0.6854
1775204968.068,47.6,0.05841,-0.8568
1775204969.08,48.6,0.05841,-0.8568
1775204970.287,49.8,0.05841,-0.8568
1775204971.307,50.8,0.05841,-0.8568
1775204972.378,51.9,0.05841,-0.8568
1775204973.547,53.0,0.0584,-0.6854
1775204974.578,54.1,0.05828,1.3708
1775204975.592,55.1,0.05818,3.0843
1775204976.607,56.1,0.05829,1.1995
1775204977.67,57.2,0.05824,2.0562
1775204978.72,58.2,0.05827,1.5422
1775204979.765,59.2,0.0583,1.0281
1775204980.868,60.4,0.05835,0.1714
1775204981.902,61.4,0.05825,1.8849
1775204982.984,62.5,0.05833,0.5141
1775204983.992,63.5,0.05829,1.1995
1775204985.079,64.6,0.05834,0.3427
1775204986.092,65.6,0.05833,0.5141
1775204987.119,66.6,0.05832,0.6854
1775204988.139,67.6,0.05834,0.3427
1775204989.159,68.6,0.05822,2.3989
1775204990.185,69.7,0.05824,2.0562
1775204991.224,70.7,0.05827,1.5422
1775204992.302,71.8,0.05827,1.5422
1775204993.314,72.8,0.05872,-6.1686
1775204994.364,73.8,0.05864,-4.7978
1775204995.389,74.9,0.05875,-6.6827
1775204996.523,76.0,0.05883,-8.0535
1775204997.628,77.1,0.0588,-7.5394
1775204999.62,79.1,0.05871,-5.9973
1775205000.846,80.3,0.05855,-3.2557
1775205001.891,81.4,0.05855,-3.2557
1775205002.907,82.4,0.05851,-2.5703
1775205003.952,83.4,0.05858,-3.7697
1775205005.415,84.9,0.05864,-4.7978
1775205006.565,86.0,0.05859,-3.9411
1775205007.567,87.1,0.05848,-2.0562
1775205008.569,88.1,0.05851,-2.5703
1775205009.626,89.1,0.0585,-2.3989
1775205010.632,90.1,0.0585,-2.3989
1775205011.642,91.1,0.05851,-2.5703
1775205012.731,92.2,0.0585,-2.3989
1775205013.739,93.2,0.05849,-2.2276
1775205014.794,94.3,0.05851,-2.5703
1775205015.863,95.3,0.05844,-1.3708
1775205016.868,96.4,0.05837,-0.1714
1775205017.907,97.4,0.05836,0.0
1775205018.911,98.4,0.05836,0.0
1775205019.928,99.4,0.05831,0.8568
1775205020.941,100.4,0.05832,0.6854
1775205022.005,101.5,0.05834,0.3427
1775205023.009,102.5,0.05825,1.8849
1775205024.024,103.5,0.05822,2.3989
1775205025.089,104.6,0.0582,2.7416
1775205026.113,105.6,0.05822,2.3989
1775205027.135,106.6,0.05822,2.3989
1775205028.21,107.7,0.05814,3.7697
1775205029.212,108.7,0.05807,4.9692
1775205030.216,109.7,0.05807,4.9692
1775205031.228,110.7,0.05803,5.6546
1775205032.272,111.8,0.0581,4.4551
1775205033.339,112.8,0.05781,9.4243
1775205034.417,113.9,0.05779,9.767
1775205035.448,114.9,0.0577,11.3091
1775205036.469,116.0,0.05768,11.6518
1775205037.503,117.0,0.05773,10.7951
1775205038.561,118.0,0.05759,13.194
1775205039.597,119.1,0.05768,11.6518
1775205040.806,120.3,0.05775,10.4524
