# symbol=PROMPTUSDT,side=LONG,entry_price=0.03309,exit_price=0.03301,exit_reason=vol_stop,sl_price=0.03302382,tp_price=0.03358635,leverage=10
ts,seconds,price,ret_margin_pct
1775185500.958,0.0,0.03309,0.0
1775185512.806,11.8,0.03311,0.6044
1775185514.629,13.7,0.03311,0.6044
1775185515.885,14.9,0.03311,0.6044
1775185517.062,16.1,0.03313,1.2088
1775185525.973,25.0,0.03313,1.2088
1775185528.475,27.5,0.03313,1.2088
1775185536.45,35.5,0.03312,0.9066
1775185542.835,41.9,0.03311,0.6044
1775185544.474,43.5,0.03306,-0.9066
1775185546.357,45.4,0.03304,-1.511
1775185549.648,48.7,0.03312,0.9066
1775185553.463,52.5,0.0331,0.3022
1775185557.813,56.9,0.03304,-1.511
1775185565.341,64.4,0.03308,-0.3022
1775185569.603,68.6,0.03305,-1.2088
1775185570.657,69.7,0.03305,-1.2088
1775185574.447,73.5,0.03301,-2.4176
1775185574.988,74.0,0.03301,-2.4176
