# symbol=PROMPTUSDT,side=LONG,entry_price=0.03401,exit_price=0.03392,exit_reason=lifecycle_reversal,sl_price=0.03360188,tp_price=0.03452014999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775195281.505,0.0,0.03401,0.0
1775195285.79,4.3,0.03397,-1.1761
1775195294.102,12.6,0.03397,-1.1761
1775195298.625,17.1,0.034,-0.294
1775195300.677,19.2,0.034,-0.294
1775195314.957,33.5,0.03398,-0.8821
1775195328.257,46.8,0.034,-0.294
1775195340.527,59.0,0.03398,-0.8821
1775195341.835,60.3,0.03403,0.5881
1775195349.432,67.9,0.03405,1.1761
1775195351.445,69.9,0.03409,2.3522
1775195354.887,73.4,0.0341,2.6463
1775195356.233,74.7,0.03408,2.0582
1775195362.983,81.5,0.03405,1.1761
1775195370.353,88.8,0.03407,1.7642
1775195374.679,93.2,0.03405,1.1761
1775195380.17,98.7,0.03406,1.4702
1775195381.274,99.8,0.034,-0.294
1775195394.283,112.8,0.03402,0.294
1775195395.331,113.8,0.03404,0.8821
1775195398.833,117.3,0.03404,0.8821
1775195400.649,119.1,0.03404,0.8821
1775195408.169,126.7,0.03405,1.1761
1775195409.559,128.1,0.03405,1.1761
1775195412.669,131.2,0.03404,0.8821
1775195424.139,142.6,0.03405,1.1761
1775195447.796,166.3,0.03405,1.1761
1775195453.431,171.9,0.03402,0.294
1775195459.831,178.3,0.03404,0.8821
1775195468.115,186.6,0.03404,0.8821
1775195478.572,197.1,0.03404,0.8821
1775195480.059,198.6,0.03404,0.8821
1775195482.863,201.4,0.03404,0.8821
1775195486.241,204.7,0.03405,1.1761
1775195487.29,205.8,0.03409,2.3522
1775195488.835,207.3,0.03414,3.8224
1775195491.167,209.7,0.03414,3.8224
1775195492.741,211.2,0.0341,2.6463
1775195497.087,215.6,0.0341,2.6463
1775195500.255,218.8,0.03409,2.3522
1775195505.516,224.0,0.03411,2.9403
1775195514.277,232.8,0.0341,2.6463
1775195523.4,241.9,0.0341,2.6463
1775195524.574,243.1,0.03409,2.3522
1775195527.234,245.7,0.03409,2.3522
1775195528.393,246.9,0.03408,2.0582
1775195529.472,248.0,0.03407,1.7642
1775195532.532,251.0,0.03408,2.0582
1775195534.251,252.7,0.03407,1.7642
1775195535.834,254.3,0.03404,0.8821
1775195540.369,258.9,0.03403,0.5881
1775195544.837,263.3,0.03403,0.5881
1775195546.709,265.2,0.03398,-0.8821
1775195548.357,266.9,0.03398,-0.8821
1775195550.448,268.9,0.03402,0.294
1775195560.14,278.6,0.03398,-0.8821
1775195565.22,283.7,0.03398,-0.8821
1775195569.356,287.9,0.03395,-1.7642
1775195574.729,293.2,0.03395,-1.7642
1775195575.828,294.3,0.03394,-2.0582
1775195579.361,297.9,0.03395,-1.7642
1775195580.762,299.3,0.03395,-1.7642
1775195590.571,309.1,0.03395,-1.7642
1775195596.993,315.5,0.03394,-2.0582
1775195603.696,322.2,0.03392,-2.6463
