# symbol=RAYSOLUSDT,side=LONG,entry_price=0.6763,exit_price=0.6761,exit_reason=lifecycle_reversal,sl_price=0.6722422,tp_price=0.6864444999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775188001.367,0.0,0.6763,0.0
1775188004.258,2.9,0.6764,0.1479
1775188006.589,5.2,0.6762,-0.1479
1775188013.198,11.8,0.6756,-1.035
1775188015.902,14.5,0.6758,-0.7393
1775188016.919,15.6,0.6757,-0.8872
1775188020.379,19.0,0.676,-0.4436
1775188021.402,20.0,0.676,-0.4436
1775188022.439,21.1,0.676,-0.4436
1775188023.517,22.2,0.6757,-0.8872
1775188027.437,26.1,0.6761,-0.2957
1775188033.127,31.8,0.6764,0.1479
1775188035.326,34.0,0.6762,-0.1479
1775188038.706,37.3,0.6762,-0.1479
1775188040.846,39.5,0.6762,-0.1479
1775188045.517,44.2,0.676,-0.4436
1775188047.236,45.9,0.6762,-0.1479
1775188053.608,52.2,0.6766,0.4436
1775188054.617,53.3,0.6764,0.1479
1775188066.727,65.4,0.6765,0.2957
1775188072.654,71.3,0.6771,1.1829
1775188075.57,74.2,0.6769,0.8872
1775188076.926,75.6,0.6767,0.5915
1775188080.492,79.1,0.6771,1.1829
1775188081.773,80.4,0.6771,1.1829
1775188094.17,92.8,0.677,1.035
1775188096.953,95.6,0.677,1.035
1775188113.84,112.5,0.6769,0.8872
1775188116.603,115.2,0.6767,0.5915
1775188121.255,119.9,0.6768,0.7393
1775188122.689,121.3,0.6763,0.0
1775188124.321,123.0,0.6764,0.1479
1775188129.188,127.8,0.6762,-0.1479
1775188141.517,140.2,0.6767,0.5915
1775188152.712,151.3,0.6764,0.1479
1775188166.452,165.1,0.676,-0.4436
1775188180.043,178.7,0.6753,-1.4786
1775188201.561,200.2,0.676,-0.4436
1775188203.032,201.7,0.6758,-0.7393
1775188204.911,203.5,0.6756,-1.035
1775188208.612,207.2,0.6755,-1.1829
1775188214.432,213.1,0.6762,-0.1479
1775188229.686,228.3,0.6765,0.2957
1775188234.707,233.3,0.6761,-0.2957
1775188242.103,240.7,0.6761,-0.2957
