# symbol=RESOLVUSDT,side=LONG,entry_price=0.04239,exit_price=0.04261,exit_reason=strategy_stop,sl_price=0.04230522,tp_price=0.04302584999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185443.511,0.0,0.04239,0.0
1775185450.692,7.2,0.0424,0.2359
1775185452.435,8.9,0.0424,0.2359
1775185463.919,20.4,0.04241,0.4718
1775185472.134,28.6,0.04241,0.4718
1775185473.803,30.3,0.04241,0.4718
1775185477.678,34.2,0.0424,0.2359
1775185480.994,37.5,0.0424,0.2359
1775185493.662,50.2,0.0424,0.2359
1775185494.948,51.4,0.04239,0.0
1775185498.002,54.5,0.04238,-0.2359
1775185503.703,60.2,0.04238,-0.2359
1775185507.381,63.9,0.04237,-0.4718
1775185508.543,65.0,0.04237,-0.4718
1775185512.985,69.5,0.04238,-0.2359
1775185516.648,73.1,0.04239,0.0
1775185521.229,77.7,0.0424,0.2359
1775185522.433,78.9,0.04242,0.7077
1775185524.672,81.2,0.04243,0.9436
1775185525.878,82.4,0.04243,0.9436
1775185526.992,83.5,0.04243,0.9436
1775185536.205,92.7,0.04242,0.7077
1775185539.582,96.1,0.0424,0.2359
1775185541.401,97.9,0.04241,0.4718
1775185552.523,109.0,0.04241,0.4718
1775185554.296,110.8,0.04242,0.7077
1775185555.687,112.2,0.04242,0.7077
1775185556.968,113.5,0.04242,0.7077
1775185562.378,118.9,0.04242,0.7077
1775185565.924,122.4,0.04243,0.9436
1775185569.868,126.4,0.04248,2.1231
1775185577.606,134.1,0.04248,2.1231
1775185582.58,139.1,0.04249,2.359
1775185588.51,145.0,0.04249,2.359
1775185589.569,146.1,0.04249,2.359
1775185590.762,147.3,0.04254,3.5386
1775185591.879,148.4,0.04253,3.3027
1775185599.058,155.5,0.04261,5.1899
1775185600.267,156.8,0.0426,4.954
1775185605.278,161.8,0.04261,5.1899
