# symbol=RESOLVUSDT,side=LONG,entry_price=0.04196,exit_price=0.0419,exit_reason=lifecycle_reversal,sl_price=0.04145648,tp_price=0.04258939999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775195484.415,0.0,0.04196,0.0
1775195486.935,2.5,0.04196,0.0
1775195488.07,3.7,0.04196,0.0
1775195489.914,5.5,0.04193,-0.715
1775195494.483,10.1,0.04193,-0.715
1775195497.014,12.6,0.04193,-0.715
1775195501.541,17.1,0.04193,-0.715
1775195503.716,19.3,0.04193,-0.715
1775195507.76,23.3,0.04193,-0.715
1775195509.37,25.0,0.04193,-0.715
1775195513.537,29.1,0.04193,-0.715
1775195515.269,30.9,0.04192,-0.9533
1775195516.973,32.6,0.04191,-1.1916
1775195519.588,35.2,0.04191,-1.1916
1775195521.076,36.7,0.04192,-0.9533
1775195522.364,37.9,0.0419,-1.4299
1775195524.481,40.1,0.0419,-1.4299
1775195528.423,44.0,0.0419,-1.4299
1775195531.578,47.2,0.04189,-1.6683
1775195536.038,51.6,0.04189,-1.6683
1775195537.702,53.3,0.04188,-1.9066
1775195551.268,66.9,0.04189,-1.6683
1775195555.414,71.0,0.04189,-1.6683
1775195556.954,72.5,0.04193,-0.715
1775195558.43,74.0,0.04192,-0.9533
1775195559.576,75.2,0.04191,-1.1916
1775195561.643,77.2,0.04192,-0.9533
1775195562.646,78.2,0.04192,-0.9533
1775195570.31,85.9,0.04199,0.715
1775195574.284,89.9,0.04199,0.715
1775195578.417,94.0,0.04199,0.715
1775195580.535,96.1,0.04198,0.4766
1775195581.813,97.4,0.04197,0.2383
1775195586.761,102.3,0.04199,0.715
1775195588.639,104.2,0.04198,0.4766
1775195591.176,106.8,0.04199,0.715
1775195592.958,108.5,0.04201,1.1916
1775195601.583,117.2,0.042,0.9533
1775195608.881,124.5,0.04201,1.1916
1775195611.461,127.0,0.04201,1.1916
1775195614.034,129.6,0.04201,1.1916
1775195618.042,133.6,0.04202,1.4299
1775195624.463,140.0,0.04202,1.4299
1775195628.0,143.6,0.04201,1.1916
1775195629.447,145.0,0.04199,0.715
1775195632.033,147.6,0.04199,0.715
1775195634.803,150.4,0.04199,0.715
1775195640.767,156.4,0.042,0.9533
1775195642.709,158.3,0.04195,-0.2383
1775195656.996,172.6,0.04196,0.0
1775195658.536,174.1,0.04197,0.2383
1775195663.323,178.9,0.04196,0.0
1775195665.205,180.8,0.04195,-0.2383
1775195667.666,183.3,0.04195,-0.2383
1775195676.272,191.9,0.04195,-0.2383
1775195680.741,196.3,0.04195,-0.2383
1775195682.951,198.5,0.04196,0.0
1775195684.492,200.1,0.04195,-0.2383
1775195687.279,202.9,0.04196,0.0
1775195692.149,207.7,0.04196,0.0
1775195693.55,209.1,0.04195,-0.2383
1775195696.981,212.6,0.04194,-0.4766
1775195702.348,217.9,0.04193,-0.715
1775195716.039,231.6,0.04193,-0.715
1775195717.48,233.1,0.04193,-0.715
1775195729.07,244.7,0.04192,-0.9533
1775195730.941,246.5,0.04192,-0.9533
1775195732.591,248.2,0.04191,-1.1916
1775195733.614,249.2,0.04191,-1.1916
1775195738.026,253.6,0.04191,-1.1916
1775195741.628,257.2,0.04192,-0.9533
1775195742.977,258.6,0.04191,-1.1916
1775195744.936,260.5,0.04192,-0.9533
1775195749.296,264.9,0.04191,-1.1916
1775195751.063,266.6,0.04191,-1.1916
1775195756.751,272.3,0.04191,-1.1916
1775195760.52,276.1,0.04191,-1.1916
1775195767.812,283.4,0.0419,-1.4299
1775195770.474,286.1,0.0419,-1.4299
1775195775.304,290.9,0.04191,-1.1916
1775195778.698,294.3,0.04189,-1.6683
1775195780.236,295.8,0.04189,-1.6683
1775195783.639,299.2,0.04189,-1.6683
1775195801.701,317.3,0.04189,-1.6683
1775195804.373,320.0,0.04189,-1.6683
1775195806.396,322.0,0.04188,-1.9066
1775195807.817,323.4,0.04187,-2.1449
1775195809.975,325.6,0.04187,-2.1449
1775195813.669,329.3,0.04187,-2.1449
1775195817.772,333.4,0.04191,-1.1916
1775195819.975,335.6,0.0419,-1.4299
1775195822.992,338.6,0.0419,-1.4299
1775195827.178,342.8,0.04191,-1.1916
1775195855.439,371.0,0.04191,-1.1916
1775195856.801,372.4,0.0419,-1.4299
1775195860.432,376.0,0.0419,-1.4299
1775195865.294,380.9,0.04191,-1.1916
1775195870.688,386.3,0.0419,-1.4299
1775195871.856,387.4,0.0419,-1.4299
1775195873.289,388.9,0.0419,-1.4299
1775195875.036,390.6,0.0419,-1.4299
1775195876.747,392.3,0.0419,-1.4299
1775195880.696,396.3,0.04191,-1.1916
1775195882.115,397.7,0.0419,-1.4299
1775195888.701,404.3,0.0419,-1.4299
1775195893.375,409.0,0.04191,-1.1916
1775195900.045,415.6,0.0419,-1.4299
1775195901.584,417.2,0.04193,-0.715
1775195902.644,418.2,0.04194,-0.4766
1775195914.391,430.0,0.04194,-0.4766
1775195920.156,435.7,0.04194,-0.4766
1775195925.845,441.4,0.04194,-0.4766
1775195933.249,448.8,0.04194,-0.4766
1775195934.349,449.9,0.04194,-0.4766
1775195937.347,452.9,0.04191,-1.1916
1775195940.656,456.2,0.04191,-1.1916
1775195960.285,475.9,0.0419,-1.4299
1775195963.506,479.1,0.0419,-1.4299
1775195966.073,481.7,0.0419,-1.4299
1775195967.431,483.0,0.0419,-1.4299
