# symbol=RIVERUSDT,side=LONG,entry_price=12.371,exit_price=12.457,exit_reason=trailing_expansion,sl_price=12.222548,tp_price=12.556564999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775204884.897,0.0,12.371,0.0
1775204885.906,1.0,12.33,-3.3142
1775204886.912,2.0,12.34,-2.5059
1775204887.928,3.0,12.332,-3.1525
1775204888.999,4.1,12.357,-1.1317
1775204890.043,5.1,12.368,-0.2425
1775204891.044,6.1,12.368,-0.2425
1775204892.048,7.2,12.364,-0.5658
1775204893.102,8.2,12.35,-1.6975
1775204894.122,9.2,12.379,0.6467
1775204895.154,10.3,12.367,-0.3233
1775204896.335,11.4,12.386,1.2125
1775204897.365,12.5,12.381,0.8083
1775204898.494,13.6,12.369,-0.1617
1775204899.636,14.7,12.37,-0.0808
1775204900.67,15.8,12.395,1.94
1775204901.683,16.8,12.413,3.395
1775204902.731,17.8,12.39,1.5358
1775204903.854,19.0,12.399,2.2634
1775204904.903,20.0,12.385,1.1317
1775204905.944,21.0,12.397,2.1017
1775204907.038,22.1,12.389,1.455
1775204908.063,23.2,12.399,2.2634
1775204909.112,24.2,12.406,2.8292
1775204910.2,25.3,12.409,3.0717
1775204911.229,26.3,12.417,3.7184
1775204912.354,27.5,12.426,4.4459
1775204913.359,28.5,12.43,4.7692
1775204914.397,29.5,12.418,3.7992
1775204915.428,30.5,12.407,2.91
1775204916.442,31.5,12.386,1.2125
1775204917.461,32.6,12.372,0.0808
1775204918.472,33.6,12.392,1.6975
1775204919.646,34.7,12.384,1.0508
1775204920.722,35.8,12.363,-0.6467
1775204921.849,37.0,12.347,-1.94
1775204922.913,38.0,12.34,-2.5059
1775204923.957,39.1,12.355,-1.2933
1775204925.035,40.1,12.355,-1.2933
1775204926.039,41.1,12.346,-2.0209
1775204927.08,42.2,12.347,-1.94
1775204928.232,43.3,12.354,-1.3742
1775204929.308,44.4,12.349,-1.7784
1775204930.312,45.4,12.337,-2.7484
1775204931.331,46.4,12.32,-4.1225
1775204932.381,47.5,12.318,-4.2842
1775204933.438,48.5,12.336,-2.8292
1775204934.475,49.6,12.327,-3.5567
1775204935.482,50.6,12.325,-3.7184
1775204936.524,51.6,12.323,-3.88
1775204937.637,52.7,12.354,-1.3742
1775204938.655,53.8,12.358,-1.0508
1775204939.74,54.8,12.347,-1.94
1775204940.814,55.9,12.386,1.2125
1775204941.908,57.0,12.38,0.7275
1775204942.937,58.0,12.414,3.4759
1775204943.965,59.1,12.409,3.0717
1775204944.968,60.1,12.413,3.395
1775204946.037,61.1,12.396,2.0209
1775204947.067,62.2,12.405,2.7484
1775204948.069,63.2,12.375,0.3233
1775204949.125,64.2,12.385,1.1317
1775204950.147,65.3,12.391,1.6167
1775204951.215,66.3,12.402,2.5059
1775204952.255,67.4,12.402,2.5059
1775204953.257,68.4,12.389,1.455
1775204954.262,69.4,12.388,1.3742
1775204955.293,70.4,12.372,0.0808
1775204956.311,71.4,12.373,0.1617
1775204957.332,72.4,12.378,0.5658
1775204958.35,73.5,12.377,0.485
1775204959.413,74.5,12.367,-0.3233
1775204960.483,75.6,12.344,-2.1825
1775204961.505,76.6,12.338,-2.6675
1775204962.517,77.6,12.333,-3.0717
1775204963.518,78.6,12.333,-3.0717
1775204964.561,79.7,12.34,-2.5059
1775204965.586,80.7,12.367,-0.3233
1775204966.651,81.8,12.374,0.2425
1775204967.726,82.8,12.372,0.0808
1775204968.989,84.1,12.374,0.2425
1775204970.128,85.2,12.353,-1.455
1775204971.138,86.2,12.366,-0.4042
1775204972.198,87.3,12.375,0.3233
1775204973.249,88.4,12.358,-1.0508
1775204974.335,89.4,12.335,-2.91
1775204975.374,90.5,12.333,-3.0717
1775204976.387,91.5,12.36,-0.8892
1775204977.423,92.5,12.354,-1.3742
1775204978.472,93.6,12.345,-2.1017
1775204979.551,94.7,12.352,-1.5358
1775204980.569,95.7,12.369,-0.1617
1775204981.618,96.7,12.358,-1.0508
1775204982.657,97.8,12.374,0.2425
1775204983.675,98.8,12.42,3.9609
1775204984.754,99.9,12.417,3.7184
1775204985.782,100.9,12.407,2.91
1775204986.798,101.9,12.414,3.4759
1775204987.903,103.0,12.392,1.6975
1775204988.948,104.1,12.393,1.7784
1775204990.066,105.2,12.378,0.5658
1775204991.101,106.2,12.383,0.97
1775204992.134,107.2,12.375,0.3233
1775204993.737,108.8,12.377,0.485
1775204994.815,109.9,12.39,1.5358
1775204995.853,111.0,12.373,0.1617
1775204996.865,112.0,12.375,0.3233
1775204997.868,113.0,12.354,-1.3742
1775204998.969,114.1,12.339,-2.5867
1775205000.021,115.1,12.349,-1.7784
1775205001.025,116.1,12.364,-0.5658
1775205002.138,117.2,12.387,1.2933
1775205003.143,118.2,12.377,0.485
1775205004.155,119.3,12.368,-0.2425
1775205005.173,120.3,12.389,1.455
1775205006.185,121.3,12.404,2.6675
1775205007.228,122.3,12.429,4.6884
1775205008.234,123.3,12.41,3.1525
1775205009.281,124.4,12.417,3.7184
1775205010.353,125.5,12.387,1.2933
1775205011.361,126.5,12.397,2.1017
1775205012.405,127.5,12.395,1.94
1775205013.443,128.5,12.397,2.1017
1775205014.447,129.6,12.416,3.6375
1775205015.511,130.6,12.406,2.8292
1775205016.567,131.7,12.405,2.7484
1775205017.585,132.7,12.416,3.6375
1775205018.612,133.7,12.384,1.0508
1775205019.642,134.7,12.396,2.0209
1775205020.67,135.8,12.402,2.5059
1775205021.672,136.8,12.419,3.88
1775205022.676,137.8,12.394,1.8592
1775205023.757,138.9,12.394,1.8592
1775205024.801,139.9,12.413,3.395
1775205025.881,141.0,12.407,2.91
1775205026.962,142.1,12.399,2.2634
1775205027.97,143.1,12.399,2.2634
1775205029.01,144.1,12.41,3.1525
1775205030.057,145.2,12.412,3.3142
1775205031.211,146.3,12.422,4.1225
1775205032.267,147.4,12.421,4.0417
1775205033.273,148.4,12.441,5.6584
1775205034.31,149.4,12.434,5.0926
1775205035.314,150.4,12.43,4.7692
1775205036.335,151.4,12.449,6.3051
1775205037.402,152.5,12.436,5.2542
1775205038.5,153.6,12.432,4.9309
1775205039.514,154.6,12.431,4.8501
1775205040.548,155.7,12.448,6.2242
1775205041.555,156.7,12.397,2.1017
1775205042.574,157.7,12.409,3.0717
1775205043.582,158.7,12.387,1.2933
1775205044.585,159.7,12.383,0.97
1775205045.682,160.8,12.384,1.0508
1775205046.682,161.8,12.405,2.7484
1775205047.709,162.8,12.42,3.9609
1775205048.77,163.9,12.439,5.4967
1775205049.789,164.9,12.424,4.2842
1775205050.798,165.9,12.422,4.1225
1775205051.843,166.9,12.426,4.4459
1775205052.912,168.0,12.42,3.9609
1775205053.924,169.0,12.429,4.6884
1775205055.008,170.1,12.428,4.6075
1775205056.046,171.1,12.434,5.0926
1775205057.104,172.2,12.426,4.4459
1775205058.184,173.3,12.412,3.3142
1775205059.258,174.4,12.412,3.3142
1775205060.399,175.5,12.411,3.2334
1775205061.407,176.5,12.438,5.4159
1775205062.553,177.7,12.447,6.1434
1775205063.595,178.7,12.462,7.3559
1775205064.609,179.7,12.466,7.6792
1775205065.552,180.7,12.457,6.9517
