# symbol=RIVERUSDT,side=LONG,entry_price=12.457,exit_price=12.332,exit_reason=dynamic_vol_stop,sl_price=12.307516000000001,tp_price=12.643855,leverage=10
ts,seconds,price,ret_margin_pct
1775205065.99,0.0,12.457,0.0
1775205067.11,1.1,12.45,-0.5619
1775205068.152,2.2,12.444,-1.0436
1775205069.203,3.2,12.436,-1.6858
1775205070.234,4.2,12.436,-1.6858
1775205071.303,5.3,12.393,-5.1377
1775205072.31,6.3,12.379,-6.2615
1775205073.332,7.3,12.38,-6.1813
1775205074.332,8.3,12.377,-6.4221
1775205075.345,9.4,12.342,-9.2318
1775205075.807,9.8,12.332,-10.0345
