# symbol=RIVERUSDT,side=LONG,entry_price=12.332,exit_price=12.287,exit_reason=lifecycle_reversal,sl_price=12.184016,tp_price=12.51698,leverage=10
ts,seconds,price,ret_margin_pct
1775205076.353,0.0,12.332,0.0
1775205077.396,1.0,12.354,1.784
1775205078.446,2.1,12.37,3.0814
1775205079.456,3.1,12.361,2.3516
1775205080.537,4.2,12.338,0.4865
1775205081.538,5.2,12.373,3.3247
1775205082.581,6.2,12.358,2.1083
1775205083.604,7.3,12.364,2.5949
1775205084.645,8.3,12.351,1.5407
1775205085.692,9.3,12.356,1.9462
1775205086.722,10.4,12.346,1.1353
1775205087.82,11.5,12.356,1.9462
1775205088.858,12.5,12.362,2.4327
1775205089.931,13.6,12.358,2.1083
1775205090.955,14.6,12.35,1.4596
1775205092.032,15.7,12.356,1.9462
1775205093.055,16.7,12.36,2.2705
1775205094.191,17.8,12.348,1.2974
1775205095.226,18.9,12.349,1.3785
1775205096.274,19.9,12.34,0.6487
1775205097.276,20.9,12.312,-1.6218
1775205098.316,22.0,12.317,-1.2163
1775205099.352,23.0,12.316,-1.2974
1775205100.359,24.0,12.321,-0.892
1775205101.405,25.1,12.327,-0.4054
1775205102.428,26.1,12.326,-0.4865
1775205103.501,27.1,12.33,-0.1622
1775205104.612,28.3,12.328,-0.3244
1775205105.613,29.3,12.354,1.784
1775205106.639,30.3,12.39,4.7032
1775205107.683,31.3,12.422,7.2981
1775205108.684,32.3,12.438,8.5955
1775205109.702,33.3,12.428,7.7846
1775205110.832,34.5,12.419,7.0548
1775205111.922,35.6,12.415,6.7305
1775205112.942,36.6,12.393,4.9465
1775205114.01,37.7,12.395,5.1087
1775205115.078,38.7,12.407,6.0817
1775205116.18,39.8,12.379,3.8112
1775205117.188,40.8,12.398,5.3519
1775205118.216,41.9,12.387,4.4599
1775205119.219,42.9,12.396,5.1898
1775205120.226,43.9,12.399,5.433
1775205121.279,44.9,12.444,9.0821
1775205122.523,46.2,12.45,9.5686
1775205123.532,47.2,12.489,12.7311
1775205125.952,49.6,12.481,12.0824
1775205126.955,50.6,12.525,15.6503
1775205127.958,51.6,12.511,14.5151
1775205128.963,52.6,12.509,14.3529
1775205129.994,53.6,12.508,14.2718
1775205131.006,54.7,12.529,15.9747
1775205132.047,55.7,12.516,14.9205
