# symbol=RIVERUSDT,side=SHORT,entry_price=11.757,exit_price=11.781,exit_reason=vol_stop,sl_price=11.780514,tp_price=11.580644999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185382.112,0.0,11.757,0.0
1775185383.151,1.0,11.755,0.1701
1775185384.396,2.3,11.73,2.2965
1775185385.445,3.3,11.736,1.7862
1775185386.914,4.8,11.747,0.8506
1775185388.185,6.1,11.749,0.6804
1775185389.338,7.2,11.744,1.1057
1775185390.401,8.3,11.739,1.531
1775185391.531,9.4,11.744,1.1057
1775185392.568,10.5,11.748,0.7655
1775185393.609,11.5,11.757,0.0
1775185394.643,12.5,11.768,-0.9356
1775185395.898,13.8,11.764,-0.5954
1775185397.226,15.1,11.768,-0.9356
1775185398.267,16.2,11.777,-1.7011
1775185399.424,17.3,11.775,-1.531
1775185400.577,18.5,11.777,-1.7011
1775185401.648,19.5,11.778,-1.7862
1775185402.353,20.2,11.781,-2.0413
