# symbol=RIVERUSDT,side=SHORT,entry_price=11.783,exit_price=11.735,exit_reason=trailing_expansion,sl_price=11.806566,tp_price=11.606254999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185403.608,0.0,11.783,0.0
1775185404.891,1.3,11.785,-0.1697
1775185405.91,2.3,11.786,-0.2546
1775185406.977,3.4,11.785,-0.1697
1775185408.007,4.4,11.785,-0.1697
1775185409.04,5.4,11.785,-0.1697
1775185410.104,6.5,11.776,0.5941
1775185411.123,7.5,11.759,2.0368
1775185412.142,8.5,11.765,1.5276
1775185413.168,9.6,11.777,0.5092
1775185415.168,11.6,11.774,0.7638
1775185416.653,13.0,11.779,0.3395
1775185417.739,14.1,11.779,0.3395
1775185419.077,15.5,11.776,0.5941
1775185420.159,16.6,11.773,0.8487
1775185422.376,18.8,11.767,1.3579
1775185423.386,19.8,11.756,2.2914
1775185424.85,21.2,11.763,1.6974
1775185425.872,22.3,11.758,2.1217
1775185426.878,23.3,11.762,1.7822
1775185427.913,24.3,11.766,1.4428
1775185429.027,25.4,11.755,2.3763
1775185430.72,27.1,11.76,1.952
1775185433.074,29.5,11.762,1.7822
1775185434.161,30.6,11.767,1.3579
1775185435.228,31.6,11.765,1.5276
1775185436.287,32.7,11.765,1.5276
1775185437.364,33.8,11.763,1.6974
1775185438.732,35.1,11.763,1.6974
1775185440.095,36.5,11.763,1.6974
1775185441.163,37.6,11.758,2.1217
1775185442.22,38.6,11.758,2.1217
1775185443.225,39.6,11.758,2.1217
1775185444.247,40.6,11.753,2.546
1775185445.606,42.0,11.751,2.7158
1775185448.914,45.3,11.751,2.7158
1775185450.35,46.7,11.749,2.8855
1775185451.363,47.8,11.749,2.8855
1775185452.483,48.9,11.736,3.9888
1775185453.528,49.9,11.734,4.1585
1775185454.544,50.9,11.733,4.2434
1775185455.547,51.9,11.734,4.1585
1775185456.55,52.9,11.725,4.9223
1775185457.585,54.0,11.718,5.5164
1775185458.625,55.0,11.715,5.771
1775185460.127,56.5,11.723,5.0921
1775185461.134,57.5,11.735,4.0737
1775185462.2,58.6,11.732,4.3283
1775185463.285,59.7,11.732,4.3283
1775185464.416,60.8,11.736,3.9888
1775185465.497,61.9,11.732,4.3283
1775185466.532,62.9,11.74,3.6493
1775185467.539,63.9,11.731,4.4131
1775185468.767,65.2,11.729,4.5829
1775185469.788,66.2,11.728,4.6677
1775185470.835,67.2,11.733,4.2434
1775185471.869,68.3,11.736,3.9888
1775185473.596,70.0,11.733,4.2434
1775185474.655,71.0,11.734,4.1585
1775185475.675,72.1,11.74,3.6493
1775185476.688,73.1,11.741,3.5645
1775185477.718,74.1,11.746,3.1401
1775185480.008,76.4,11.745,3.225
1775185481.045,77.4,11.753,2.546
1775185482.148,78.5,11.758,2.1217
1775185483.257,79.6,11.756,2.2914
1775185484.414,80.8,11.759,2.0368
1775185485.435,81.8,11.763,1.6974
1775185486.711,83.1,11.764,1.6125
1775185487.711,84.1,11.769,1.1882
1775185489.141,85.5,11.767,1.3579
1775185490.261,86.7,11.764,1.6125
1775185491.293,87.7,11.755,2.3763
1775185492.441,88.8,11.76,1.952
1775185493.467,89.9,11.759,2.0368
1775185494.48,90.9,11.75,2.8006
1775185495.591,92.0,11.746,3.1401
1775185496.632,93.0,11.75,2.8006
1775185497.636,94.0,11.75,2.8006
1775185498.924,95.3,11.75,2.8006
1775185500.2,96.6,11.752,2.6309
1775185501.323,97.7,11.751,2.7158
1775185502.334,98.7,11.743,3.3947
1775185503.337,99.7,11.754,2.4612
1775185504.73,101.1,11.751,2.7158
1775185505.734,102.1,11.752,2.6309
1775185506.824,103.2,11.756,2.2914
1775185507.877,104.3,11.758,2.1217
1775185509.021,105.4,11.758,2.1217
1775185510.588,107.0,11.758,2.1217
1775185511.763,108.2,11.754,2.4612
1775185513.158,109.6,11.761,1.8671
1775185514.319,110.7,11.759,2.0368
1775185515.438,111.8,11.755,2.3763
1775185516.549,112.9,11.754,2.4612
1775185517.74,114.1,11.755,2.3763
1775185518.767,115.2,11.75,2.8006
1775185519.778,116.2,11.746,3.1401
1775185521.119,117.5,11.746,3.1401
1775185524.083,120.5,11.746,3.1401
1775185525.253,121.6,11.744,3.3099
1775185526.279,122.7,11.741,3.5645
1775185527.663,124.1,11.738,3.8191
1775185528.669,125.1,11.736,3.9888
1775185529.74,126.1,11.735,4.0737
1775185530.246,126.6,11.735,4.0737
