# symbol=RIVERUSDT,side=SHORT,entry_price=10.769,exit_price=10.865,exit_reason=lifecycle_reversal,sl_price=10.898228,tp_price=10.607465,leverage=10
ts,seconds,price,ret_margin_pct
1775195485.462,0.0,10.769,0.0
1775195486.588,1.1,10.775,-0.5572
1775195487.703,2.2,10.775,-0.5572
1775195489.105,3.6,10.775,-0.5572
1775195490.35,4.9,10.774,-0.4643
1775195491.393,5.9,10.771,-0.1857
1775195492.874,7.4,10.775,-0.5572
1775195493.968,8.5,10.774,-0.4643
1775195495.061,9.6,10.775,-0.5572
1775195496.628,11.2,10.776,-0.65
1775195497.798,12.3,10.777,-0.7429
1775195498.858,13.4,10.78,-1.0215
1775195499.983,14.5,10.778,-0.8357
1775195501.113,15.7,10.777,-0.7429
1775195503.29,17.8,10.768,0.0929
1775195504.419,19.0,10.758,1.0215
1775195505.477,20.0,10.757,1.1143
1775195506.496,21.0,10.746,2.1358
1775195507.498,22.0,10.751,1.6715
1775195508.661,23.2,10.751,1.6715
1775195509.788,24.3,10.755,1.3
1775195510.927,25.5,10.765,0.3714
1775195512.362,26.9,10.772,-0.2786
1775195513.972,28.5,10.773,-0.3714
1775195515.089,29.6,10.773,-0.3714
1775195517.456,32.0,10.772,-0.2786
1775195520.353,34.9,10.773,-0.3714
1775195521.377,35.9,10.78,-1.0215
1775195522.411,36.9,10.77,-0.0929
1775195523.594,38.1,10.771,-0.1857
1775195524.773,39.3,10.775,-0.5572
1775195526.11,40.6,10.772,-0.2786
1775195527.287,41.8,10.761,0.7429
1775195528.42,43.0,10.757,1.1143
1775195529.671,44.2,10.768,0.0929
1775195530.741,45.3,10.77,-0.0929
1775195531.743,46.3,10.782,-1.2072
1775195532.816,47.4,10.783,-1.3
1775195533.848,48.4,10.786,-1.5786
1775195535.134,49.7,10.787,-1.6715
1775195537.41,51.9,10.779,-0.9286
1775195538.474,53.0,10.777,-0.7429
1775195539.575,54.1,10.784,-1.3929
1775195540.691,55.2,10.79,-1.95
1775195542.025,56.6,10.794,-2.3215
1775195543.073,57.6,10.795,-2.4143
1775195544.156,58.7,10.789,-1.8572
1775195545.227,59.8,10.791,-2.0429
1775195546.339,60.9,10.789,-1.8572
1775195547.402,61.9,10.8,-2.8786
1775195548.658,63.2,10.798,-2.6929
1775195549.705,64.2,10.798,-2.6929
1775195550.827,65.4,10.798,-2.6929
1775195551.885,66.4,10.782,-1.2072
1775195552.891,67.4,10.787,-1.6715
1775195553.924,68.5,10.782,-1.2072
1775195555.345,69.9,10.783,-1.3
1775195556.689,71.2,10.78,-1.0215
1775195557.702,72.2,10.796,-2.5072
