# symbol=SAPIENUSDT,side=LONG,entry_price=0.07465,exit_price=0.07532,exit_reason=trailing_expansion,sl_price=0.07375419999999999,tp_price=0.07576974999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775193729.345,0.0,0.07465,0.0
1775193730.735,1.4,0.07467,0.2679
1775193731.967,2.6,0.07464,-0.134
1775193733.397,4.1,0.07461,-0.5358
1775193734.465,5.1,0.0746,-0.6698
1775193736.016,6.7,0.07459,-0.8038
1775193737.685,8.3,0.0746,-0.6698
1775193738.892,9.5,0.07466,0.134
1775193739.941,10.6,0.07455,-1.3396
1775193741.174,11.8,0.07457,-1.0717
1775193747.148,17.8,0.07459,-0.8038
1775193748.177,18.8,0.07462,-0.4019
1775193750.187,20.8,0.07463,-0.2679
1775193751.494,22.1,0.07477,1.6075
1775193753.599,24.3,0.07483,2.4113
1775193755.07,25.7,0.07484,2.5452
1775193756.073,26.7,0.07486,2.8131
1775193757.235,27.9,0.07488,3.081
1775193758.679,29.3,0.07487,2.9471
1775193759.783,30.4,0.07483,2.4113
1775193764.82,35.5,0.07476,1.4735
1775193767.06,37.7,0.07478,1.7415
1775193773.239,43.9,0.07478,1.7415
1775193774.8,45.5,0.07474,1.2056
1775193777.556,48.2,0.07477,1.6075
1775193778.606,49.3,0.07477,1.6075
1775193780.732,51.4,0.07475,1.3396
1775193782.589,53.2,0.07485,2.6792
1775193784.261,54.9,0.07481,2.1433
1775193787.732,58.4,0.0748,2.0094
1775193791.166,61.8,0.07477,1.6075
1775193793.317,64.0,0.07466,0.134
1775193796.492,67.1,0.07471,0.8038
1775193800.563,71.2,0.07469,0.5358
1775193801.73,72.4,0.07469,0.5358
1775193803.601,74.3,0.07469,0.5358
1775193807.088,77.7,0.07473,1.0717
1775193810.437,81.1,0.07466,0.134
1775193815.402,86.1,0.07468,0.4019
1775193819.332,90.0,0.07469,0.5358
1775193823.748,94.4,0.07469,0.5358
1775193825.436,96.1,0.0747,0.6698
1775193827.685,98.3,0.07478,1.7415
1775193829.849,100.5,0.07481,2.1433
1775193831.442,102.1,0.07493,3.7508
1775193832.483,103.1,0.07493,3.7508
1775193833.868,104.5,0.07495,4.0188
1775193834.892,105.5,0.07504,5.2244
1775193835.941,106.6,0.075,4.6885
1775193837.133,107.8,0.07503,5.0904
1775193840.483,111.1,0.07501,4.8225
1775193842.699,113.4,0.07512,6.296
1775193843.761,114.4,0.07547,10.9846
1775193844.986,115.6,0.07542,10.3148
1775193846.28,116.9,0.07539,9.9129
1775193847.994,118.6,0.07535,9.3771
1775193849.216,119.9,0.07532,8.9752
1775193849.681,120.3,0.07532,8.9752
