# symbol=SAPIENUSDT,side=LONG,entry_price=0.0754,exit_price=0.07483,exit_reason=dynamic_vol_stop,sl_price=0.0744952,tp_price=0.07653099999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775193853.142,0.0,0.0754,0.0
1775193854.78,1.6,0.0753,-1.3263
1775193856.799,3.7,0.07534,-0.7958
1775193858.516,5.4,0.07536,-0.5305
1775193860.312,7.2,0.07537,-0.3979
1775193861.982,8.8,0.07534,-0.7958
1775193863.81,10.7,0.07531,-1.1936
1775193872.847,19.7,0.07535,-0.6631
1775193874.704,21.6,0.07538,-0.2653
1775193876.896,23.8,0.0754,0.0
1775193883.411,30.3,0.07543,0.3979
1775193887.191,34.0,0.07544,0.5305
1775193888.786,35.6,0.07548,1.061
1775193890.507,37.4,0.07542,0.2653
1775193891.923,38.8,0.07541,0.1326
1775193893.539,40.4,0.07536,-0.5305
1775193895.886,42.7,0.07532,-1.061
1775193897.125,44.0,0.07535,-0.6631
1775193900.109,47.0,0.07534,-0.7958
1775193901.129,48.0,0.07535,-0.6631
1775193902.27,49.1,0.07528,-1.5915
1775193903.354,50.2,0.07528,-1.5915
1775193905.683,52.5,0.0753,-1.3263
1775193910.503,57.4,0.07531,-1.1936
1775193912.547,59.4,0.07546,0.7958
1775193915.259,62.1,0.0755,1.3263
1775193918.218,65.1,0.07552,1.5915
1775193919.664,66.5,0.07538,-0.2653
1775193920.739,67.6,0.07526,-1.8568
1775193921.747,68.6,0.07534,-0.7958
1775193923.143,70.0,0.07527,-1.7241
1775193924.395,71.3,0.07518,-2.9178
1775193926.503,73.4,0.07521,-2.5199
1775193928.695,75.6,0.07522,-2.3873
1775193930.735,77.6,0.07521,-2.5199
1775193932.361,79.2,0.07522,-2.3873
1775193934.229,81.1,0.07521,-2.5199
1775193935.581,82.4,0.07517,-3.0504
1775193936.67,83.5,0.07511,-3.8462
1775193938.389,85.2,0.07511,-3.8462
1775193940.947,87.8,0.07509,-4.1114
1775193942.581,89.4,0.07509,-4.1114
1775193943.625,90.5,0.0751,-3.9788
1775193944.746,91.6,0.07502,-5.0398
1775193945.992,92.9,0.07505,-4.6419
1775193948.385,95.2,0.07508,-4.244
1775193950.492,97.4,0.07507,-4.3767
1775193951.998,98.9,0.07507,-4.3767
1775193953.01,99.9,0.07488,-6.8966
1775193956.1,103.0,0.07489,-6.7639
1775193956.626,103.5,0.07483,-7.5597
