# symbol=SIGNUSDT,side=LONG,entry_price=0.03647,exit_price=0.03639,exit_reason=vol_stop,sl_price=0.03639706,tp_price=0.037017049999999996,leverage=10
ts,seconds,price,ret_margin_pct
1775185386.913,0.0,0.03647,0.0
1775185388.651,1.7,0.03648,0.2742
1775185390.391,3.5,0.03648,0.2742
1775185391.667,4.8,0.03648,0.2742
1775185392.981,6.1,0.03648,0.2742
1775185394.851,7.9,0.03649,0.5484
1775185396.321,9.4,0.03649,0.5484
1775185399.772,12.9,0.03649,0.5484
1775185401.012,14.1,0.03651,1.0968
1775185402.368,15.5,0.03651,1.0968
1775185403.612,16.7,0.03652,1.371
1775185407.049,20.1,0.03652,1.371
1775185408.055,21.1,0.03653,1.6452
1775185410.841,23.9,0.03652,1.371
1775185411.927,25.0,0.03651,1.0968
1775185415.09,28.2,0.03653,1.6452
1775185416.13,29.2,0.03653,1.6452
1775185417.554,30.6,0.03652,1.371
1775185419.212,32.3,0.03652,1.371
1775185420.469,33.6,0.03652,1.371
1775185421.964,35.1,0.03651,1.0968
1775185423.352,36.4,0.03651,1.0968
1775185424.484,37.6,0.03652,1.371
1775185425.649,38.7,0.03652,1.371
1775185427.346,40.4,0.03652,1.371
1775185429.685,42.8,0.03652,1.371
1775185431.123,44.2,0.03653,1.6452
1775185433.061,46.1,0.03652,1.371
1775185434.632,47.7,0.03652,1.371
1775185436.297,49.4,0.03653,1.6452
1775185437.699,50.8,0.03653,1.6452
1775185440.099,53.2,0.03652,1.371
1775185442.239,55.3,0.03652,1.371
1775185443.561,56.6,0.03652,1.371
1775185446.398,59.5,0.03652,1.371
1775185448.712,61.8,0.03653,1.6452
1775185450.305,63.4,0.03652,1.371
1775185452.04,65.1,0.03653,1.6452
1775185453.213,66.3,0.03653,1.6452
1775185454.54,67.6,0.03654,1.9194
1775185456.495,69.6,0.03654,1.9194
1775185458.123,71.2,0.03654,1.9194
1775185459.132,72.2,0.03654,1.9194
1775185460.22,73.3,0.03654,1.9194
1775185461.338,74.4,0.03654,1.9194
1775185463.109,76.2,0.03654,1.9194
1775185464.152,77.2,0.03653,1.6452
1775185465.582,78.7,0.03654,1.9194
1775185466.765,79.9,0.03653,1.6452
1775185467.938,81.0,0.03653,1.6452
1775185469.432,82.5,0.03654,1.9194
1775185470.734,83.8,0.03654,1.9194
1775185472.045,85.1,0.03654,1.9194
1775185473.201,86.3,0.03654,1.9194
1775185474.439,87.5,0.03653,1.6452
1775185475.672,88.8,0.03654,1.9194
1775185476.679,89.8,0.03651,1.0968
1775185477.706,90.8,0.03652,1.371
1775185480.519,93.6,0.03652,1.371
1775185481.696,94.8,0.03651,1.0968
1775185483.007,96.1,0.03651,1.0968
1775185484.212,97.3,0.03652,1.371
1775185486.605,99.7,0.03652,1.371
1775185489.199,102.3,0.03652,1.371
1775185490.282,103.4,0.0365,0.8226
1775185491.589,104.7,0.03649,0.5484
1775185492.922,106.0,0.03649,0.5484
1775185494.709,107.8,0.03649,0.5484
1775185495.863,109.0,0.03648,0.2742
1775185498.012,111.1,0.03648,0.2742
1775185499.334,112.4,0.03651,1.0968
1775185502.278,115.4,0.03651,1.0968
1775185503.325,116.4,0.03647,0.0
1775185504.334,117.4,0.03649,0.5484
1775185505.532,118.6,0.03648,0.2742
1775185506.681,119.8,0.0365,0.8226
1775185507.859,120.9,0.03651,1.0968
1775185510.863,123.9,0.0365,0.8226
1775185513.495,126.6,0.0365,0.8226
1775185514.682,127.8,0.03653,1.6452
1775185515.775,128.9,0.03653,1.6452
1775185517.049,130.1,0.03652,1.371
1775185518.81,131.9,0.03653,1.6452
1775185520.324,133.4,0.03652,1.371
1775185522.908,136.0,0.03653,1.6452
1775185524.019,137.1,0.03654,1.9194
1775185527.632,140.7,0.03652,1.371
1775185528.908,142.0,0.03653,1.6452
1775185530.281,143.4,0.03653,1.6452
1775185531.467,144.6,0.03652,1.371
1775185533.331,146.4,0.03653,1.6452
1775185536.543,149.6,0.03654,1.9194
1775185538.863,152.0,0.03654,1.9194
1775185541.575,154.7,0.03653,1.6452
1775185543.265,156.4,0.03653,1.6452
1775185544.465,157.6,0.03653,1.6452
1775185545.893,159.0,0.03652,1.371
1775185548.007,161.1,0.03651,1.0968
1775185549.249,162.3,0.03652,1.371
1775185550.426,163.5,0.03652,1.371
1775185551.578,164.7,0.03651,1.0968
1775185552.7,165.8,0.03651,1.0968
1775185553.828,166.9,0.03651,1.0968
1775185555.011,168.1,0.0365,0.8226
1775185556.04,169.1,0.03649,0.5484
1775185557.046,170.1,0.03648,0.2742
1775185558.067,171.2,0.03649,0.5484
1775185559.681,172.8,0.03651,1.0968
1775185563.31,176.4,0.03652,1.371
1775185564.984,178.1,0.03653,1.6452
1775185566.016,179.1,0.03651,1.0968
1775185567.256,180.3,0.03652,1.371
1775185568.535,181.6,0.03651,1.0968
1775185570.11,183.2,0.03651,1.0968
1775185571.15,184.2,0.03652,1.371
1775185572.696,185.8,0.03651,1.0968
1775185574.332,187.4,0.03652,1.371
1775185578.648,191.7,0.03652,1.371
1775185579.197,192.3,0.03639,-2.1936
