# symbol=SIRENUSDT,side=SHORT,entry_price=0.18632,exit_price=0.18504,exit_reason=trailing_expansion,sl_price=0.18855584,tp_price=0.1835252,leverage=10
ts,seconds,price,ret_margin_pct
1775195134.547,0.0,0.18632,0.0
1775195136.764,2.2,0.18632,0.0
1775195137.952,3.4,0.18631,0.0537
1775195140.867,6.3,0.1863,0.1073
1775195142.949,8.4,0.18631,0.0537
1775195145.337,10.8,0.1863,0.1073
1775195146.341,11.8,0.18631,0.0537
1775195147.36,12.8,0.18633,-0.0537
1775195148.927,14.4,0.18627,0.2684
1775195153.152,18.6,0.18628,0.2147
1775195154.408,19.9,0.18624,0.4294
1775195155.68,21.1,0.18623,0.483
1775195157.448,22.9,0.18629,0.161
1775195161.544,27.0,0.18629,0.161
1775195162.608,28.1,0.18633,-0.0537
1775195163.91,29.4,0.18629,0.161
1775195165.143,30.6,0.18656,-1.2881
1775195167.905,33.4,0.18653,-1.1271
1775195169.422,34.9,0.18651,-1.0198
1775195170.959,36.4,0.18649,-0.9124
1775195173.058,38.5,0.18649,-0.9124
1775195177.661,43.1,0.18636,-0.2147
1775195180.638,46.1,0.18636,-0.2147
1775195182.957,48.4,0.18632,0.0
1775195184.193,49.6,0.1863,0.1073
1775195186.594,52.0,0.18631,0.0537
1775195187.605,53.1,0.1863,0.1073
1775195189.134,54.6,0.18626,0.322
1775195190.937,56.4,0.1863,0.1073
1775195193.529,59.0,0.18631,0.0537
1775195197.206,62.7,0.1863,0.1073
1775195198.48,63.9,0.18631,0.0537
1775195199.689,65.1,0.18631,0.0537
1775195200.75,66.2,0.18637,-0.2684
1775195202.625,68.1,0.18637,-0.2684
1775195203.821,69.3,0.18638,-0.322
1775195205.004,70.5,0.18638,-0.322
1775195206.7,72.2,0.18638,-0.322
1775195209.42,74.9,0.18638,-0.322
1775195211.717,77.2,0.1864,-0.4294
1775195212.865,78.3,0.18645,-0.6977
1775195213.99,79.4,0.18634,-0.1073
1775195215.449,80.9,0.18633,-0.0537
1775195217.287,82.7,0.18638,-0.322
1775195218.328,83.8,0.18639,-0.3757
1775195219.463,84.9,0.18635,-0.161
1775195221.363,86.8,0.18631,0.0537
1775195222.837,88.3,0.18615,0.9124
1775195223.892,89.3,0.18627,0.2684
1775195226.506,92.0,0.18625,0.3757
1775195229.862,95.3,0.18623,0.483
1775195232.593,98.0,0.1862,0.6441
1775195233.819,99.3,0.1862,0.6441
1775195235.002,100.5,0.1862,0.6441
1775195237.895,103.3,0.18623,0.483
1775195238.899,104.4,0.18585,2.5225
1775195240.048,105.5,0.18557,4.0253
1775195241.204,106.7,0.18562,3.757
1775195242.207,107.7,0.18567,3.4886
1775195243.655,109.1,0.18565,3.596
1775195244.792,110.2,0.18571,3.2739
1775195245.904,111.4,0.18563,3.7033
1775195247.258,112.7,0.18562,3.757
1775195248.283,113.7,0.18554,4.1863
1775195249.295,114.7,0.18536,5.1524
1775195250.864,116.3,0.18535,5.2061
1775195252.289,117.7,0.18529,5.5281
1775195253.324,118.8,0.18528,5.5818
1775195254.362,119.8,0.18521,5.9575
1775195255.911,121.4,0.18517,6.1722
1775195257.539,123.0,0.18512,6.4405
1775195258.834,124.3,0.18509,6.6015
1775195259.916,125.4,0.18504,6.8699
