# symbol=SIRENUSDT,side=SHORT,entry_price=0.18479,exit_price=0.18664,exit_reason=dynamic_vol_stop,sl_price=0.18700748,tp_price=0.18201815000000002,leverage=10
ts,seconds,price,ret_margin_pct
1775195265.995,0.0,0.18479,0.0
1775195267.01,1.0,0.18479,0.0
1775195268.053,2.1,0.185,-1.1364
1775195269.083,3.1,0.18505,-1.407
1775195270.088,4.1,0.18495,-0.8658
1775195272.557,6.6,0.185,-1.1364
1775195273.678,7.7,0.18504,-1.3529
1775195274.963,9.0,0.18504,-1.3529
1775195276.218,10.2,0.18512,-1.7858
1775195278.155,12.2,0.18521,-2.2729
1775195279.319,13.3,0.1852,-2.2187
1775195280.322,14.3,0.1852,-2.2187
1775195281.51,15.5,0.18518,-2.1105
1775195282.862,16.9,0.18515,-1.9482
1775195284.25,18.3,0.18516,-2.0023
1775195285.268,19.3,0.18516,-2.0023
1775195286.577,20.6,0.18519,-2.1646
1775195288.224,22.2,0.18519,-2.1646
1775195289.29,23.3,0.18518,-2.1105
1775195292.286,26.3,0.18514,-1.894
1775195293.457,27.5,0.18521,-2.2729
1775195294.523,28.5,0.18552,-3.9504
1775195295.796,29.8,0.18545,-3.5716
1775195297.23,31.2,0.18545,-3.5716
1775195298.241,32.2,0.18543,-3.4634
1775195299.641,33.6,0.18535,-3.0305
1775195300.779,34.8,0.18525,-2.4893
1775195301.899,35.9,0.18532,-2.8681
1775195302.932,36.9,0.18533,-2.9222
1775195303.952,38.0,0.18532,-2.8681
1775195304.987,39.0,0.18536,-3.0846
1775195306.133,40.1,0.18535,-3.0305
1775195307.17,41.2,0.18534,-2.9764
1775195308.291,42.3,0.18499,-1.0823
1775195309.674,43.7,0.18501,-1.1905
1775195310.723,44.7,0.18496,-0.92
1775195311.777,45.8,0.18463,0.8658
1775195312.853,46.9,0.1843,2.6517
1775195314.253,48.3,0.18453,1.407
1775195315.518,49.5,0.18448,1.6776
1775195316.627,50.6,0.18457,1.1905
1775195317.691,51.7,0.18464,0.8117
1775195318.801,52.8,0.18469,0.5412
1775195319.895,53.9,0.18457,1.1905
1775195320.969,55.0,0.18458,1.1364
1775195321.982,56.0,0.18454,1.3529
1775195323.315,57.3,0.18448,1.6776
1775195324.369,58.4,0.18448,1.6776
1775195325.728,59.7,0.18461,0.9741
1775195327.294,61.3,0.18473,0.3247
1775195328.499,62.5,0.18471,0.4329
1775195329.569,63.6,0.1846,1.0282
1775195330.683,64.7,0.18466,0.7035
1775195331.837,65.8,0.18469,0.5412
1775195333.889,67.9,0.18469,0.5412
1775195335.26,69.3,0.18469,0.5412
1775195336.304,70.3,0.18471,0.4329
1775195337.756,71.8,0.18484,-0.2706
1775195338.947,73.0,0.18471,0.4329
1775195340.568,74.6,0.18471,0.4329
1775195341.568,75.6,0.18455,1.2988
1775195343.109,77.1,0.18457,1.1905
1775195344.733,78.7,0.18457,1.1905
1775195346.442,80.4,0.18461,0.9741
1775195348.419,82.4,0.18464,0.8117
1775195349.742,83.7,0.1849,-0.5953
1775195352.073,86.1,0.18483,-0.2165
1775195354.13,88.1,0.18485,-0.3247
1775195355.192,89.2,0.18484,-0.2706
1775195356.491,90.5,0.18484,-0.2706
1775195357.833,91.8,0.18483,-0.2165
1775195358.921,92.9,0.18485,-0.3247
1775195360.054,94.1,0.18513,-1.8399
1775195361.141,95.1,0.18538,-3.1928
1775195362.259,96.3,0.18528,-2.6517
1775195363.347,97.4,0.1853,-2.7599
1775195364.466,98.5,0.18522,-2.327
1775195366.375,100.4,0.18518,-2.1105
1775195368.245,102.3,0.18506,-1.4611
1775195369.289,103.3,0.18504,-1.3529
1775195371.372,105.4,0.18512,-1.7858
1775195372.407,106.4,0.18515,-1.9482
1775195376.148,110.2,0.18514,-1.894
1775195377.306,111.3,0.18506,-1.4611
1775195378.822,112.8,0.18506,-1.4611
1775195379.989,114.0,0.18508,-1.5693
1775195383.161,117.2,0.18506,-1.4611
1775195386.464,120.5,0.18505,-1.407
1775195389.392,123.4,0.18504,-1.3529
1775195390.669,124.7,0.18504,-1.3529
1775195395.2,129.2,0.18512,-1.7858
1775195396.283,130.3,0.18516,-2.0023
1775195397.415,131.4,0.18521,-2.2729
1775195398.756,132.8,0.18521,-2.2729
1775195399.989,134.0,0.18526,-2.5434
1775195401.306,135.3,0.1853,-2.7599
1775195402.315,136.3,0.1855,-3.8422
1775195403.509,137.5,0.1855,-3.8422
1775195404.585,138.6,0.18558,-4.2751
1775195405.75,139.8,0.18606,-6.8727
1775195406.758,140.8,0.18606,-6.8727
1775195407.838,141.8,0.18615,-7.3597
1775195408.99,143.0,0.18619,-7.5762
1775195410.095,144.1,0.18634,-8.3879
1775195411.257,145.3,0.18657,-9.6326
1775195412.448,146.5,0.18651,-9.3079
1775195413.485,147.5,0.18641,-8.7667
1775195414.798,148.8,0.18648,-9.1455
1775195416.092,150.1,0.18655,-9.5243
1775195417.052,151.1,0.18664,-10.0114
