# symbol=SOLVUSDT,side=LONG,entry_price=0.004934,exit_price=0.004904,exit_reason=vol_stop,sl_price=0.004904396,tp_price=0.005008009999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775187881.804,0.0,0.004934,0.0
1775187883.18,1.4,0.004931,-0.608
1775187884.404,2.6,0.004932,-0.4054
1775187886.501,4.7,0.00493,-0.8107
1775187888.695,6.9,0.004931,-0.608
1775187889.917,8.1,0.004931,-0.608
1775187891.419,9.6,0.004931,-0.608
1775187892.792,11.0,0.00493,-0.8107
1775187895.05,13.2,0.004932,-0.4054
1775187897.158,15.4,0.004932,-0.4054
1775187899.382,17.6,0.004933,-0.2027
1775187902.346,20.5,0.004931,-0.608
1775187903.821,22.0,0.004931,-0.608
1775187905.317,23.5,0.004926,-1.6214
1775187906.374,24.6,0.004926,-1.6214
1775187907.526,25.7,0.004924,-2.0268
1775187908.608,26.8,0.004929,-1.0134
1775187910.247,28.4,0.004927,-1.4187
1775187918.004,36.2,0.004928,-1.2161
1775187919.565,37.8,0.004926,-1.6214
1775187921.935,40.1,0.004926,-1.6214
1775187923.402,41.6,0.004928,-1.2161
1775187927.188,45.4,0.004927,-1.4187
1775187929.929,48.1,0.004928,-1.2161
1775187931.501,49.7,0.00493,-0.8107
1775187933.0,51.2,0.004934,0.0
1775187934.572,52.8,0.004929,-1.0134
1775187937.651,55.8,0.004929,-1.0134
1775187939.357,57.6,0.004929,-1.0134
1775187940.417,58.6,0.004925,-1.8241
1775187943.167,61.4,0.004927,-1.4187
1775187945.149,63.3,0.004929,-1.0134
1775187946.732,64.9,0.00493,-0.8107
1775187947.892,66.1,0.004927,-1.4187
1775187949.159,67.4,0.004927,-1.4187
1775187950.657,68.9,0.004927,-1.4187
1775187951.943,70.1,0.004929,-1.0134
1775187953.817,72.0,0.004928,-1.2161
1775187955.861,74.1,0.004928,-1.2161
1775187959.534,77.7,0.004927,-1.4187
1775187960.928,79.1,0.004921,-2.6348
1775187962.028,80.2,0.004926,-1.6214
1775187963.134,81.3,0.004923,-2.2294
1775187965.244,83.4,0.004921,-2.6348
1775187966.348,84.5,0.004917,-3.4455
1775187967.458,85.7,0.004919,-3.0401
1775187969.674,87.9,0.004917,-3.4455
1775187971.675,89.9,0.004919,-3.0401
1775187974.042,92.2,0.004919,-3.0401
1775187978.132,96.3,0.004917,-3.4455
1775187979.848,98.0,0.004917,-3.4455
1775187980.905,99.1,0.004917,-3.4455
1775187983.438,101.6,0.004915,-3.8508
1775187984.549,102.7,0.004918,-3.2428
1775187986.016,104.2,0.004918,-3.2428
1775187991.047,109.2,0.004918,-3.2428
1775187992.178,110.4,0.004916,-3.6482
1775187994.003,112.2,0.004914,-4.0535
1775187996.249,114.4,0.004915,-3.8508
1775187998.362,116.6,0.004917,-3.4455
1775188000.213,118.4,0.004917,-3.4455
1775188001.393,119.6,0.004918,-3.2428
1775188002.857,121.1,0.004917,-3.4455
1775188004.314,122.5,0.004919,-3.0401
1775188008.756,127.0,0.004917,-3.4455
1775188010.375,128.6,0.004917,-3.4455
1775188011.701,129.9,0.00492,-2.8375
1775188014.438,132.6,0.00492,-2.8375
1775188016.839,135.0,0.00492,-2.8375
1775188017.864,136.1,0.004925,-1.8241
1775188020.788,139.0,0.004921,-2.6348
1775188021.797,140.0,0.004922,-2.4321
1775188023.033,141.2,0.004928,-1.2161
1775188025.278,143.5,0.004924,-2.0268
1775188026.947,145.1,0.004924,-2.0268
1775188029.663,147.9,0.004924,-2.0268
1775188031.715,149.9,0.004922,-2.4321
1775188034.568,152.8,0.004921,-2.6348
1775188038.701,156.9,0.00492,-2.8375
1775188039.994,158.2,0.004916,-3.6482
1775188043.326,161.5,0.004917,-3.4455
1775188044.45,162.6,0.004916,-3.6482
1775188046.211,164.4,0.004914,-4.0535
1775188047.458,165.7,0.004914,-4.0535
1775188048.464,166.7,0.004913,-4.2562
1775188050.473,168.7,0.004912,-4.4589
1775188052.006,170.2,0.004914,-4.0535
1775188053.211,171.4,0.004909,-5.0669
1775188055.149,173.3,0.004912,-4.4589
1775188056.687,174.9,0.004909,-5.0669
1775188060.079,178.3,0.004909,-5.0669
1775188061.919,180.1,0.00491,-4.8642
1775188063.35,181.5,0.004911,-4.6615
1775188065.517,183.7,0.00491,-4.8642
1775188068.073,186.3,0.004912,-4.4589
1775188070.828,189.0,0.004912,-4.4589
1775188072.181,190.4,0.004914,-4.0535
1775188073.549,191.7,0.004911,-4.6615
1775188076.762,195.0,0.004909,-5.0669
1775188078.113,196.3,0.00491,-4.8642
1775188080.35,198.5,0.004912,-4.4589
1775188081.547,199.7,0.004914,-4.0535
1775188082.699,200.9,0.004916,-3.6482
1775188084.333,202.5,0.004917,-3.4455
1775188086.448,204.6,0.004919,-3.0401
1775188087.622,205.8,0.004919,-3.0401
1775188088.791,207.0,0.004915,-3.8508
1775188091.49,209.7,0.004914,-4.0535
1775188093.304,211.5,0.004916,-3.6482
1775188094.544,212.7,0.004918,-3.2428
1775188097.276,215.5,0.004916,-3.6482
1775188100.722,218.9,0.004914,-4.0535
1775188101.836,220.0,0.00491,-4.8642
1775188103.316,221.5,0.004908,-5.2696
1775188104.458,222.7,0.004907,-5.4722
1775188106.586,224.8,0.004905,-5.8776
1775188107.114,225.3,0.004904,-6.0803
