# symbol=SOLVUSDT,side=LONG,entry_price=0.0046,exit_price=0.004562,exit_reason=dynamic_vol_stop,sl_price=0.0045448,tp_price=0.0046689999999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775193788.892,0.0,0.0046,0.0
1775193790.099,1.2,0.0046,0.0
1775193791.467,2.6,0.004592,-1.7391
1775193792.775,3.9,0.004592,-1.7391
1775193795.508,6.6,0.004588,-2.6087
1775193799.51,10.6,0.004591,-1.9565
1775193801.3,12.4,0.00459,-2.1739
1775193802.333,13.4,0.004591,-1.9565
1775193805.01,16.1,0.004591,-1.9565
1775193806.505,17.6,0.004591,-1.9565
1775193808.317,19.4,0.004583,-3.6957
1775193809.782,20.9,0.004582,-3.913
1775193811.847,23.0,0.004581,-4.1304
1775193814.458,25.6,0.004583,-3.6957
1775193816.273,27.4,0.004585,-3.2609
1775193819.407,30.5,0.004584,-3.4783
1775193820.704,31.8,0.004594,-1.3043
1775193822.12,33.2,0.00459,-2.1739
1775193827.535,38.6,0.004584,-3.4783
1775193828.691,39.8,0.004582,-3.913
1775193830.142,41.2,0.004582,-3.913
1775193831.286,42.4,0.004582,-3.913
1775193832.426,43.5,0.004586,-3.0435
1775193833.823,44.9,0.004583,-3.6957
1775193834.905,46.0,0.004587,-2.8261
1775193835.99,47.1,0.004586,-3.0435
1775193837.3,48.4,0.004584,-3.4783
1775193838.597,49.7,0.004582,-3.913
1775193839.717,50.8,0.004582,-3.913
1775193840.756,51.9,0.004578,-4.7826
1775193841.906,53.0,0.004578,-4.7826
1775193843.252,54.4,0.004572,-6.087
1775193844.307,55.4,0.004569,-6.7391
1775193845.368,56.5,0.004569,-6.7391
1775193846.45,57.6,0.004571,-6.3043
1775193847.641,58.7,0.00457,-6.5217
1775193848.657,59.8,0.004567,-7.1739
1775193849.683,60.8,0.004572,-6.087
1775193850.987,62.1,0.00457,-6.5217
1775193852.399,63.5,0.004574,-5.6522
1775193853.474,64.6,0.004574,-5.6522
1775193854.515,65.6,0.004575,-5.4348
1775193855.545,66.7,0.004579,-4.5652
1775193856.831,67.9,0.004582,-3.913
1775193858.01,69.1,0.004581,-4.1304
1775193859.015,70.1,0.004586,-3.0435
1775193860.027,71.1,0.004584,-3.4783
1775193861.14,72.2,0.004592,-1.7391
1775193863.334,74.4,0.004588,-2.6087
1775193864.383,75.5,0.004605,1.087
1775193865.823,76.9,0.004602,0.4348
1775193866.849,78.0,0.004603,0.6522
1775193867.874,79.0,0.004603,0.6522
1775193868.942,80.0,0.004604,0.8696
1775193870.239,81.3,0.004602,0.4348
1775193871.373,82.5,0.004602,0.4348
1775193872.449,83.6,0.004603,0.6522
1775193873.854,85.0,0.004603,0.6522
1775193875.1,86.2,0.004605,1.087
1775193876.111,87.2,0.004604,0.8696
1775193877.33,88.4,0.004603,0.6522
1775193878.386,89.5,0.004603,0.6522
1775193879.703,90.8,0.004603,0.6522
1775193880.894,92.0,0.004595,-1.087
1775193881.92,93.0,0.004598,-0.4348
1775193883.37,94.5,0.004596,-0.8696
1775193884.419,95.5,0.004596,-0.8696
1775193885.591,96.7,0.004596,-0.8696
1775193886.746,97.9,0.004592,-1.7391
1775193887.971,99.1,0.004587,-2.8261
1775193888.996,100.1,0.004586,-3.0435
1775193890.248,101.4,0.004583,-3.6957
1775193891.499,102.6,0.004582,-3.913
1775193892.758,103.9,0.004582,-3.913
1775193894.011,105.1,0.004582,-3.913
1775193895.265,106.4,0.004582,-3.913
1775193896.366,107.5,0.004583,-3.6957
1775193897.649,108.8,0.004584,-3.4783
1775193907.586,118.7,0.004582,-3.913
1775193909.38,120.5,0.004562,-8.2609
1775193910.491,121.6,0.004562,-8.2609
