# symbol=SOLVUSDT,side=LONG,entry_price=0.004562,exit_price=0.004581,exit_reason=trailing_expansion,sl_price=0.004507256,tp_price=0.00463043,leverage=10
ts,seconds,price,ret_margin_pct
1775193911.163,0.0,0.004562,0.0
1775193912.547,1.4,0.004566,0.8768
1775193914.591,3.4,0.004577,3.288
1775193915.624,4.5,0.00458,3.9456
1775193917.227,6.1,0.004582,4.384
1775193918.312,7.1,0.004582,4.384
1775193920.519,9.4,0.004583,4.6032
1775193922.225,11.1,0.004591,6.3569
1775193923.81,12.6,0.004594,7.0145
1775193926.485,15.3,0.004596,7.4529
1775193927.542,16.4,0.004598,7.8913
1775193928.732,17.6,0.004581,4.1648
1775193929.98,18.8,0.004581,4.1648
1775193934.339,23.2,0.004582,4.384
1775193935.482,24.3,0.004579,3.7264
1775193936.487,25.3,0.004573,2.4112
1775193937.578,26.4,0.004574,2.6304
1775193938.799,27.6,0.004579,3.7264
1775193942.249,31.1,0.004579,3.7264
1775193947.001,35.8,0.004584,4.8224
1775193949.821,38.7,0.004584,4.8224
1775193952.157,41.0,0.004583,4.6032
1775193953.187,42.0,0.004581,4.1648
1775193955.208,44.0,0.00458,3.9456
1775193956.627,45.5,0.004582,4.384
1775193958.647,47.5,0.004577,3.288
1775193960.108,48.9,0.004581,4.1648
1775193961.131,50.0,0.004574,2.6304
1775193962.134,51.0,0.004575,2.8496
1775193964.126,53.0,0.004575,2.8496
1775193966.688,55.5,0.004575,2.8496
1775193967.753,56.6,0.004569,1.5344
1775193969.389,58.2,0.004569,1.5344
1775193970.608,59.4,0.00457,1.7536
1775193972.668,61.5,0.004572,2.192
1775193973.743,62.6,0.00457,1.7536
1775193974.754,63.6,0.004569,1.5344
1775193979.435,68.3,0.004568,1.3152
1775193980.445,69.3,0.004569,1.5344
1775193982.018,70.9,0.004568,1.3152
1775193984.771,73.6,0.00457,1.7536
1775193985.82,74.7,0.004564,0.4384
1775193987.725,76.6,0.004562,0.0
1775193989.574,78.4,0.004559,-0.6576
1775193990.999,79.8,0.004558,-0.8768
1775193992.463,81.3,0.00456,-0.4384
1775193993.595,82.4,0.004562,0.0
1775193995.219,84.1,0.004558,-0.8768
1775193996.23,85.1,0.004556,-1.3152
1775193998.848,87.7,0.004553,-1.9728
1775194000.451,89.3,0.004554,-1.7536
1775194001.574,90.4,0.00455,-2.6304
1775194002.998,91.8,0.004556,-1.3152
1775194004.039,92.9,0.004556,-1.3152
1775194005.399,94.2,0.004551,-2.4112
1775194007.0,95.8,0.004552,-2.192
1775194008.717,97.6,0.004552,-2.192
1775194009.84,98.7,0.00455,-2.6304
1775194010.86,99.7,0.00455,-2.6304
1775194012.71,101.5,0.004555,-1.5344
1775194014.743,103.6,0.004554,-1.7536
1775194019.012,107.8,0.004556,-1.3152
1775194020.087,108.9,0.004551,-2.4112
1775194021.093,109.9,0.004558,-0.8768
1775194022.187,111.0,0.004557,-1.096
1775194023.307,112.1,0.004563,0.2192
1775194024.609,113.4,0.004559,-0.6576
1775194025.785,114.6,0.004559,-0.6576
1775194026.868,115.7,0.004573,2.4112
1775194029.045,117.9,0.004572,2.192
1775194030.209,119.0,0.004574,2.6304
1775194031.663,120.5,0.004573,2.4112
1775194034.487,123.3,0.004572,2.192
1775194035.573,124.4,0.004575,2.8496
1775194036.667,125.5,0.004576,3.0688
1775194037.887,126.7,0.004576,3.0688
1775194039.153,128.0,0.004578,3.5072
1775194039.585,128.4,0.004581,4.1648
