# symbol=STBLUSDT,side=LONG,entry_price=0.034,exit_price=0.03379,exit_reason=vol_stop,sl_price=0.033796,tp_price=0.03451,leverage=10
ts,seconds,price,ret_margin_pct
1775188075.57,0.0,0.034,0.0
1775188080.363,4.8,0.03403,0.8824
1775188089.743,14.2,0.03404,1.1765
1775188119.029,43.5,0.03404,1.1765
1775188125.043,49.5,0.03404,1.1765
1775188129.735,54.2,0.03399,-0.2941
1775188140.62,65.1,0.03402,0.5882
1775188142.209,66.6,0.03403,0.8824
1775188175.062,99.5,0.034,0.0
1775188185.252,109.7,0.03402,0.5882
1775188201.444,125.9,0.03405,1.4706
1775188219.649,144.1,0.03403,0.8824
1775188220.169,144.6,0.03379,-6.1765
