# symbol=STOUSDT,side=SHORT,entry_price=0.19459,exit_price=0.19849,exit_reason=vol_stop,sl_price=0.1984818,tp_price=0.19167115,leverage=10
ts,seconds,price,ret_margin_pct
1775188854.48,0.0,0.19459,0.0
1775188855.52,1.0,0.1947,-0.5653
1775188856.581,2.1,0.1949,-1.5931
1775188857.669,3.2,0.19476,-0.8736
1775188858.692,4.2,0.19476,-0.8736
1775188859.755,5.3,0.19484,-1.2848
1775188860.879,6.4,0.19499,-2.0556
1775188861.98,7.5,0.19493,-1.7473
1775188864.489,10.0,0.19492,-1.6959
1775188865.625,11.1,0.195,-2.107
1775188866.625,12.1,0.19545,-4.4195
1775188867.305,12.8,0.19849,-20.0421
