# symbol=STOUSDT,side=SHORT,entry_price=0.1997,exit_price=0.19837,exit_reason=trailing_expansion,sl_price=0.20209639999999998,tp_price=0.19670449999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775195594.773,0.0,0.1997,0.0
1775195595.788,1.0,0.19999,-1.4522
1775195596.8,2.0,0.20024,-2.7041
1775195597.803,3.0,0.20108,-6.9104
1775195598.805,4.0,0.20111,-7.0606
1775195599.81,5.0,0.20032,-3.1047
1775195600.842,6.1,0.20025,-2.7541
1775195602.516,7.7,0.2006,-4.5068
1775195603.53,8.8,0.20096,-6.3095
1775195604.555,9.8,0.20142,-8.6129
1775195605.645,10.9,0.20082,-5.6084
1775195606.676,11.9,0.20107,-6.8603
1775195607.69,12.9,0.20085,-5.7586
1775195608.753,14.0,0.20087,-5.8588
1775195609.78,15.0,0.1998,-0.5008
1775195610.789,16.0,0.19982,-0.6009
1775195611.807,17.0,0.19973,-0.1502
1775195612.906,18.1,0.19954,0.8012
1775195613.97,19.2,0.19948,1.1017
1775195614.991,20.2,0.19944,1.302
1775195615.998,21.2,0.19957,0.651
1775195617.0,22.2,0.1993,2.003
1775195618.001,23.2,0.19886,4.2063
1775195619.004,24.2,0.19858,5.6084
1775195620.035,25.3,0.19872,4.9074
1775195621.041,26.3,0.19869,5.0576
1775195622.089,27.3,0.19916,2.7041
1775195623.089,28.3,0.19907,3.1547
1775195624.163,29.4,0.19909,3.0546
1775195625.197,30.4,0.19931,1.9529
1775195626.232,31.5,0.19961,0.4507
1775195627.255,32.5,0.19962,0.4006
1775195628.269,33.5,0.19945,1.2519
1775195629.277,34.5,0.19937,1.6525
1775195630.423,35.7,0.19954,0.8012
1775195631.461,36.7,0.1993,2.003
1775195632.461,37.7,0.19909,3.0546
1775195633.471,38.7,0.19891,3.9559
1775195634.479,39.7,0.19892,3.9059
1775195635.933,41.2,0.1989,4.006
1775195636.953,42.2,0.19889,4.0561
1775195637.97,43.2,0.19896,3.7056
1775195638.982,44.2,0.19889,4.0561
1775195640.022,45.2,0.19894,3.8057
1775195641.237,46.5,0.19925,2.2534
1775195642.259,47.5,0.19909,3.0546
1775195643.323,48.6,0.19856,5.7086
1775195644.363,49.6,0.19856,5.7086
1775195645.363,50.6,0.20008,-1.9029
1775195646.386,51.6,0.19986,-0.8012
1775195647.407,52.6,0.19954,0.8012
1775195648.453,53.7,0.19963,0.3505
1775195649.577,54.8,0.19931,1.9529
1775195650.587,55.8,0.19927,2.1532
1775195651.636,56.9,0.19911,2.9544
1775195652.692,57.9,0.19902,3.4051
1775195653.701,58.9,0.19891,3.9559
1775195654.755,60.0,0.19909,3.0546
1775195655.858,61.1,0.19929,2.0531
1775195656.861,62.1,0.19923,2.3535
1775195657.876,63.1,0.19916,2.7041
1775195658.911,64.1,0.19943,1.352
1775195659.928,65.2,0.19907,3.1547
1775195660.932,66.2,0.19904,3.305
1775195661.94,67.2,0.1991,3.0045
1775195662.957,68.2,0.19911,2.9544
1775195663.974,69.2,0.19907,3.1547
1775195664.991,70.2,0.19885,4.2564
1775195666.067,71.3,0.199,3.5053
1775195667.07,72.3,0.19888,4.1062
1775195668.083,73.3,0.19878,4.6069
1775195669.099,74.3,0.19859,5.5583
1775195671.156,76.4,0.19869,5.0576
1775195672.286,77.5,0.1987,5.0075
1775195673.312,78.5,0.19898,3.6054
1775195674.356,79.6,0.19903,3.355
1775195675.369,80.6,0.19954,0.8012
1775195676.436,81.7,0.19933,1.8528
1775195677.456,82.7,0.19931,1.9529
1775195678.541,83.8,0.19907,3.1547
1775195679.541,84.8,0.19867,5.1577
1775195680.567,85.8,0.19869,5.0576
1775195681.594,86.8,0.19864,5.308
1775195682.731,88.0,0.19847,6.1592
1775195683.745,89.0,0.19786,9.2138
1775195684.755,90.0,0.19784,9.314
1775195685.777,91.0,0.19819,7.5613
1775195686.872,92.1,0.19792,8.9134
1775195687.88,93.1,0.19742,11.4171
1775195688.885,94.1,0.19758,10.6159
1775195689.936,95.2,0.19746,11.2168
1775195691.027,96.3,0.19756,10.7161
1775195692.108,97.3,0.19744,11.317
1775195693.143,98.4,0.19746,11.2168
1775195694.158,99.4,0.19739,11.5674
1775195695.166,100.4,0.19777,9.6645
1775195696.17,101.4,0.19832,6.9104
1775195697.173,102.4,0.19819,7.5613
1775195698.275,103.5,0.19803,8.3625
1775195699.362,104.6,0.19787,9.1637
1775195700.382,105.6,0.19833,6.8603
1775195701.432,106.7,0.1983,7.0105
1775195702.629,107.9,0.19841,6.4597
1775195703.661,108.9,0.19852,5.9089
1775195704.754,110.0,0.19824,7.311
1775195705.91,111.1,0.19876,4.7071
1775195706.928,112.2,0.19863,5.358
1775195707.93,113.2,0.19904,3.305
1775195708.966,114.2,0.19899,3.5553
1775195709.979,115.2,0.19908,3.1047
1775195710.984,116.2,0.19942,1.4021
1775195712.097,117.3,0.19923,2.3535
1775195713.14,118.4,0.19908,3.1047
1775195714.261,119.5,0.19877,4.657
1775195715.173,120.4,0.19837,6.66
