# symbol=SYNUSDT,side=LONG,entry_price=0.05917,exit_price=0.05941,exit_reason=trailing_decay,sl_price=0.05845996,tp_price=0.060057549999999994,leverage=10
ts,seconds,price,ret_margin_pct
1775193448.564,0.0,0.05917,0.0
1775193451.484,2.9,0.05916,-0.169
1775193453.065,4.5,0.05919,0.338
1775193456.213,7.6,0.05916,-0.169
1775193457.492,8.9,0.05917,0.0
1775193459.056,10.5,0.05917,0.0
1775193461.418,12.9,0.05928,1.8591
1775193466.9,18.3,0.05916,-0.169
1775193468.984,20.4,0.05918,0.169
1775193471.683,23.1,0.05913,-0.676
1775193480.323,31.8,0.05916,-0.169
1775193481.375,32.8,0.05914,-0.507
1775193482.661,34.1,0.05913,-0.676
1775193483.708,35.1,0.05914,-0.507
1775193485.882,37.3,0.05913,-0.676
1775193490.841,42.3,0.05908,-1.521
1775193492.549,44.0,0.05905,-2.0281
1775193498.517,50.0,0.05904,-2.1971
1775193500.788,52.2,0.05903,-2.3661
1775193503.818,55.3,0.05904,-2.1971
1775193505.04,56.5,0.05904,-2.1971
1775193510.253,61.7,0.05905,-2.0281
1775193512.723,64.2,0.05907,-1.69
1775193521.231,72.7,0.05905,-2.0281
1775193522.278,73.7,0.05909,-1.352
1775193524.559,76.0,0.05906,-1.8591
1775193529.901,81.3,0.05906,-1.8591
1775193534.854,86.3,0.05906,-1.8591
1775193540.323,91.8,0.0591,-1.183
1775193541.402,92.8,0.05921,0.676
1775193542.449,93.9,0.05927,1.69
1775193543.506,94.9,0.05931,2.3661
1775193546.102,97.5,0.05928,1.8591
1775193552.441,103.9,0.05928,1.8591
1775193555.64,107.1,0.05928,1.8591
1775193559.322,110.8,0.05932,2.5351
1775193560.348,111.8,0.05953,6.0842
1775193561.377,112.8,0.05953,6.0842
1775193562.437,113.9,0.0595,5.5772
1775193566.065,117.5,0.0595,5.5772
1775193568.026,119.5,0.0595,5.5772
1775193569.522,121.0,0.05952,5.9152
1775193570.653,122.1,0.05983,11.1543
1775193573.158,124.6,0.05982,10.9853
1775193574.2,125.6,0.05978,10.3093
1775193575.45,126.9,0.05961,7.4362
1775193578.222,129.7,0.05935,3.0421
1775193580.887,132.3,0.05938,3.5491
1775193584.539,136.0,0.05948,5.2391
1775193588.649,140.1,0.05957,6.7602
1775193589.869,141.3,0.05986,11.6613
1775193590.886,142.3,0.05987,11.8303
1775193596.049,147.5,0.0598,10.6473
1775193597.249,148.7,0.05982,10.9853
1775193599.109,150.5,0.05983,11.1543
1775193600.343,151.8,0.05988,11.9993
1775193601.392,152.8,0.05974,9.6333
1775193602.448,153.9,0.05967,8.4502
1775193604.477,155.9,0.05979,10.4783
1775193606.002,157.4,0.05979,10.4783
1775193607.826,159.3,0.05981,10.8163
