# symbol=SYNUSDT,side=LONG,entry_price=0.06292,exit_price=0.06357,exit_reason=trailing_expansion,sl_price=0.062164960000000005,tp_price=0.0638638,leverage=10
ts,seconds,price,ret_margin_pct
1775194515.512,0.0,0.06292,0.0
1775194516.545,1.0,0.06297,0.7947
1775194517.717,2.2,0.06289,-0.4768
1775194518.781,3.3,0.06297,0.7947
1775194520.149,4.6,0.06302,1.5893
1775194521.168,5.7,0.06298,0.9536
1775194522.563,7.1,0.06297,0.7947
1775194523.697,8.2,0.063,1.2715
1775194525.397,9.9,0.06291,-0.1589
1775194526.878,11.4,0.06285,-1.1125
1775194527.988,12.5,0.06286,-0.9536
1775194529.05,13.5,0.06305,2.0661
1775194530.06,14.5,0.06306,2.225
1775194531.407,15.9,0.06302,1.5893
1775194532.479,17.0,0.0631,2.8608
1775194533.482,18.0,0.06305,2.0661
1775194534.754,19.2,0.063,1.2715
1775194536.458,20.9,0.06293,0.1589
1775194537.481,22.0,0.06275,-2.7018
1775194538.585,23.1,0.06282,-1.5893
1775194539.714,24.2,0.06278,-2.225
1775194540.927,25.4,0.06282,-1.5893
1775194541.963,26.5,0.06293,0.1589
1775194543.317,27.8,0.06298,0.9536
1775194544.361,28.8,0.06303,1.7483
1775194545.39,29.9,0.06335,6.8341
1775194546.598,31.1,0.06325,5.2448
1775194547.702,32.2,0.0633,6.0394
1775194549.41,33.9,0.06321,4.609
1775194550.494,35.0,0.06317,3.9733
1775194551.81,36.3,0.06333,6.5162
1775194552.989,37.5,0.06338,7.3109
1775194554.093,38.6,0.06332,6.3573
1775194555.137,39.6,0.06339,7.4698
1775194556.253,40.7,0.06323,4.9269
1775194557.496,42.0,0.06335,6.8341
1775194558.72,43.2,0.06341,7.7877
1775194559.783,44.3,0.06334,6.6751
1775194560.875,45.4,0.06333,6.5162
1775194561.901,46.4,0.06331,6.1983
1775194563.133,47.6,0.06371,12.5556
1775194564.142,48.6,0.06389,15.4164
1775194565.196,49.7,0.06399,17.0057
1775194566.218,50.7,0.06384,14.6217
1775194567.234,51.7,0.06384,14.6217
1775194568.325,52.8,0.06444,24.1577
1775194569.373,53.9,0.06467,27.8131
1775194570.417,54.9,0.06445,24.3166
1775194571.425,55.9,0.06473,28.7667
1775194572.428,56.9,0.06468,27.972
1775194573.465,58.0,0.06489,31.3096
1775194574.639,59.1,0.06482,30.1971
1775194575.656,60.1,0.06476,29.2435
1775194577.066,61.6,0.06439,23.363
1775194578.128,62.6,0.06475,29.0846
1775194579.212,63.7,0.06471,28.4488
1775194580.272,64.8,0.06453,25.588
1775194581.759,66.2,0.06454,25.747
1775194582.875,67.4,0.06437,23.0451
1775194584.059,68.5,0.06439,23.363
1775194585.142,69.6,0.06446,24.4755
1775194586.43,70.9,0.06461,26.8595
1775194587.503,72.0,0.06462,27.0184
1775194588.557,73.0,0.0645,25.1113
1775194589.569,74.1,0.06445,24.3166
1775194590.645,75.1,0.06448,24.7934
1775194591.896,76.4,0.06439,23.363
1775194592.95,77.4,0.06426,21.2969
1775194594.068,78.6,0.06446,24.4755
1775194595.114,79.6,0.06441,23.6809
1775194596.166,80.7,0.06433,22.4094
1775194597.493,82.0,0.06431,22.0915
1775194598.501,83.0,0.06433,22.4094
1775194599.651,84.1,0.06432,22.2505
1775194600.666,85.2,0.06436,22.8862
1775194601.911,86.4,0.0644,23.5219
1775194602.947,87.4,0.06453,25.588
1775194603.957,88.4,0.06451,25.2702
1775194605.357,89.8,0.06453,25.588
1775194606.759,91.2,0.06457,26.2238
1775194607.914,92.4,0.06446,24.4755
1775194609.173,93.7,0.06453,25.588
1775194610.25,94.7,0.06434,22.5683
1775194611.474,96.0,0.0644,23.5219
1775194612.657,97.1,0.06439,23.363
1775194613.785,98.3,0.0645,25.1113
1775194614.854,99.3,0.06442,23.8398
1775194616.038,100.5,0.06445,24.3166
1775194617.293,101.8,0.06443,23.9987
1775194618.302,102.8,0.0643,21.9326
1775194619.314,103.8,0.0642,20.3433
1775194620.314,104.8,0.06422,20.6612
1775194621.469,106.0,0.06377,13.5092
1775194623.06,107.5,0.06387,15.0985
1775194624.293,108.8,0.06384,14.6217
1775194625.388,109.9,0.06401,17.3236
1775194626.48,111.0,0.06365,11.602
1775194627.538,112.0,0.06315,3.6554
1775194628.559,113.0,0.06281,-1.7483
1775194629.563,114.1,0.06282,-1.5893
1775194630.566,115.1,0.06339,7.4698
1775194631.801,116.3,0.0634,7.6287
1775194632.856,117.3,0.06331,6.1983
1775194633.978,118.5,0.06331,6.1983
1775194635.067,119.6,0.06349,9.0591
1775194636.514,121.0,0.06359,10.6484
1775194637.933,122.4,0.06357,10.3306
