# symbol=SYNUSDT,side=LONG,entry_price=0.0636,exit_price=0.06296,exit_reason=dynamic_vol_stop,sl_price=0.0628368,tp_price=0.064554,leverage=10
ts,seconds,price,ret_margin_pct
1775194638.517,0.0,0.0636,0.0
1775194640.101,1.6,0.06337,-3.6164
1775194641.176,2.7,0.06338,-3.4591
1775194642.245,3.7,0.06344,-2.5157
1775194643.483,5.0,0.06334,-4.0881
1775194644.711,6.2,0.06337,-3.6164
1775194645.815,7.3,0.06336,-3.7736
1775194647.112,8.6,0.06345,-2.3585
1775194648.133,9.6,0.06338,-3.4591
1775194649.135,10.6,0.06327,-5.1887
1775194650.178,11.7,0.06354,-0.9434
1775194651.256,12.7,0.06359,-0.1572
1775194652.285,13.8,0.0637,1.5723
1775194653.352,14.8,0.06381,3.3019
1775194654.439,15.9,0.06397,5.8176
1775194655.634,17.1,0.06404,6.9182
1775194656.717,18.2,0.06391,4.8742
1775194658.428,19.9,0.06387,4.2453
1775194659.44,20.9,0.0635,-1.5723
1775194660.647,22.1,0.06367,1.1006
1775194661.716,23.2,0.06364,0.6289
1775194662.812,24.3,0.06355,-0.7862
1775194663.845,25.3,0.06344,-2.5157
1775194664.861,26.3,0.06309,-8.0189
1775194665.835,27.3,0.06296,-10.0629
