# symbol=TAGUSDT,side=LONG,entry_price=0.0008487,exit_price=0.0008679,exit_reason=trailing_expansion,sl_price=0.0008470026,tp_price=0.0008614304999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185084.845,0.0,0.0008487,0.0
1775185085.904,1.1,0.0008485,-0.2357
1775185088.504,3.7,0.0008484,-0.3535
1775185089.808,5.0,0.0008485,-0.2357
1775185091.04,6.2,0.0008485,-0.2357
1775185094.023,9.2,0.0008486,-0.1178
1775185097.008,12.2,0.0008488,0.1178
1775185098.791,13.9,0.000851,2.71
1775185099.877,15.0,0.0008512,2.9457
1775185101.312,16.5,0.0008515,3.2992
1775185102.441,17.6,0.0008492,0.5891
1775185104.078,19.2,0.0008497,1.1783
1775185108.658,23.8,0.0008504,2.0031
1775185109.833,25.0,0.0008502,1.7674
1775185113.413,28.6,0.0008502,1.7674
1775185115.172,30.3,0.0008497,1.1783
1775185116.45,31.6,0.0008506,2.2387
1775185121.034,36.2,0.0008507,2.3565
1775185127.699,42.9,0.0008507,2.3565
1775185129.023,44.2,0.0008507,2.3565
1775185130.28,45.4,0.00085,1.5318
1775185134.359,49.5,0.0008504,2.0031
1775185135.586,50.7,0.0008518,3.6526
1775185137.522,52.7,0.0008519,3.7705
1775185140.209,55.4,0.0008514,3.1813
1775185141.222,56.4,0.0008556,8.1301
1775185144.622,59.8,0.0008535,5.6557
1775185147.099,62.3,0.0008528,4.8309
1775185148.103,63.3,0.0008534,5.5379
1775185152.676,67.8,0.000855,7.4231
1775185153.682,68.8,0.000856,8.6014
1775185154.806,70.0,0.0008564,9.0727
1775185155.889,71.0,0.000856,8.6014
1775185157.41,72.6,0.0008566,9.3084
1775185162.438,77.6,0.0008558,8.3657
1775185164.571,79.7,0.0008558,8.3657
1775185165.78,80.9,0.0008556,8.1301
1775185167.132,82.3,0.0008555,8.0123
1775185169.448,84.6,0.0008555,8.0123
1775185170.931,86.1,0.0008564,9.0727
1775185171.935,87.1,0.000858,10.9579
1775185176.027,91.2,0.000858,10.9579
1775185177.029,92.2,0.0008576,10.4866
1775185178.491,93.6,0.000858,10.9579
1775185179.523,94.7,0.0008593,12.4897
1775185181.001,96.2,0.0008589,12.0184
1775185183.339,98.5,0.0008592,12.3719
1775185184.438,99.6,0.0008596,12.8432
1775185186.665,101.8,0.00086,13.3145
1775185188.973,104.1,0.0008596,12.8432
1775185190.337,105.5,0.0008595,12.7253
1775185193.978,109.1,0.0008592,12.3719
1775185195.529,110.7,0.0008611,14.6106
1775185197.256,112.4,0.0008611,14.6106
1775185198.403,113.6,0.0008612,14.7284
1775185199.406,114.6,0.0008626,16.378
1775185200.456,115.6,0.0008617,15.3175
1775185201.483,116.6,0.0008643,18.3811
1775185202.515,117.7,0.0008654,19.6772
1775185203.708,118.9,0.0008659,20.2663
1775185204.835,120.0,0.000867,21.5624
1775185206.135,121.3,0.0008679,22.6228
