# symbol=TAGUSDT,side=LONG,entry_price=0.0007651,exit_price=0.0007802,exit_reason=trailing_decay,sl_price=0.0007559188,tp_price=0.0007765764999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775193304.296,0.0,0.0007651,0.0
1775193305.658,1.4,0.0007655,0.5228
1775193307.424,3.1,0.0007665,1.8298
1775193308.968,4.7,0.000767,2.4833
1775193310.17,5.9,0.0007677,3.3982
1775193311.283,7.0,0.0007677,3.3982
1775193312.42,8.1,0.0007658,0.9149
1775193315.45,11.2,0.0007658,0.9149
1775193316.535,12.2,0.0007672,2.7447
1775193317.647,13.4,0.0007673,2.8754
1775193318.657,14.4,0.0007675,3.1368
1775193319.664,15.4,0.0007664,1.6991
1775193321.094,16.8,0.000767,2.4833
1775193322.411,18.1,0.000768,3.7904
1775193325.952,21.7,0.000768,3.7904
1775193327.064,22.8,0.0007686,4.5746
1775193329.14,24.8,0.0007686,4.5746
1775193331.849,27.6,0.0007673,2.8754
1775193333.291,29.0,0.0007673,2.8754
1775193335.092,30.8,0.0007673,2.8754
1775193336.185,31.9,0.0007662,1.4377
1775193337.234,32.9,0.0007659,1.0456
1775193338.984,34.7,0.0007649,-0.2614
1775193340.0,35.7,0.0007654,0.3921
1775193343.287,39.0,0.0007662,1.4377
1775193345.718,41.4,0.0007667,2.0912
1775193346.756,42.5,0.0007671,2.614
1775193347.838,43.5,0.0007676,3.2675
1775193348.844,44.5,0.0007681,3.9211
1775193349.863,45.6,0.0007683,4.1825
1775193351.181,46.9,0.0007686,4.5746
1775193352.752,48.5,0.0007688,4.836
1775193353.839,49.5,0.0007688,4.836
1775193355.005,50.7,0.0007688,4.836
1775193356.306,52.0,0.0007688,4.836
1775193357.321,53.0,0.0007688,4.836
1775193358.535,54.2,0.0007704,6.9272
1775193359.837,55.5,0.0007704,6.9272
1775193360.945,56.6,0.0007729,10.1947
1775193362.012,57.7,0.0007728,10.064
1775193363.085,58.8,0.000774,11.6325
1775193364.164,59.9,0.0007738,11.3711
1775193365.249,61.0,0.000774,11.6325
1775193366.286,62.0,0.0007729,10.1947
1775193367.309,63.0,0.0007729,10.1947
1775193368.527,64.2,0.0007741,11.7632
1775193369.658,65.4,0.0007757,13.8544
1775193370.709,66.4,0.0007756,13.7237
1775193372.88,68.6,0.0007748,12.6781
1775193373.938,69.6,0.000776,14.2465
1775193374.945,70.6,0.0007762,14.5079
1775193376.041,71.7,0.0007774,16.0763
1775193377.1,72.8,0.0007765,14.9
1775193378.118,73.8,0.0007775,16.207
1775193379.207,74.9,0.0007749,12.8088
1775193380.214,75.9,0.0007756,13.7237
1775193381.265,77.0,0.0007778,16.5991
1775193382.557,78.3,0.0007771,15.6842
1775193383.999,79.7,0.0007781,16.9912
1775193385.07,80.8,0.0007789,18.0369
1775193386.121,81.8,0.0007778,16.5991
1775193387.178,82.9,0.000778,16.8605
1775193388.316,84.0,0.0007777,16.4684
1775193389.45,85.2,0.0007779,16.7298
1775193390.522,86.2,0.0007768,15.2921
1775193391.698,87.4,0.0007776,16.3377
1775193392.962,88.7,0.0007772,15.8149
1775193394.11,89.8,0.000779,18.1676
1775193395.28,91.0,0.0007792,18.429
1775193396.307,92.0,0.000779,18.1676
1775193397.343,93.0,0.0007796,18.9518
1775193398.458,94.2,0.0007795,18.8211
1775193399.589,95.3,0.0007795,18.8211
1775193400.656,96.4,0.0007799,19.3439
1775193401.925,97.6,0.00078,19.4746
1775193403.069,98.8,0.0007806,20.2588
1775193404.317,100.0,0.0007811,20.9123
1775193405.454,101.2,0.0007813,21.1737
1775193406.596,102.3,0.0007822,22.35
1775193407.609,103.3,0.0007807,20.3895
1775193409.244,104.9,0.0007812,21.043
1775193410.8,106.5,0.0007818,21.8272
1775193411.836,107.5,0.0007825,22.7421
1775193412.837,108.5,0.0007812,21.043
1775193413.888,109.6,0.0007818,21.8272
1775193415.012,110.7,0.0007826,22.8728
1775193416.106,111.8,0.0007825,22.7421
1775193417.24,112.9,0.0007817,21.6965
1775193418.319,114.0,0.0007829,23.2649
1775193419.662,115.4,0.0007839,24.572
1775193420.769,116.5,0.0007835,24.0491
1775193421.801,117.5,0.0007817,21.6965
1775193422.859,118.6,0.0007823,22.4807
1775193423.884,119.6,0.0007815,21.4351
1775193424.976,120.7,0.0007833,23.7877
1775193426.059,121.8,0.0007839,24.572
1775193427.118,122.8,0.0007828,23.1342
1775193428.243,123.9,0.0007847,25.6176
1775193429.502,125.2,0.0007846,25.4869
1775193430.553,126.3,0.0007852,26.2711
1775193431.56,127.3,0.0007847,25.6176
1775193432.609,128.3,0.0007856,26.7939
1775193433.962,129.7,0.0007855,26.6632
1775193435.165,130.9,0.0007849,25.879
1775193436.198,131.9,0.0007839,24.572
1775193437.588,133.3,0.0007851,26.1404
1775193438.628,134.3,0.0007823,22.4807
1775193439.836,135.5,0.00078,19.4746
1775193440.844,136.5,0.0007799,19.3439
1775193442.004,137.7,0.0007803,19.8667
1775193443.025,138.7,0.0007805,20.1281
1775193444.088,139.8,0.000781,20.7816
1775193445.451,141.2,0.0007803,19.8667
1775193446.99,142.7,0.0007801,19.6053
1775193448.364,144.1,0.0007811,20.9123
1775193450.07,145.8,0.000779,18.1676
1775193451.3,147.0,0.0007788,17.9062
1775193452.334,148.0,0.0007794,18.6904
1775193453.414,149.1,0.000781,20.7816
1775193456.655,152.4,0.0007804,19.9974
1775193457.661,153.4,0.0007804,19.9974
1775193458.688,154.4,0.0007822,22.35
1775193459.688,155.4,0.0007821,22.2193
1775193463.442,159.1,0.0007813,21.1737
1775193464.698,160.4,0.0007798,19.2132
1775193465.895,161.6,0.0007807,20.3895
