# symbol=TAGUSDT,side=SHORT,entry_price=0.0007587,exit_price=0.0007499,exit_reason=trailing_expansion,sl_price=0.0007678044,tp_price=0.0007473194999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775194584.324,0.0,0.0007587,0.0
1775194585.693,1.4,0.0007584,0.3954
1775194586.846,2.5,0.0007578,1.1862
1775194587.855,3.5,0.000757,2.2407
1775194589.705,5.4,0.0007567,2.6361
1775194590.85,6.5,0.0007563,3.1633
1775194591.855,7.5,0.0007563,3.1633
1775194593.488,9.2,0.0007563,3.1633
1775194594.72,10.4,0.0007538,6.4584
1775194595.721,11.4,0.0007534,6.9856
1775194596.735,12.4,0.000753,7.5129
1775194597.988,13.7,0.0007524,8.3037
1775194599.157,14.8,0.000752,8.8309
1775194600.856,16.5,0.0007511,10.0171
1775194601.928,17.6,0.0007507,10.5444
1775194602.935,18.6,0.000751,10.1489
1775194603.957,19.6,0.0007515,9.4899
1775194605.549,21.2,0.0007516,9.3581
1775194606.961,22.6,0.0007509,10.2807
1775194608.448,24.1,0.0007519,8.9627
1775194609.872,25.5,0.0007503,11.0716
1775194611.001,26.7,0.0007528,7.7765
1775194612.976,28.7,0.0007527,7.9083
1775194614.049,29.7,0.0007522,8.5673
1775194615.248,30.9,0.0007521,8.6991
1775194617.223,32.9,0.0007519,8.9627
1775194618.819,34.5,0.0007515,9.4899
1775194619.964,35.6,0.0007514,9.6217
1775194621.051,36.7,0.0007532,7.2492
1775194622.154,37.8,0.0007528,7.7765
1775194625.908,41.6,0.0007531,7.381
1775194627.479,43.2,0.0007528,7.7765
1775194630.198,45.9,0.0007524,8.3037
1775194631.409,47.1,0.0007524,8.3037
1775194633.311,49.0,0.0007519,8.9627
1775194636.321,52.0,0.0007514,9.6217
1775194637.75,53.4,0.0007518,9.0945
1775194641.301,57.0,0.0007522,8.5673
1775194643.278,59.0,0.0007522,8.5673
1775194644.286,60.0,0.0007524,8.3037
1775194646.611,62.3,0.0007525,8.1719
1775194654.305,70.0,0.0007529,7.6447
1775194658.602,74.3,0.0007529,7.6447
1775194661.864,77.5,0.000753,7.5129
1775194662.947,78.6,0.000754,6.1948
1775194663.997,79.7,0.0007525,8.1719
1775194665.587,81.3,0.0007526,8.0401
1775194670.789,86.5,0.0007519,8.9627
1775194671.826,87.5,0.000752,8.8309
1775194673.999,89.7,0.000753,7.5129
1775194678.102,93.8,0.0007533,7.1174
1775194680.299,96.0,0.0007529,7.6447
1775194682.311,98.0,0.0007512,9.8853
1775194683.399,99.1,0.0007521,8.6991
1775194684.412,100.1,0.0007504,10.9398
1775194685.805,101.5,0.0007496,11.9942
1775194687.592,103.3,0.0007499,11.5988
1775194691.835,107.5,0.0007494,12.2578
1775194694.015,109.7,0.00075,11.467
1775194703.954,119.6,0.0007498,11.7306
1775194704.601,120.3,0.0007499,11.5988
