# symbol=TAUSDT,side=SHORT,entry_price=0.04657,exit_price=0.04648,exit_reason=lifecycle_reversal,sl_price=0.04712884,tp_price=0.04587145,leverage=10
ts,seconds,price,ret_margin_pct
1775194220.858,0.0,0.04657,0.0
1775194225.368,4.5,0.04658,-0.2147
1775194231.607,10.7,0.04657,0.0
1775194239.463,18.6,0.04656,0.2147
1775194245.06,24.2,0.04654,0.6442
1775194247.988,27.1,0.04655,0.4295
1775194254.421,33.6,0.04654,0.6442
1775194264.67,43.8,0.04654,0.6442
1775194266.514,45.7,0.04654,0.6442
1775194269.306,48.4,0.04654,0.6442
1775194270.35,49.5,0.04644,2.7915
1775194272.452,51.6,0.04644,2.7915
1775194273.595,52.7,0.04645,2.5768
1775194291.974,71.1,0.04646,2.362
1775194293.574,72.7,0.04642,3.221
1775194301.039,80.2,0.04643,3.0062
1775194302.752,81.9,0.04643,3.0062
1775194306.925,86.1,0.04642,3.221
1775194328.306,107.4,0.04641,3.4357
1775194334.782,113.9,0.04642,3.221
1775194335.943,115.1,0.04644,2.7915
1775194337.029,116.2,0.04645,2.5768
1775194339.808,119.0,0.04646,2.362
1775194367.818,147.0,0.04647,2.1473
1775194385.811,165.0,0.04645,2.5768
1775194393.348,172.5,0.04646,2.362
1775194402.744,181.9,0.04646,2.362
1775194403.965,183.1,0.04644,2.7915
1775194410.985,190.1,0.04642,3.221
1775194416.139,195.3,0.04642,3.221
1775194441.503,220.6,0.04642,3.221
1775194442.602,221.7,0.04644,2.7915
1775194454.608,233.7,0.04647,2.1473
1775194481.77,260.9,0.04644,2.7915
1775194514.558,293.7,0.04647,2.1473
1775194517.6,296.7,0.04647,2.1473
1775194533.116,312.3,0.04648,1.9326
1775194574.66,353.8,0.04647,2.1473
1775194575.153,354.3,0.04648,1.9326
