# symbol=TONUSDT,side=SHORT,entry_price=1.2488,exit_price=1.2513,exit_reason=lifecycle_reversal,sl_price=1.2637855999999998,tp_price=1.230068,leverage=10
ts,seconds,price,ret_margin_pct
1775193068.209,0.0,1.2488,0.0
1775193069.422,1.2,1.2496,-0.6406
1775193073.515,5.3,1.2502,-1.1211
1775193074.845,6.6,1.2513,-2.0019
1775193079.321,11.1,1.2514,-2.082
1775193080.409,12.2,1.2505,-1.3613
1775193082.492,14.3,1.2503,-1.2012
1775193084.704,16.5,1.2501,-1.041
1775193088.328,20.1,1.2501,-1.041
1775193089.703,21.5,1.2511,-1.8418
1775193095.022,26.8,1.2513,-2.0019
1775193096.135,27.9,1.2512,-1.9218
1775193097.249,29.0,1.2512,-1.9218
1775193098.369,30.2,1.2512,-1.9218
1775193102.755,34.5,1.2512,-1.9218
1775193110.944,42.7,1.2512,-1.9218
1775193114.499,46.3,1.2512,-1.9218
1775193116.282,48.1,1.2512,-1.9218
1775193120.576,52.4,1.2512,-1.9218
1775193121.778,53.6,1.2513,-2.0019
1775193125.675,57.5,1.2513,-2.0019
1775193129.323,61.1,1.2515,-2.1621
1775193130.379,62.2,1.2515,-2.1621
1775193133.194,65.0,1.2514,-2.082
1775193134.441,66.2,1.2514,-2.082
1775193136.299,68.1,1.2515,-2.1621
1775193139.004,70.8,1.2515,-2.1621
1775193143.824,75.6,1.2516,-2.2422
1775193146.273,78.1,1.2516,-2.2422
1775193148.798,80.6,1.2516,-2.2422
1775193149.838,81.6,1.2517,-2.3222
1775193154.422,86.2,1.2517,-2.3222
1775193155.536,87.3,1.2516,-2.2422
1775193156.586,88.4,1.2523,-2.8027
1775193157.651,89.4,1.252,-2.5625
1775193158.956,90.7,1.2522,-2.7226
1775193161.831,93.6,1.2524,-2.8828
1775193162.948,94.7,1.2524,-2.8828
1775193164.798,96.6,1.2522,-2.7226
1775193166.149,97.9,1.2521,-2.6425
1775193167.371,99.2,1.2513,-2.0019
1775193175.599,107.4,1.2512,-1.9218
1775193178.647,110.4,1.2511,-1.8418
1775193180.494,112.3,1.251,-1.7617
1775193182.091,113.9,1.2509,-1.6816
1775193186.25,118.0,1.251,-1.7617
1775193188.54,120.3,1.2509,-1.6816
1775193190.671,122.5,1.251,-1.7617
1775193193.543,125.3,1.2509,-1.6816
1775193195.04,126.8,1.2508,-1.6015
1775193196.313,128.1,1.2507,-1.5215
1775193197.407,129.2,1.2506,-1.4414
1775193198.493,130.3,1.2503,-1.2012
1775193200.131,131.9,1.2502,-1.1211
1775193201.564,133.4,1.2503,-1.2012
1775193203.329,135.1,1.2501,-1.041
1775193204.654,136.4,1.2501,-1.041
1775193207.804,139.6,1.2501,-1.041
1775193208.844,140.6,1.25,-0.9609
1775193211.391,143.2,1.25,-0.9609
1775193212.408,144.2,1.25,-0.9609
1775193214.653,146.4,1.25,-0.9609
1775193216.826,148.6,1.2499,-0.8808
1775193220.725,152.5,1.2498,-0.8008
1775193225.364,157.2,1.2498,-0.8008
1775193228.361,160.2,1.2499,-0.8808
1775193231.277,163.1,1.25,-0.9609
1775193233.163,165.0,1.2502,-1.1211
1775193234.64,166.4,1.2505,-1.3613
1775193238.547,170.3,1.2507,-1.5215
1775193239.875,171.7,1.2507,-1.5215
1775193242.883,174.7,1.2514,-2.082
1775193243.859,175.6,1.2513,-2.0019
