# symbol=TRIAUSDT,side=SHORT,entry_price=0.02452,exit_price=0.02457,exit_reason=vol_stop,sl_price=0.02456904,tp_price=0.0241522,leverage=10
ts,seconds,price,ret_margin_pct
1775185404.633,0.0,0.02452,0.0
1775185406.751,2.1,0.02446,2.447
1775185410.798,6.2,0.02448,1.6313
1775185414.35,9.7,0.02447,2.0392
1775185415.403,10.8,0.02446,2.447
1775185421.844,17.2,0.02448,1.6313
1775185423.797,19.2,0.02448,1.6313
1775185426.404,21.8,0.02447,2.0392
1775185428.001,23.4,0.02448,1.6313
1775185429.979,25.3,0.02447,2.0392
1775185434.028,29.4,0.02448,1.6313
1775185435.146,30.5,0.02453,-0.4078
1775185439.793,35.2,0.02454,-0.8157
1775185441.186,36.6,0.02457,-2.0392
