# symbol=TWTUSDT,side=LONG,entry_price=0.4019,exit_price=0.4024,exit_reason=lifecycle_reversal,sl_price=0.39707719999999996,tp_price=0.4079284999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775204460.967,0.0,0.4019,0.0
1775204462.114,1.1,0.4012,-1.7417
1775204463.192,2.2,0.4013,-1.4929
1775204465.506,4.5,0.4014,-1.2441
1775204467.668,6.7,0.4016,-0.7465
1775204470.146,9.2,0.4019,0.0
1775204475.841,14.9,0.402,0.2488
1775204477.948,17.0,0.4021,0.4976
1775204491.231,30.3,0.4022,0.7465
1775204504.534,43.6,0.4022,0.7465
1775204506.62,45.7,0.4022,0.7465
1775204518.818,57.9,0.4024,1.2441
1775204520.561,59.6,0.4023,0.9953
1775204522.061,61.1,0.4024,1.2441
1775204523.092,62.1,0.4026,1.7417
1775204525.762,64.8,0.4027,1.9905
1775204528.184,67.2,0.4026,1.7417
1775204532.685,71.7,0.4026,1.7417
1775204538.368,77.4,0.4026,1.7417
1775204548.356,87.4,0.4028,2.2394
1775204551.381,90.4,0.4026,1.7417
1775204554.297,93.3,0.4026,1.7417
1775204559.381,98.4,0.4027,1.9905
1775204566.627,105.7,0.4024,1.2441
1775204580.545,119.6,0.4024,1.2441
1775204581.826,120.9,0.4024,1.2441
