# symbol=USDCUSDT,side=SHORT,entry_price=0.999554,exit_price=0.999554,exit_reason=lifecycle_reversal,sl_price=1.011548648,tp_price=0.98456069,leverage=10
ts,seconds,price,ret_margin_pct
1775193199.42,0.0,0.999554,0.0
1775193201.76,2.3,0.999553,0.001
1775193209.981,10.6,0.999554,0.0
1775193212.756,13.3,0.999554,0.0
1775193220.756,21.3,0.999553,0.001
1775193221.758,22.3,0.999553,0.001
1775193222.815,23.4,0.999554,0.0
1775193226.78,27.4,0.999553,0.001
1775193228.759,29.3,0.999554,0.0
1775193231.756,32.3,0.999553,0.001
1775193241.753,42.3,0.999553,0.001
1775193252.077,52.7,0.999553,0.001
1775193253.431,54.0,0.999553,0.001
1775193257.762,58.3,0.999554,0.0
1775193260.756,61.3,0.999553,0.001
1775193262.758,63.3,0.999554,0.0
1775193272.755,73.3,0.999554,0.0
1775193276.761,77.3,0.999553,0.001
1775193280.755,81.3,0.999553,0.001
1775193281.755,82.3,0.999553,0.001
1775193282.756,83.3,0.999554,0.0
1775193287.755,88.3,0.999554,0.0
1775193291.754,92.3,0.999553,0.001
1775193300.758,101.3,0.999553,0.001
1775193301.907,102.5,0.999553,0.001
1775193304.777,105.4,0.999554,0.0
1775193307.769,108.3,0.999554,0.0
1775193316.757,117.3,0.999553,0.001
1775193318.758,119.3,0.999554,0.0
1775193327.756,128.3,0.999554,0.0
1775193330.755,131.3,0.999553,0.001
1775193331.76,132.3,0.999553,0.001
1775193337.756,138.3,0.999554,0.0
1775193341.146,141.7,0.999553,0.001
1775193344.736,145.3,0.999553,0.001
1775193347.432,148.0,0.999554,0.0
1775193351.763,152.3,0.999553,0.001
1775193353.532,154.1,0.999554,0.0
1775193354.646,155.2,0.999554,0.0
1775193358.398,159.0,0.999553,0.001
1775193359.823,160.4,0.999554,0.0
1775193361.761,162.3,0.999553,0.001
1775193364.169,164.7,0.999554,0.0
