# symbol=USUSDT,side=LONG,entry_price=0.005041,exit_price=0.005008,exit_reason=dynamic_vol_stop,sl_price=0.004980508000000001,tp_price=0.005116615,leverage=10
ts,seconds,price,ret_margin_pct
1775196121.853,0.0,0.005041,0.0
1775196124.524,2.7,0.005037,-0.7935
1775196127.794,5.9,0.005036,-0.9919
1775196129.278,7.4,0.005037,-0.7935
1775196130.299,8.4,0.005037,-0.7935
1775196132.372,10.5,0.005034,-1.3886
1775196133.426,11.6,0.005034,-1.3886
1775196135.368,13.5,0.005037,-0.7935
1775196139.274,17.4,0.005033,-1.587
1775196140.663,18.8,0.005036,-0.9919
1775196142.339,20.5,0.005033,-1.587
1775196148.361,26.5,0.005037,-0.7935
1775196150.635,28.8,0.005032,-1.7854
1775196152.048,30.2,0.005037,-0.7935
1775196153.927,32.1,0.005037,-0.7935
1775196155.724,33.9,0.005045,0.7935
1775196157.259,35.4,0.005035,-1.1902
1775196158.55,36.7,0.005037,-0.7935
1775196173.652,51.8,0.005037,-0.7935
1775196178.484,56.6,0.005039,-0.3967
1775196180.443,58.6,0.00504,-0.1984
1775196182.298,60.4,0.005031,-1.9837
1775196190.571,68.7,0.005031,-1.9837
1775196191.596,69.7,0.005025,-3.174
1775196196.359,74.5,0.005025,-3.174
1775196200.473,78.6,0.005026,-2.9756
1775196201.607,79.8,0.005027,-2.7772
1775196211.584,89.7,0.005026,-2.9756
1775196223.811,102.0,0.005029,-2.3805
1775196228.958,107.1,0.005027,-2.7772
1775196231.236,109.4,0.005027,-2.7772
1775196240.31,118.5,0.005028,-2.5789
1775196250.163,128.3,0.005028,-2.5789
1775196254.648,132.8,0.005028,-2.5789
1775196258.358,136.5,0.005029,-2.3805
1775196264.406,142.6,0.005029,-2.3805
1775196280.62,158.8,0.005031,-1.9837
1775196282.299,160.4,0.005028,-2.5789
1775196297.894,176.0,0.00503,-2.1821
1775196300.355,178.5,0.005029,-2.3805
1775196301.969,180.1,0.005026,-2.9756
1775196303.16,181.3,0.005025,-3.174
1775196305.091,183.2,0.005023,-3.5707
1775196307.544,185.7,0.005026,-2.9756
1775196313.634,191.8,0.005022,-3.7691
1775196317.424,195.6,0.005022,-3.7691
1775196330.21,208.4,0.005026,-2.9756
1775196341.053,219.2,0.005015,-5.1577
1775196343.003,221.2,0.005016,-4.9593
1775196344.515,222.7,0.005012,-5.7528
1775196347.525,225.7,0.005014,-5.3561
1775196349.515,227.7,0.005012,-5.7528
1775196349.935,228.1,0.005008,-6.5463
