# symbol=USUSDT,side=LONG,entry_price=0.005273,exit_price=0.005254,exit_reason=lifecycle_reversal,sl_price=0.005209724,tp_price=0.005352094999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775204826.361,0.0,0.005273,0.0
1775204828.277,1.9,0.005271,-0.3793
1775204837.839,11.5,0.005271,-0.3793
1775204838.984,12.6,0.005292,3.6033
1775204840.018,13.7,0.005291,3.4136
1775204841.092,14.7,0.005292,3.6033
1775204843.094,16.7,0.005296,4.3618
1775204844.128,17.8,0.005304,5.879
1775204845.532,19.2,0.005293,3.7929
1775204851.932,25.6,0.00529,3.224
1775204857.962,31.6,0.005288,2.8447
1775204861.785,35.4,0.005292,3.6033
1775204869.487,43.1,0.005293,3.7929
1775204877.609,51.2,0.005292,3.6033
1775204880.437,54.1,0.005293,3.7929
1775204881.71,55.3,0.005294,3.9826
1775204882.721,56.4,0.005295,4.1722
1775204889.4,63.0,0.005294,3.9826
1775204892.223,65.9,0.005296,4.3618
1775204894.051,67.7,0.005296,4.3618
1775204922.413,96.1,0.005295,4.1722
1775204923.42,97.1,0.005288,2.8447
1775204925.777,99.4,0.005289,3.0343
1775204936.307,109.9,0.005289,3.0343
1775204937.331,111.0,0.005263,-1.8965
1775204940.295,113.9,0.005257,-3.0343
1775204941.702,115.3,0.005254,-3.6033
1775204966.401,140.0,0.005252,-3.9826
1775204982.541,156.2,0.005252,-3.9826
1775204993.79,167.4,0.005254,-3.6033
1775204996.704,170.3,0.005255,-3.4136
1775205000.221,173.9,0.005256,-3.224
1775205002.775,176.4,0.005255,-3.4136
1775205004.426,178.1,0.005254,-3.6033
