# symbol=VETUSDT,side=LONG,entry_price=0.00699,exit_price=0.006992,exit_reason=strategy_stop,sl_price=0.00690612,tp_price=0.007094849999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775205427.631,0.0,0.00699,0.0
1775205429.818,2.2,0.006991,0.1431
1775205446.298,18.7,0.006991,0.1431
1775205469.177,41.5,0.006992,0.2861
1775205473.199,45.6,0.006991,0.1431
1775205475.823,48.2,0.00699,0.0
1775205478.072,50.4,0.00699,0.0
1775205479.26,51.6,0.006991,0.1431
1775205480.452,52.8,0.006992,0.2861
1775205495.297,67.7,0.006993,0.4292
1775205498.683,71.1,0.006993,0.4292
1775205507.339,79.7,0.006992,0.2861
1775205511.334,83.7,0.006993,0.4292
1775205519.762,92.1,0.006992,0.2861
1775205525.317,97.7,0.00699,0.0
1775205526.578,98.9,0.006991,0.1431
1775205534.561,106.9,0.006992,0.2861
