# symbol=VICUSDT,side=LONG,entry_price=0.05014,exit_price=0.05051,exit_reason=strategy_stop,sl_price=0.04983915999999999,tp_price=0.05089209999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775188070.502,0.0,0.05014,0.0
1775188072.615,2.1,0.05015,0.1994
1775188077.031,6.5,0.05013,-0.1994
1775188080.218,9.7,0.05015,0.1994
1775188081.663,11.2,0.05017,0.5983
1775188082.665,12.2,0.05014,0.0
1775188085.289,14.8,0.05013,-0.1994
1775188088.849,18.3,0.05011,-0.5983
1775188092.578,22.1,0.05011,-0.5983
1775188094.987,24.5,0.05013,-0.1994
1775188102.621,32.1,0.05016,0.3989
1775188105.177,34.7,0.05016,0.3989
1775188109.724,39.2,0.05015,0.1994
1775188112.222,41.7,0.05013,-0.1994
1775188119.133,48.6,0.05015,0.1994
1775188129.26,58.8,0.05008,-1.1966
1775188140.462,70.0,0.05012,-0.3989
1775188141.521,71.0,0.05025,2.1939
1775188142.562,72.1,0.05013,-0.1994
1775188143.593,73.1,0.05026,2.3933
1775188145.163,74.7,0.05032,3.5899
1775188146.302,75.8,0.05034,3.9888
1775188149.406,78.9,0.05029,2.9916
1775188150.476,80.0,0.05032,3.5899
1775188154.174,83.7,0.05036,4.3877
1775188155.686,85.2,0.05031,3.3905
1775188160.025,89.5,0.0503,3.1911
1775188163.282,92.8,0.05033,3.7894
1775188164.617,94.1,0.05036,4.3877
1775188165.671,95.2,0.05034,3.9888
1775188167.176,96.7,0.05034,3.9888
1775188171.425,100.9,0.05033,3.7894
1775188172.723,102.2,0.05026,2.3933
1775188173.909,103.4,0.0503,3.1911
1775188174.931,104.4,0.05032,3.5899
1775188178.23,107.7,0.05034,3.9888
1775188179.811,109.3,0.05035,4.1883
1775188181.224,110.7,0.05031,3.3905
1775188185.362,114.9,0.0503,3.1911
1775188189.706,119.2,0.0503,3.1911
1775188193.928,123.4,0.05031,3.3905
1775188194.97,124.5,0.05031,3.3905
1775188198.644,128.1,0.0503,3.1911
1775188200.513,130.0,0.05026,2.3933
1775188202.676,132.2,0.05026,2.3933
1775188205.097,134.6,0.05036,4.3877
1775188206.22,135.7,0.05033,3.7894
1775188211.413,140.9,0.05035,4.1883
1775188216.35,145.8,0.05037,4.5872
1775188218.006,147.5,0.05047,6.5816
1775188219.157,148.7,0.05045,6.1827
1775188221.15,150.6,0.05045,6.1827
1775188222.153,151.7,0.05044,5.9832
1775188223.362,152.9,0.05045,6.1827
1775188225.347,154.8,0.05046,6.3821
1775188229.276,158.8,0.05054,7.9777
1775188230.799,160.3,0.05062,9.5732
1775188233.371,162.9,0.05062,9.5732
1775188234.694,164.2,0.05064,9.9721
1775188236.06,165.6,0.05062,9.5732
1775188237.167,166.7,0.05068,10.7698
1775188246.465,176.0,0.05068,10.7698
1775188248.27,177.8,0.05071,11.3682
1775188255.1,184.6,0.0507,11.1687
1775188256.695,186.2,0.0507,11.1687
1775188259.433,188.9,0.0507,11.1687
1775188260.465,190.0,0.05064,9.9721
1775188261.866,191.4,0.05053,7.7782
1775188263.139,192.6,0.05053,7.7782
1775188264.16,193.7,0.05051,7.3793
