# symbol=VICUSDT,side=LONG,entry_price=0.05092,exit_price=0.05041,exit_reason=dynamic_vol_stop,sl_price=0.05030896,tp_price=0.051683799999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775195011.275,0.0,0.05092,0.0
1775195012.504,1.2,0.05131,7.6591
1775195013.56,2.3,0.05138,9.0338
1775195014.731,3.5,0.05139,9.2302
1775195016.009,4.7,0.05138,9.0338
1775195017.829,6.6,0.05135,8.4446
1775195019.538,8.3,0.05137,8.8374
1775195020.78,9.5,0.05133,8.0518
1775195022.11,10.8,0.05134,8.2482
1775195023.216,11.9,0.05127,6.8735
1775195024.839,13.6,0.05125,6.4808
1775195026.031,14.8,0.05122,5.8916
1775195027.076,15.8,0.05124,6.2844
1775195028.085,16.8,0.05126,6.6771
1775195029.348,18.1,0.05123,6.088
1775195031.411,20.1,0.05124,6.2844
1775195035.396,24.1,0.05118,5.106
1775195038.425,27.2,0.05106,2.7494
1775195039.874,28.6,0.05103,2.1603
1775195041.004,29.7,0.05098,1.1783
1775195042.361,31.1,0.05098,1.1783
1775195043.394,32.1,0.05102,1.9639
1775195050.529,39.3,0.05102,1.9639
1775195051.596,40.3,0.05095,0.5892
1775195053.01,41.7,0.05102,1.9639
1775195062.69,51.4,0.05072,-3.9277
1775195065.848,54.6,0.05068,-4.7133
1775195066.931,55.7,0.05086,-1.1783
1775195072.367,61.1,0.0509,-0.3928
1775195076.003,64.7,0.0509,-0.3928
1775195077.659,66.4,0.05091,-0.1964
1775195079.3,68.0,0.05086,-1.1783
1775195084.489,73.2,0.05086,-1.1783
1775195087.223,75.9,0.05079,-2.553
1775195089.554,78.3,0.05076,-3.1422
1775195094.077,82.8,0.05073,-3.7313
1775195095.259,84.0,0.05071,-4.1241
1775195097.684,86.4,0.05069,-4.5169
1775195100.155,88.9,0.05072,-3.9277
1775195101.873,90.6,0.05079,-2.553
1775195103.023,91.7,0.05088,-0.7855
1775195104.485,93.2,0.05092,0.0
1775195105.685,94.4,0.05093,0.1964
1775195107.042,95.8,0.05041,-10.0157
