# symbol=VICUSDT,side=LONG,entry_price=0.05069,exit_price=0.05096,exit_reason=trailing_expansion,sl_price=0.050081719999999996,tp_price=0.05145034999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775195730.076,0.0,0.05069,0.0
1775195735.197,5.1,0.05065,-0.7891
1775195736.776,6.7,0.05065,-0.7891
1775195738.547,8.5,0.05068,-0.1973
1775195739.711,9.6,0.05068,-0.1973
1775195743.386,13.3,0.05066,-0.5918
1775195749.362,19.3,0.05064,-0.9864
1775195752.405,22.3,0.0506,-1.7755
1775195756.371,26.3,0.0506,-1.7755
1775195759.109,29.0,0.05057,-2.3673
1775195760.148,30.1,0.0505,-3.7483
1775195761.198,31.1,0.05047,-4.3401
1775195762.203,32.1,0.05046,-4.5374
1775195764.26,34.2,0.05046,-4.5374
1775195766.429,36.4,0.05042,-5.3265
1775195767.716,37.6,0.05037,-6.3129
1775195768.731,38.7,0.05034,-6.9047
1775195769.887,39.8,0.05046,-4.5374
1775195773.617,43.5,0.0505,-3.7483
1775195774.707,44.6,0.05051,-3.551
1775195779.178,49.1,0.0504,-5.721
1775195782.81,52.7,0.0504,-5.721
1775195785.229,55.2,0.05041,-5.5238
1775195786.377,56.3,0.05045,-4.7347
1775195793.936,63.9,0.05045,-4.7347
1775195795.039,65.0,0.0504,-5.721
1775195796.217,66.1,0.05034,-6.9047
1775195800.008,69.9,0.05044,-4.9319
1775195801.412,71.3,0.05046,-4.5374
1775195803.383,73.3,0.05052,-3.3537
1775195805.915,75.8,0.0505,-3.7483
1775195807.855,77.8,0.05056,-2.5646
1775195811.874,81.8,0.05052,-3.3537
1775195813.092,83.0,0.05056,-2.5646
1775195814.348,84.3,0.05057,-2.3673
1775195815.395,85.3,0.05059,-1.9728
1775195817.611,87.5,0.05058,-2.1701
1775195820.016,89.9,0.05059,-1.9728
1775195821.425,91.3,0.05064,-0.9864
1775195823.993,93.9,0.05068,-0.1973
1775195825.038,95.0,0.05068,-0.1973
1775195826.192,96.1,0.0508,2.1701
1775195827.45,97.4,0.05083,2.7619
1775195829.021,98.9,0.05093,4.7347
1775195830.192,100.1,0.05091,4.3401
1775195831.338,101.3,0.05085,3.1564
1775195839.422,109.3,0.05088,3.7483
1775195842.425,112.3,0.05085,3.1564
1775195843.709,113.6,0.05084,2.9592
1775195847.036,117.0,0.05084,2.9592
1775195848.275,118.2,0.05085,3.1564
1775195851.887,121.8,0.05084,2.9592
1775195854.758,124.7,0.05086,3.3537
1775195862.293,132.2,0.05085,3.1564
1775195865.293,135.2,0.05086,3.3537
1775195867.515,137.4,0.05092,4.5374
1775195869.317,139.2,0.051,6.1156
1775195870.406,140.3,0.05099,5.9183
1775195871.094,141.0,0.05096,5.3265
