# symbol=VICUSDT,side=LONG,entry_price=0.05267,exit_price=0.05292,exit_reason=trailing_decay,sl_price=0.05203796,tp_price=0.053460049999999995,leverage=10
ts,seconds,price,ret_margin_pct
1775196565.379,0.0,0.05267,0.0
1775196566.757,1.4,0.05273,1.1392
1775196568.003,2.6,0.05273,1.1392
1775196570.913,5.5,0.05276,1.7088
1775196572.809,7.4,0.05269,0.3797
1775196574.069,8.7,0.05275,1.5189
1775196575.238,9.9,0.0527,0.5696
1775196576.694,11.3,0.05274,1.329
1775196577.768,12.4,0.05275,1.5189
1775196579.902,14.5,0.05267,0.0
1775196581.252,15.9,0.05256,-2.0885
1775196582.29,16.9,0.05267,0.0
1775196583.757,18.4,0.05261,-1.1392
1775196585.694,20.3,0.05294,5.1263
1775196586.951,21.6,0.05289,4.177
1775196588.13,22.8,0.05296,5.506
1775196589.226,23.8,0.05297,5.6958
1775196590.771,25.4,0.05285,3.4175
1775196591.863,26.5,0.0529,4.3668
1775196593.095,27.7,0.05286,3.6074
1775196594.517,29.1,0.05286,3.6074
1775196595.612,30.2,0.05276,1.7088
1775196597.083,31.7,0.05284,3.2276
1775196598.257,32.9,0.05284,3.2276
1775196599.408,34.0,0.05284,3.2276
1775196600.546,35.2,0.0529,4.3668
1775196601.794,36.4,0.05295,5.3161
1775196602.799,37.4,0.05297,5.6958
1775196604.675,39.3,0.05298,5.8857
1775196605.707,40.3,0.0531,8.164
1775196606.798,41.4,0.05322,10.4424
1775196608.162,42.8,0.05329,11.7714
1775196609.699,44.3,0.05324,10.8221
1775196611.097,45.7,0.05322,10.4424
1775196613.394,48.0,0.05327,11.3917
1775196615.714,50.3,0.05339,13.67
1775196616.965,51.6,0.05337,13.2903
1775196618.211,52.8,0.05335,12.9106
1775196620.542,55.2,0.05341,14.0497
1775196621.802,56.4,0.05347,15.1889
1775196623.712,58.3,0.05347,15.1889
1775196625.226,59.8,0.05343,14.4295
1775196626.905,61.5,0.05348,15.3788
1775196627.934,62.6,0.05345,14.8092
1775196628.938,63.6,0.05353,16.3281
1775196629.998,64.6,0.05353,16.3281
1775196631.222,65.8,0.05351,15.9484
1775196632.364,67.0,0.05367,18.9861
1775196633.654,68.3,0.05361,17.847
1775196634.885,69.5,0.05366,18.7963
1775196637.317,71.9,0.05371,19.7456
1775196638.76,73.4,0.05367,18.9861
1775196639.889,74.5,0.05349,15.5686
1775196640.955,75.6,0.05355,16.7078
1775196642.284,76.9,0.0536,17.6571
1775196644.829,79.4,0.05365,18.6064
1775196646.449,81.1,0.05366,18.7963
1775196647.492,82.1,0.05365,18.6064
1775196649.328,83.9,0.05344,14.6193
1775196650.356,85.0,0.05346,14.9991
1775196651.401,86.0,0.0535,15.7585
1775196653.057,87.7,0.05351,15.9484
1775196654.135,88.8,0.05356,16.8977
1775196656.177,90.8,0.0536,17.6571
1775196657.468,92.1,0.05365,18.6064
1775196658.751,93.4,0.05367,18.9861
1775196660.738,95.4,0.05368,19.176
1775196661.789,96.4,0.05396,24.4921
1775196662.876,97.5,0.05394,24.1124
1775196663.968,98.6,0.05384,22.2138
1775196665.549,100.2,0.05385,22.4036
1775196666.701,101.3,0.05415,28.0995
1775196667.816,102.4,0.05416,28.2893
1775196669.037,103.7,0.05422,29.4285
1775196670.132,104.8,0.05421,29.2387
1775196671.863,106.5,0.05418,28.6691
1775196672.932,107.6,0.05425,29.9981
1775196674.056,108.7,0.05444,33.6055
1775196675.106,109.7,0.05442,33.2257
1775196676.183,110.8,0.05449,34.5548
1775196678.49,113.1,0.05445,33.7953
1775196679.564,114.2,0.05451,34.9345
1775196680.744,115.4,0.0546,36.6433
1775196681.879,116.5,0.05443,33.4156
1775196683.008,117.6,0.05449,34.5548
1775196684.228,118.8,0.05477,39.8709
1775196685.311,119.9,0.05491,42.529
1775196686.414,121.0,0.05494,43.0985
1775196687.418,122.0,0.05496,43.4783
1775196688.538,123.2,0.05509,45.9465
1775196689.621,124.2,0.05497,43.6681
1775196691.039,125.7,0.05493,42.9087
1775196692.137,126.8,0.05491,42.529
1775196693.239,127.9,0.05502,44.6174
1775196694.326,128.9,0.05493,42.9087
1775196695.457,130.1,0.0549,42.3391
1775196696.465,131.1,0.0549,42.3391
1775196697.586,132.2,0.0549,42.3391
1775196698.878,133.5,0.05482,40.8202
1775196700.022,134.6,0.05467,37.9723
1775196701.102,135.7,0.05469,38.352
1775196702.192,136.8,0.05471,38.7317
1775196703.833,138.5,0.05468,38.1621
1775196704.833,139.5,0.05466,37.7824
1775196706.316,140.9,0.05455,35.6939
1775196707.347,142.0,0.05478,40.0608
1775196708.387,143.0,0.05484,41.1999
1775196709.522,144.1,0.05469,38.352
1775196710.869,145.5,0.05461,36.8331
1775196711.997,146.6,0.05468,38.1621
1775196714.121,148.7,0.05469,38.352
1775196715.584,150.2,0.0547,38.5419
1775196716.684,151.3,0.05477,39.8709
1775196717.796,152.4,0.05503,44.8073
1775196719.514,154.1,0.05491,42.529
1775196720.544,155.2,0.05502,44.6174
1775196721.65,156.3,0.05505,45.187
1775196722.769,157.4,0.0551,46.1363
1775196724.251,158.9,0.05495,43.2884
1775196725.41,160.0,0.05485,41.3898
1775196726.524,161.1,0.05495,43.2884
1775196727.668,162.3,0.055,44.2377
1775196729.534,164.2,0.05496,43.4783
1775196730.609,165.2,0.05489,42.1492
1775196731.688,166.3,0.05494,43.0985
1775196732.944,167.6,0.05494,43.0985
1775196734.071,168.7,0.05498,43.858
1775196735.883,170.5,0.05505,45.187
1775196737.021,171.6,0.05508,45.7566
1775196738.078,172.7,0.05505,45.187
1775196739.233,173.9,0.05509,45.9465
1775196740.752,175.4,0.05506,45.3769
1775196742.063,176.7,0.05505,45.187
1775196743.277,177.9,0.05507,45.5667
1775196744.281,178.9,0.05514,46.8958
1775196745.447,180.1,0.05507,45.5667
1775196746.469,181.1,0.05505,45.187
1775196747.667,182.3,0.05503,44.8073
1775196748.9,183.5,0.05478,40.0608
1775196749.99,184.6,0.05474,39.3013
1775196751.012,185.6,0.05473,39.1114
1775196752.078,186.7,0.05488,41.9594
1775196753.288,187.9,0.05471,38.7317
1775196754.309,188.9,0.05472,38.9216
1775196755.885,190.5,0.05472,38.9216
1775196758.19,192.8,0.05461,36.8331
1775196759.252,193.9,0.05445,33.7953
1775196760.387,195.0,0.05449,34.5548
1775196761.607,196.2,0.05437,32.2764
1775196762.661,197.3,0.05443,33.4156
1775196763.82,198.4,0.05442,33.2257
1775196764.927,199.5,0.05427,30.3778
1775196766.007,200.6,0.05439,32.6562
1775196767.064,201.7,0.05435,31.8967
1775196768.215,202.8,0.05441,33.0359
1775196769.802,204.4,0.05418,28.6691
1775196771.878,206.5,0.05424,29.8082
1775196773.122,207.7,0.05427,30.3778
1775196774.161,208.8,0.05427,30.3778
1775196775.422,210.0,0.05437,32.2764
1775196777.185,211.8,0.05437,32.2764
1775196778.316,212.9,0.05418,28.6691
1775196780.158,214.8,0.05424,29.8082
1775196781.201,215.8,0.0542,29.0488
1775196782.344,217.0,0.05419,28.8589
1775196783.489,218.1,0.05413,27.7198
1775196784.575,219.2,0.05414,27.9096
1775196785.575,220.2,0.05419,28.8589
1775196787.648,222.3,0.0542,29.0488
1775196789.278,223.9,0.05419,28.8589
1775196790.416,225.0,0.05424,29.8082
1775196791.426,226.0,0.05412,27.5299
1775196793.305,227.9,0.05406,26.3907
1775196795.253,229.9,0.05407,26.5806
1775196796.371,231.0,0.05413,27.7198
1775196797.559,232.2,0.05402,25.6313
1775196798.671,233.3,0.05391,23.5428
1775196799.768,234.4,0.05386,22.5935
1775196801.052,235.7,0.05386,22.5935
1775196802.15,236.8,0.05362,18.0368
1775196803.253,237.9,0.05361,17.847
1775196804.388,239.0,0.05361,17.847
1775196805.552,240.2,0.05354,16.5179
1775196806.65,241.3,0.05366,18.7963
1775196808.295,242.9,0.05363,18.2267
1775196809.484,244.1,0.05369,19.3659
1775196810.681,245.3,0.05379,21.2645
1775196813.003,247.6,0.05374,20.3152
1775196814.42,249.0,0.05371,19.7456
1775196815.735,250.4,0.05385,22.4036
1775196816.91,251.5,0.05391,23.5428
1775196818.269,252.9,0.05411,27.34
1775196819.31,253.9,0.05426,30.188
1775196820.722,255.3,0.05428,30.5677
1775196821.813,256.4,0.05437,32.2764
1775196822.907,257.5,0.05439,32.6562
1775196823.925,258.5,0.05442,33.2257
1775196825.449,260.1,0.05433,31.517
1775196826.589,261.2,0.05441,33.0359
1775196827.599,262.2,0.05449,34.5548
1775196828.689,263.3,0.05439,32.6562
1775196829.715,264.3,0.05438,32.4663
1775196831.606,266.2,0.05432,31.3271
1775196832.74,267.4,0.05439,32.6562
1775196833.856,268.5,0.05434,31.7069
1775196834.983,269.6,0.05423,29.6184
1775196836.015,270.6,0.05434,31.7069
1775196837.262,271.9,0.05427,30.3778
1775196838.342,273.0,0.05434,31.7069
1775196839.872,274.5,0.05441,33.0359
1775196841.0,275.6,0.05463,37.2128
1775196842.252,276.9,0.05465,37.5926
1775196843.361,278.0,0.05465,37.5926
1775196844.44,279.1,0.05457,36.0737
1775196845.679,280.3,0.05461,36.8331
1775196846.834,281.5,0.0546,36.6433
1775196847.838,282.5,0.05452,35.1244
1775196848.855,283.5,0.05449,34.5548
1775196849.952,284.6,0.05452,35.1244
1775196851.397,286.0,0.05463,37.2128
1775196852.707,287.3,0.05468,38.1621
1775196853.825,288.4,0.05475,39.4912
1775196854.876,289.5,0.05443,33.4156
1775196856.147,290.8,0.05446,33.9852
1775196857.152,291.8,0.05475,39.4912
1775196858.191,292.8,0.05476,39.681
1775196859.273,293.9,0.05463,37.2128
1775196860.687,295.3,0.05459,36.4534
1775196861.893,296.5,0.0544,32.846
1775196863.069,297.7,0.0544,32.846
1775196864.597,299.2,0.05435,31.8967
1775196865.625,300.2,0.05435,31.8967
1775196866.716,301.3,0.05422,29.4285
1775196867.885,302.5,0.05415,28.0995
1775196868.904,303.5,0.05328,11.5815
1775196869.907,304.5,0.05331,12.1511
1775196871.291,305.9,0.05331,12.1511
1775196872.397,307.0,0.05327,11.3917
1775196873.461,308.1,0.0529,4.3668
1775196874.517,309.1,0.05291,4.5567
1775196876.034,310.7,0.05285,3.4175
1775196877.385,312.0,0.05292,4.7465
