# symbol=WUSDT,side=SHORT,entry_price=0.01376,exit_price=0.01376,exit_reason=lifecycle_reversal,sl_price=0.01378752,tp_price=0.013553599999999999,leverage=10
ts,seconds,price,ret_margin_pct
1775185439.629,0.0,0.01376,0.0
1775185443.134,3.5,0.01376,0.0
1775185444.794,5.2,0.01376,0.0
1775185450.904,11.3,0.01375,0.7267
1775185454.318,14.7,0.01375,0.7267
1775185462.884,23.3,0.01375,0.7267
1775185464.101,24.5,0.01374,1.4535
1775185472.309,32.7,0.01374,1.4535
1775185474.609,35.0,0.01374,1.4535
1775185480.611,41.0,0.01374,1.4535
1775185482.206,42.6,0.01374,1.4535
1775185496.82,57.2,0.01375,0.7267
1775185499.579,60.0,0.01374,1.4535
1775185508.486,68.9,0.01374,1.4535
1775185511.426,71.8,0.01375,0.7267
1775185530.812,91.2,0.01375,0.7267
1775185544.234,104.6,0.01374,1.4535
1775185552.6,113.0,0.01376,0.0
1775185560.915,121.3,0.01376,0.0
