# symbol=XPLUSDT,side=LONG,entry_price=0.1159,exit_price=0.1156,exit_reason=vol_stop,sl_price=0.1156682,tp_price=0.1176385,leverage=10
ts,seconds,price,ret_margin_pct
1775185315.854,0.0,0.1159,0.0
1775185316.904,1.0,0.1159,0.0
1775185317.988,2.1,0.1159,0.0
1775185319.877,4.0,0.116,0.8628
1775185321.184,5.3,0.1159,0.0
1775185322.358,6.5,0.1159,0.0
1775185323.632,7.8,0.1159,0.0
1775185325.117,9.3,0.116,0.8628
1775185326.232,10.4,0.1159,0.0
1775185327.298,11.4,0.1158,-0.8628
1775185328.31,12.5,0.1158,-0.8628
1775185329.621,13.8,0.1159,0.0
1775185331.156,15.3,0.1159,0.0
1775185332.274,16.4,0.1157,-1.7256
1775185333.325,17.5,0.1156,-2.5884
