# symbol=YBUSDT,side=LONG,entry_price=0.1322,exit_price=0.131,exit_reason=dynamic_vol_stop,sl_price=0.13061360000000002,tp_price=0.134183,leverage=10
ts,seconds,price,ret_margin_pct
1775193365.213,0.0,0.1322,0.0
1775193366.31,1.1,0.1326,3.0257
1775193367.527,2.3,0.1326,3.0257
1775193368.861,3.6,0.1326,3.0257
1775193369.942,4.7,0.1327,3.7821
1775193371.126,5.9,0.1325,2.2693
1775193372.293,7.1,0.1327,3.7821
1775193373.323,8.1,0.1328,4.5386
1775193374.341,9.1,0.1328,4.5386
1775193375.7,10.5,0.1328,4.5386
1775193376.75,11.5,0.1329,5.295
1775193377.842,12.6,0.1331,6.8079
1775193378.99,13.8,0.1331,6.8079
1775193380.175,15.0,0.1334,9.0772
1775193381.206,16.0,0.1334,9.0772
1775193382.427,17.2,0.1333,8.3207
1775193383.53,18.3,0.1332,7.5643
1775193384.562,19.3,0.1332,7.5643
1775193385.648,20.4,0.1333,8.3207
1775193386.66,21.4,0.1332,7.5643
1775193387.774,22.6,0.1334,9.0772
1775193388.792,23.6,0.1332,7.5643
1775193389.797,24.6,0.1332,7.5643
1775193390.82,25.6,0.1332,7.5643
1775193391.884,26.7,0.1332,7.5643
1775193392.911,27.7,0.1332,7.5643
1775193394.023,28.8,0.1332,7.5643
1775193395.116,29.9,0.1333,8.3207
1775193396.21,31.0,0.1333,8.3207
1775193397.344,32.1,0.1333,8.3207
1775193398.386,33.2,0.1333,8.3207
1775193399.435,34.2,0.1337,11.3464
1775193400.605,35.4,0.1335,9.8336
1775193401.675,36.5,0.1335,9.8336
1775193402.691,37.5,0.1335,9.8336
1775193403.784,38.6,0.1335,9.8336
1775193404.84,39.6,0.1336,10.59
1775193405.971,40.8,0.1335,9.8336
1775193407.064,41.9,0.1335,9.8336
1775193408.31,43.1,0.1335,9.8336
1775193409.389,44.2,0.1336,10.59
1775193411.39,46.2,0.1337,11.3464
1775193412.49,47.3,0.1336,10.59
1775193413.762,48.5,0.1336,10.59
1775193415.237,50.0,0.1338,12.1029
1775193416.455,51.2,0.1337,11.3464
1775193417.655,52.4,0.1337,11.3464
1775193419.027,53.8,0.1335,9.8336
1775193420.036,54.8,0.1336,10.59
1775193421.142,55.9,0.1333,8.3207
1775193422.194,57.0,0.1332,7.5643
1775193423.3,58.1,0.133,6.0514
1775193424.355,59.1,0.1331,6.8079
1775193425.854,60.6,0.1331,6.8079
1775193427.19,62.0,0.1331,6.8079
1775193428.321,63.1,0.1332,7.5643
1775193429.418,64.2,0.1332,7.5643
1775193430.84,65.6,0.1332,7.5643
1775193431.99,66.8,0.1333,8.3207
1775193433.136,67.9,0.1333,8.3207
1775193434.172,69.0,0.1332,7.5643
1775193435.195,70.0,0.1332,7.5643
1775193436.195,71.0,0.1326,3.0257
1775193437.246,72.0,0.1326,3.0257
1775193438.381,73.2,0.1328,4.5386
1775193439.558,74.3,0.1326,3.0257
1775193440.613,75.4,0.1326,3.0257
1775193441.708,76.5,0.1327,3.7821
1775193442.783,77.6,0.1326,3.0257
1775193443.857,78.6,0.1324,1.5129
1775193444.894,79.7,0.1326,3.0257
1775193446.013,80.8,0.1325,2.2693
1775193447.068,81.9,0.1324,1.5129
1775193447.591,82.4,0.131,-9.0772
