# symbol=YBUSDT,side=LONG,entry_price=0.1388,exit_price=0.1397,exit_reason=trailing_expansion,sl_price=0.13713440000000002,tp_price=0.14088199999999998,leverage=10
ts,seconds,price,ret_margin_pct
1775198393.926,0.0,0.1388,0.0
1775198394.943,1.0,0.1388,0.0
1775198396.601,2.7,0.139,1.4409
1775198397.641,3.7,0.1391,2.1614
1775198398.689,4.8,0.1387,-0.7205
1775198399.837,5.9,0.1389,0.7205
1775198401.085,7.2,0.1386,-1.4409
1775198402.331,8.4,0.1388,0.0
1775198404.808,10.9,0.1388,0.0
1775198406.562,12.6,0.1389,0.7205
1775198407.864,13.9,0.139,1.4409
1775198409.04,15.1,0.139,1.4409
1775198410.045,16.1,0.1387,-0.7205
1775198411.287,17.4,0.1387,-0.7205
1775198412.562,18.6,0.1388,0.0
1775198413.892,20.0,0.1387,-0.7205
1775198414.956,21.0,0.1389,0.7205
1775198416.31,22.4,0.1387,-0.7205
1775198417.95,24.0,0.1387,-0.7205
1775198419.006,25.1,0.1387,-0.7205
1775198420.685,26.8,0.1388,0.0
1775198423.344,29.4,0.1387,-0.7205
1775198424.393,30.5,0.1388,0.0
1775198425.795,31.9,0.1389,0.7205
1775198426.883,33.0,0.1387,-0.7205
1775198427.983,34.1,0.1387,-0.7205
1775198429.3,35.4,0.1389,0.7205
1775198430.686,36.8,0.1389,0.7205
1775198432.061,38.1,0.1387,-0.7205
1775198433.314,39.4,0.1387,-0.7205
1775198434.656,40.7,0.1387,-0.7205
1775198437.362,43.4,0.1387,-0.7205
1775198439.898,46.0,0.1388,0.0
1775198440.973,47.0,0.1389,0.7205
1775198442.363,48.4,0.1389,0.7205
1775198443.944,50.0,0.1388,0.0
1775198445.068,51.1,0.1389,0.7205
1775198446.188,52.3,0.139,1.4409
1775198447.23,53.3,0.139,1.4409
1775198448.239,54.3,0.1392,2.8818
1775198449.384,55.5,0.1391,2.1614
1775198450.783,56.9,0.1391,2.1614
1775198451.861,57.9,0.139,1.4409
1775198452.902,59.0,0.1389,0.7205
1775198454.323,60.4,0.1391,2.1614
1775198455.337,61.4,0.1391,2.1614
1775198456.585,62.7,0.1391,2.1614
1775198458.35,64.4,0.1389,0.7205
1775198459.756,65.8,0.1389,0.7205
1775198461.059,67.1,0.1387,-0.7205
1775198462.341,68.4,0.1387,-0.7205
1775198464.003,70.1,0.1386,-1.4409
1775198465.108,71.2,0.1385,-2.1614
1775198466.374,72.4,0.1384,-2.8818
1775198467.405,73.5,0.1382,-4.3228
1775198468.428,74.5,0.1383,-3.6023
1775198469.566,75.6,0.1384,-2.8818
1775198470.83,76.9,0.1382,-4.3228
1775198471.986,78.1,0.1384,-2.8818
1775198473.038,79.1,0.1382,-4.3228
1775198474.195,80.3,0.1382,-4.3228
1775198475.754,81.8,0.1383,-3.6023
1775198476.76,82.8,0.1382,-4.3228
1775198477.813,83.9,0.1381,-5.0432
1775198478.971,85.0,0.1381,-5.0432
1775198479.978,86.1,0.1383,-3.6023
1775198481.338,87.4,0.1382,-4.3228
1775198482.41,88.5,0.1382,-4.3228
1775198483.418,89.5,0.1383,-3.6023
1775198484.683,90.8,0.1384,-2.8818
1775198486.285,92.4,0.1383,-3.6023
1775198487.663,93.7,0.1383,-3.6023
1775198489.398,95.5,0.1382,-4.3228
1775198490.433,96.5,0.1383,-3.6023
1775198491.735,97.8,0.1383,-3.6023
1775198492.991,99.1,0.1381,-5.0432
1775198494.189,100.3,0.1381,-5.0432
1775198495.444,101.5,0.1383,-3.6023
1775198496.785,102.9,0.1381,-5.0432
1775198497.878,104.0,0.1382,-4.3228
1775198499.269,105.3,0.1384,-2.8818
1775198500.319,106.4,0.1389,0.7205
1775198501.329,107.4,0.1392,2.8818
1775198502.345,108.4,0.1394,4.3228
1775198503.414,109.5,0.1392,2.8818
1775198504.741,110.8,0.1391,2.1614
1775198506.406,112.5,0.1391,2.1614
1775198507.467,113.5,0.1391,2.1614
1775198509.01,115.1,0.139,1.4409
1775198510.209,116.3,0.1389,0.7205
1775198511.616,117.7,0.1389,0.7205
1775198512.753,118.8,0.139,1.4409
1775198514.104,120.2,0.139,1.4409
1775198515.828,121.9,0.1389,0.7205
1775198516.971,123.0,0.1388,0.0
1775198520.261,126.3,0.1387,-0.7205
1775198521.464,127.5,0.1387,-0.7205
1775198522.473,128.5,0.1388,0.0
1775198524.009,130.1,0.1386,-1.4409
1775198525.803,131.9,0.1387,-0.7205
1775198526.927,133.0,0.1385,-2.1614
1775198528.874,134.9,0.1385,-2.1614
1775198529.932,136.0,0.1384,-2.8818
1775198531.415,137.5,0.1384,-2.8818
1775198532.49,138.6,0.1383,-3.6023
1775198533.823,139.9,0.1383,-3.6023
1775198534.924,141.0,0.1383,-3.6023
1775198536.387,142.5,0.1383,-3.6023
1775198537.6,143.7,0.1383,-3.6023
1775198539.725,145.8,0.1384,-2.8818
1775198541.428,147.5,0.1382,-4.3228
1775198543.019,149.1,0.1383,-3.6023
1775198544.306,150.4,0.1384,-2.8818
1775198545.765,151.8,0.1387,-0.7205
1775198546.864,152.9,0.1388,0.0
1775198547.941,154.0,0.1389,0.7205
1775198549.019,155.1,0.1389,0.7205
1775198550.245,156.3,0.1388,0.0
1775198551.264,157.3,0.1398,7.2046
1775198552.27,158.3,0.1399,7.9251
1775198553.278,159.4,0.14,8.6455
1775198554.49,160.6,0.1396,5.7637
1775198555.846,161.9,0.1395,5.0432
1775198556.916,163.0,0.1395,5.0432
1775198558.065,164.1,0.1396,5.7637
1775198559.119,165.2,0.1396,5.7637
1775198560.285,166.4,0.1398,7.2046
1775198561.375,167.4,0.1398,7.2046
1775198562.52,168.6,0.1397,6.4841
1775198563.744,169.8,0.1397,6.4841
1775198565.667,171.7,0.1396,5.7637
1775198566.821,172.9,0.1396,5.7637
1775198567.903,174.0,0.1395,5.0432
1775198568.937,175.0,0.1395,5.0432
1775198570.089,176.2,0.1395,5.0432
1775198571.621,177.7,0.1396,5.7637
1775198572.865,178.9,0.1397,6.4841
