# symbol=YBUSDT,side=LONG,entry_price=0.1397,exit_price=0.1386,exit_reason=lifecycle_reversal,sl_price=0.1380236,tp_price=0.14179549999999996,leverage=10
ts,seconds,price,ret_margin_pct
1775198573.362,0.0,0.1397,0.0
1775198574.698,1.3,0.1395,-1.4316
1775198575.797,2.4,0.1395,-1.4316
1775198576.876,3.5,0.1395,-1.4316
1775198579.079,5.7,0.1394,-2.1475
1775198580.292,6.9,0.1393,-2.8633
1775198581.319,8.0,0.1394,-2.1475
1775198582.429,9.1,0.1396,-0.7158
1775198583.514,10.2,0.1395,-1.4316
1775198584.539,11.2,0.1392,-3.5791
1775198585.674,12.3,0.1392,-3.5791
1775198587.089,13.7,0.1394,-2.1475
1775198588.262,14.9,0.1394,-2.1475
1775198589.327,16.0,0.1393,-2.8633
1775198590.676,17.3,0.1394,-2.1475
1775198592.091,18.7,0.1393,-2.8633
1775198593.338,20.0,0.1393,-2.8633
1775198594.518,21.2,0.1393,-2.8633
1775198595.611,22.2,0.1393,-2.8633
1775198597.098,23.7,0.1393,-2.8633
1775198598.183,24.8,0.1394,-2.1475
1775198599.544,26.2,0.1392,-3.5791
1775198600.762,27.4,0.1394,-2.1475
1775198601.856,28.5,0.1394,-2.1475
1775198603.687,30.3,0.1397,0.0
1775198605.982,32.6,0.1397,0.0
1775198607.296,33.9,0.1397,0.0
1775198608.591,35.2,0.1399,1.4316
1775198610.036,36.7,0.1398,0.7158
1775198611.221,37.9,0.1399,1.4316
1775198612.308,38.9,0.1399,1.4316
1775198613.353,40.0,0.1397,0.0
1775198614.52,41.2,0.1397,0.0
1775198616.081,42.7,0.1397,0.0
1775198617.387,44.0,0.1397,0.0
1775198618.64,45.3,0.1397,0.0
1775198619.654,46.3,0.1398,0.7158
1775198621.071,47.7,0.1398,0.7158
1775198622.212,48.8,0.1397,0.0
1775198623.723,50.4,0.1398,0.7158
1775198624.758,51.4,0.1395,-1.4316
1775198625.771,52.4,0.1394,-2.1475
1775198627.158,53.8,0.1396,-0.7158
1775198628.45,55.1,0.1394,-2.1475
1775198629.639,56.3,0.1395,-1.4316
1775198630.898,57.5,0.1396,-0.7158
1775198634.156,60.8,0.1395,-1.4316
1775198635.437,62.1,0.1394,-2.1475
1775198636.64,63.3,0.1394,-2.1475
1775198637.793,64.4,0.1395,-1.4316
1775198639.282,65.9,0.1394,-2.1475
1775198640.307,66.9,0.1393,-2.8633
1775198641.411,68.0,0.1395,-1.4316
1775198642.49,69.1,0.1394,-2.1475
1775198643.571,70.2,0.1393,-2.8633
1775198644.657,71.3,0.1392,-3.5791
1775198646.301,72.9,0.1393,-2.8633
1775198648.303,74.9,0.1392,-3.5791
1775198650.093,76.7,0.1392,-3.5791
1775198652.213,78.9,0.1393,-2.8633
1775198653.714,80.4,0.1394,-2.1475
1775198655.037,81.7,0.1393,-2.8633
1775198656.78,83.4,0.1394,-2.1475
1775198658.854,85.5,0.1394,-2.1475
1775198661.004,87.6,0.1393,-2.8633
1775198662.081,88.7,0.1393,-2.8633
1775198663.435,90.1,0.1393,-2.8633
1775198664.652,91.3,0.1389,-5.7266
1775198665.728,92.4,0.1388,-6.4424
1775198667.307,93.9,0.1389,-5.7266
1775198668.966,95.6,0.1389,-5.7266
1775198670.18,96.8,0.1389,-5.7266
1775198671.78,98.4,0.139,-5.0107
1775198673.175,99.8,0.1389,-5.7266
1775198674.18,100.8,0.1388,-6.4424
1775198675.429,102.1,0.1388,-6.4424
1775198676.691,103.3,0.1389,-5.7266
1775198678.314,105.0,0.1384,-9.3057
1775198679.578,106.2,0.1386,-7.874
1775198681.195,107.8,0.1387,-7.1582
1775198682.268,108.9,0.1386,-7.874
1775198683.483,110.1,0.1386,-7.874
1775198684.609,111.2,0.1387,-7.1582
1775198685.923,112.6,0.1388,-6.4424
1775198687.649,114.3,0.1386,-7.874
1775198689.878,116.5,0.1386,-7.874
1775198691.044,117.7,0.1385,-8.5898
1775198692.507,119.1,0.1385,-8.5898
1775198693.778,120.4,0.1386,-7.874
