# symbol=YBUSDT,side=SHORT,entry_price=0.1485,exit_price=0.1496,exit_reason=dynamic_vol_stop,sl_price=0.150282,tp_price=0.1462725,leverage=10
ts,seconds,price,ret_margin_pct
1775205305.99,0.0,0.1485,0.0
1775205307.077,1.1,0.1488,-2.0202
1775205308.096,2.1,0.1491,-4.0404
1775205309.141,3.2,0.1487,-1.3468
1775205310.154,4.2,0.1485,0.0
1775205311.246,5.3,0.1485,0.0
1775205312.501,6.5,0.1484,0.6734
1775205313.55,7.6,0.1483,1.3468
1775205314.698,8.7,0.1483,1.3468
1775205315.753,9.8,0.1481,2.6936
1775205316.836,10.8,0.149,-3.367
1775205317.866,11.9,0.1487,-1.3468
1775205319.048,13.1,0.1487,-1.3468
1775205320.082,14.1,0.1487,-1.3468
1775205321.09,15.1,0.1484,0.6734
1775205322.172,16.2,0.1488,-2.0202
1775205323.174,17.2,0.1491,-4.0404
1775205324.189,18.2,0.149,-3.367
1775205325.24,19.3,0.1492,-4.7138
1775205326.249,20.3,0.1488,-2.0202
1775205327.299,21.3,0.1487,-1.3468
1775205328.326,22.3,0.1488,-2.0202
1775205329.426,23.4,0.1483,1.3468
1775205330.43,24.4,0.1485,0.0
1775205331.532,25.5,0.1485,0.0
1775205332.62,26.6,0.1486,-0.6734
1775205333.755,27.8,0.1485,0.0
1775205334.823,28.8,0.1487,-1.3468
1775205335.937,29.9,0.1489,-2.6936
1775205336.942,31.0,0.1491,-4.0404
1775205338.115,32.1,0.1488,-2.0202
1775205339.154,33.2,0.1485,0.0
1775205340.243,34.3,0.1486,-0.6734
1775205341.282,35.3,0.1488,-2.0202
1775205342.426,36.4,0.1488,-2.0202
1775205343.427,37.4,0.1491,-4.0404
1775205344.43,38.4,0.1491,-4.0404
1775205345.456,39.5,0.1492,-4.7138
1775205346.72,40.7,0.149,-3.367
1775205347.786,41.8,0.1488,-2.0202
1775205348.88,42.9,0.149,-3.367
1775205349.886,43.9,0.1487,-1.3468
1775205350.921,44.9,0.1486,-0.6734
1775205351.923,45.9,0.1488,-2.0202
1775205353.174,47.2,0.149,-3.367
1775205354.273,48.3,0.1492,-4.7138
1775205355.417,49.4,0.1489,-2.6936
1775205356.55,50.6,0.1489,-2.6936
1775205357.601,51.6,0.1493,-5.3872
1775205358.622,52.6,0.149,-3.367
1775205359.622,53.6,0.1494,-6.0606
1775205360.94,54.9,0.1496,-7.4074
